ke	ensembl
https://identifiers.org/aop.events/1002	ENSG00000101191
https://identifiers.org/aop.events/1002	ENSG00000211452
https://identifiers.org/aop.events/1002	ENSG00000211448
https://identifiers.org/aop.events/1009	ENSG00000101191
https://identifiers.org/aop.events/1009	ENSG00000211452
https://identifiers.org/aop.events/1009	ENSG00000211448
https://identifiers.org/aop.events/1108	ENSG00000168509
https://identifiers.org/aop.events/112	ENSG00000124882
https://identifiers.org/aop.events/115	ENSG00000135218
https://identifiers.org/aop.events/116	ENSG00000026103
https://identifiers.org/aop.events/116	ENSG00000169710
https://identifiers.org/aop.events/12	ENSG00000114200
https://identifiers.org/aop.events/1202	ENSG00000164400
https://identifiers.org/aop.events/1202	ENSG00000136634
https://identifiers.org/aop.events/1202	ENSG00000112115
https://identifiers.org/aop.events/1202	ENSG00000109471
https://identifiers.org/aop.events/1202	ENSG00000164399
https://identifiers.org/aop.events/1202	ENSG00000113520
https://identifiers.org/aop.events/1202	ENSG00000113525
https://identifiers.org/aop.events/1202	ENSG00000136244
https://identifiers.org/aop.events/1214	ENSG00000154639
https://identifiers.org/aop.events/1214	ENSG00000214319
https://identifiers.org/aop.events/1243	ENSG00000104763
https://identifiers.org/aop.events/1243	ENSG00000111846
https://identifiers.org/aop.events/1254	ENSG00000138356
https://identifiers.org/aop.events/1269	ENSG00000176340
https://identifiers.org/aop.events/139	ENSG00000106546
https://identifiers.org/aop.events/1391	ENSG00000174951
https://identifiers.org/aop.events/1458	ENSG00000049540
https://identifiers.org/aop.events/1458	ENSG00000111846
https://identifiers.org/aop.events/1498	ENSG00000169194
https://identifiers.org/aop.events/1499	ENSG00000229150
https://identifiers.org/aop.events/1499	ENSG00000136634
https://identifiers.org/aop.events/1499	ENSG00000169194
https://identifiers.org/aop.events/1499	ENSG00000166090
https://identifiers.org/aop.events/1499	ENSG00000113520
https://identifiers.org/aop.events/1499	ENSG00000113525
https://identifiers.org/aop.events/1499	ENSG00000136244
https://identifiers.org/aop.events/1500	ENSG00000126353
https://identifiers.org/aop.events/1500	ENSG00000174059
https://identifiers.org/aop.events/1500	ENSG00000121966
https://identifiers.org/aop.events/1500	ENSG00000049540
https://identifiers.org/aop.events/1500	ENSG00000113263
https://identifiers.org/aop.events/1500	ENSG00000138722
https://identifiers.org/aop.events/1501	ENSG00000049540
https://identifiers.org/aop.events/1501	ENSG00000138722
https://identifiers.org/aop.events/1502	ENSG00000048052
https://identifiers.org/aop.events/1503	ENSG00000108091
https://identifiers.org/aop.events/1503	ENSG00000158477
https://identifiers.org/aop.events/1503	ENSG00000158485
https://identifiers.org/aop.events/1503	ENSG00000158481
https://identifiers.org/aop.events/1503	ENSG00000077782
https://identifiers.org/aop.events/1503	ENSG00000203811
https://identifiers.org/aop.events/1503	ENSG00000274618
https://identifiers.org/aop.events/1503	ENSG00000048052
https://identifiers.org/aop.events/1506	ENSG00000163599
https://identifiers.org/aop.events/1508	ENSG00000130649
https://identifiers.org/aop.events/1512	ENSG00000118217
https://identifiers.org/aop.events/1512	ENSG00000175197
https://identifiers.org/aop.events/1512	ENSG00000172071
https://identifiers.org/aop.events/1512	ENSG00000178607
https://identifiers.org/aop.events/1512	ENSG00000044574
https://identifiers.org/aop.events/1513	ENSG00000171791
https://identifiers.org/aop.events/1513	ENSG00000107643
https://identifiers.org/aop.events/1522	ENSG00000143669
https://identifiers.org/aop.events/1542	ENSG00000179091
https://identifiers.org/aop.events/1542	ENSG00000111846
https://identifiers.org/aop.events/1549	ENSG00000162174
https://identifiers.org/aop.events/1549	ENSG00000107518
https://identifiers.org/aop.events/1549	ENSG00000213927
https://identifiers.org/aop.events/155	ENSG00000168453
https://identifiers.org/aop.events/1557	ENSG00000048052
https://identifiers.org/aop.events/1564	ENSG00000134363
