KE	KEtitle
https://identifiers.org/aop.events/2069	Occurrence, Vascular Remodeling 
https://identifiers.org/aop.events/2070	Increase, Glycolysis
https://identifiers.org/aop.events/2071	Decrease, Glucose pool
https://identifiers.org/aop.events/2072	Increase, Mitochondrial swelling
https://identifiers.org/aop.events/2073	increase oxidation of the di-copper moiety of the hemocyanin active site 
https://identifiers.org/aop.events/2074	Decreased, oxygen binding capacity by hemocyanin
https://identifiers.org/aop.events/2075	Cognitive, sensed as hypoxic/low oxygen environment
https://identifiers.org/aop.events/2076	Increase, hemocyanin mRNA
https://identifiers.org/aop.events/2077	Increase, pulmonate breathing
https://identifiers.org/aop.events/2078	Loss of drebrin
https://identifiers.org/aop.events/2079	Increased glycolipid levels  in testis
https://identifiers.org/aop.events/2080	Impaired, blood testis barrier
https://identifiers.org/aop.events/2081	Increased Modified Proteins
https://identifiers.org/aop.events/2083	Occurrence of Cataracts
https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor
https://identifiers.org/aop.events/1002	Inhibition, Deiodinase 2
https://identifiers.org/aop.events/1003	Decreased, Triiodothyronine (T3)
https://identifiers.org/aop.events/1009	Inhibition, Deiodinase 1
https://identifiers.org/aop.events/110	Impairment, Endothelial network
https://identifiers.org/aop.events/1108	Abnormal, Role change within caste
https://identifiers.org/aop.events/112	Antagonism, Estrogen receptor
https://identifiers.org/aop.events/115	Increase, FA Influx
https://identifiers.org/aop.events/116	Activation, FAS
https://identifiers.org/aop.events/1172	Increase activation, Nuclear factor kappa B (NF-kB)
https://identifiers.org/aop.events/119	N/A, Gap
https://identifiers.org/aop.events/1193	N/A, Breast Cancer
https://identifiers.org/aop.events/12	Acetylcholinesterase (AchE) Inhibition
https://identifiers.org/aop.events/1202	Suppression, IL-2 and IL-4 production
https://identifiers.org/aop.events/1214	Altered gene expression specific to CAR activation, Hepatocytes
https://identifiers.org/aop.events/1243	Altered, Ca2+-calmodulin activated signal transduction
https://identifiers.org/aop.events/1253	 MLL chromosomal translocation
https://identifiers.org/aop.events/1254	Infant leukaemia
https://identifiers.org/aop.events/1269	Increase, COX-2 expression
https://identifiers.org/aop.events/139	N/A, Hepatotoxicity, Hepatopathy, including a constellation of observable effects
https://identifiers.org/aop.events/1391	Activation of Cyp2E1
https://identifiers.org/aop.events/1458	Pulmonary fibrosis
https://identifiers.org/aop.events/1477	Decrease, Oxidative phosphorylation
https://identifiers.org/aop.events/1494	Leukocyte recruitment/activation
https://identifiers.org/aop.events/1498	Loss of alveolar capillary membrane integrity
https://identifiers.org/aop.events/1499	Increased, activation of T (T) helper (h) type 2 cells
https://identifiers.org/aop.events/1500	Increased, fibroblast proliferation and myofibroblast differentiation
https://identifiers.org/aop.events/1501	Increased, extracellular matrix deposition
https://identifiers.org/aop.events/1502	Histone deacetylase inhibition
https://identifiers.org/aop.events/1503	Histone acetylation, increase
https://identifiers.org/aop.events/1506	Testicular atrophy
https://identifiers.org/aop.events/1508	CYP2E1 Activation
https://identifiers.org/aop.events/1510	Oxidative Stress in Brain
https://identifiers.org/aop.events/1512	Unfolded Protein Response
https://identifiers.org/aop.events/1513	General Apoptosis
https://identifiers.org/aop.events/1522	Inhibition, Chitin synthase 1
https://identifiers.org/aop.events/1528	Fatty Acid Beta Oxidation, Decreased
https://identifiers.org/aop.events/1542	Increase, Mitochondrial complex III antagonism
https://identifiers.org/aop.events/1543	Mitochondrial Complex IV inhibition
https://identifiers.org/aop.events/1544	Mitochondrial Complex V inhibition
https://identifiers.org/aop.events/1549	Liver Injury
https://identifiers.org/aop.events/155	Inadequate DNA repair
https://identifiers.org/aop.events/1557	Neural crest cell migration, reduced
https://identifiers.org/aop.events/1564	Chemical induced Fanconi syndrome
https://identifiers.org/aop.events/1574	Inhibition, IKK complex
https://identifiers.org/aop.events/1575	Activation, Caspase 8 pathway
https://identifiers.org/aop.events/1599	Inflamatory events in light-exposed tissues
https://identifiers.org/aop.events/1604	Inhibition of N-linked glycosylation
https://identifiers.org/aop.events/1614	Decrease, androgen receptors (AR) activation
https://identifiers.org/aop.events/1616	Malformation, cryptorchidism - maldescended testis
https://identifiers.org/aop.events/165	Activation, Long term AHR receptor driven direct and indirect gene expression changes
https://identifiers.org/aop.events/1650	Epithelial-mesenchymal transition
https://identifiers.org/aop.events/1651	Treatment-resistant gastric cancer
https://identifiers.org/aop.events/1656	Antagonism, Thyroid Receptor 
https://identifiers.org/aop.events/167	Activation, LXR
https://identifiers.org/aop.events/1688	anogenital distance (AGD), decreased
https://identifiers.org/aop.events/1700	Impaired IL-1R1 signaling in T cell
https://identifiers.org/aop.events/1702	Suppression of  T cell activation
https://identifiers.org/aop.events/1706	Stimulation, TLR7/8
https://identifiers.org/aop.events/1707	Increase, IL-23 from matured dendritic cells
https://identifiers.org/aop.events/1708	Th17 cell migration and inflammation induction
https://identifiers.org/aop.events/1709	Psoriatic skin disease
https://identifiers.org/aop.events/1710	Binding to estrogen receptor (ER)-α in immune cells
https://identifiers.org/aop.events/1711	Induction of GATA3 expression
https://identifiers.org/aop.events/1712	Increase of Th2 cells producing IL-4
https://identifiers.org/aop.events/1713	Increase of anti-DNA antibody from autoreactive B cell
https://identifiers.org/aop.events/1714	Exacerbation of systemic lupus erythematosus (SLE)
https://identifiers.org/aop.events/1715	Inhibition of JAK3
https://identifiers.org/aop.events/1716	Blockade of STAT5 phosphorylation
https://identifiers.org/aop.events/1717	Suppression of STAT5 binding to cytokine gene promoters
https://identifiers.org/aop.events/1718	Suppression of IL-4 production
https://identifiers.org/aop.events/1719	Impairment of T-cell dependent antibody response
https://identifiers.org/aop.events/1720	Trypsin inhibition
https://identifiers.org/aop.events/1721	Increased intestinal monitor peptide level
https://identifiers.org/aop.events/1722	Increased blood CCK level
https://identifiers.org/aop.events/1723	Increased exocrine secretion from pancreatic acinar cells
https://identifiers.org/aop.events/1724	Acinar cell proliferation
https://identifiers.org/aop.events/1725	Pancreatic acinar cell tumors
https://identifiers.org/aop.events/1739	Binding to ACE2
https://identifiers.org/aop.events/1754	Porcupine-induced Wnt secretion and Wnt signaling activation
https://identifiers.org/aop.events/1759	Increase, Cripto-1 expression
https://identifiers.org/aop.events/1760	Inhibition, Activin signaling
https://identifiers.org/aop.events/18	Activation, AhR
https://identifiers.org/aop.events/1822	Maturation of TNF/iNOS-Producing Dendritic Cells
https://identifiers.org/aop.events/1841	Encephalitis
https://identifiers.org/aop.events/1848	Toll Like Receptor (TLR) Dysregulation
https://identifiers.org/aop.events/186	Altered, Neuroanatomy
https://identifiers.org/aop.events/201	Binding of antagonist, NMDA receptors
https://identifiers.org/aop.events/258	Activation, SCD-1
https://identifiers.org/aop.events/26	Antagonism, Androgen receptor
https://identifiers.org/aop.events/264	Activation, SREBP-1c
https://identifiers.org/aop.events/272	Activation/Proliferation, T-cells
https://identifiers.org/aop.events/277	Thyroid hormone synthesis, Decreased
https://identifiers.org/aop.events/279	Thyroperoxidase, Inhibition
https://identifiers.org/aop.events/28	Reduction, Angiogenesis
https://identifiers.org/aop.events/280	Thyroxine (T4) in neuronal tissue, Decreased 
https://identifiers.org/aop.events/281	 Thyroxine (T4) in serum, Decreased
https://identifiers.org/aop.events/286	Altered, Transcription of genes by AR
https://identifiers.org/aop.events/298	Insufficiency, Vascular
https://identifiers.org/aop.events/305	Inhibition, VegfR2
https://identifiers.org/aop.events/350	Increase, Mortality
https://identifiers.org/aop.events/352	N/A, Neurodegeneration
https://identifiers.org/aop.events/36	Inhibition, Aromatase
https://identifiers.org/aop.events/369	Uroporphyria
https://identifiers.org/aop.events/381	Reduced levels of BDNF
https://identifiers.org/aop.events/385	Decrease of synaptogenesis
https://identifiers.org/aop.events/389	Increased, Intracellular Calcium overload
https://identifiers.org/aop.events/408	reduction in ovarian granulosa cells, Aromatase (Cyp19a1)
https://identifiers.org/aop.events/41	Inhibition, Bile Salt Export Pump (ABCB11)
https://identifiers.org/aop.events/424	Inhibition, Na+/I- symporter (NIS)
https://identifiers.org/aop.events/425	Decrease of Thyroidal iodide
https://identifiers.org/aop.events/51	Inhibition, Ca++ ATPase
https://identifiers.org/aop.events/54	Up Regulation, CD36
https://identifiers.org/aop.events/584	Inhibition, sodium channel
https://identifiers.org/aop.events/619	Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)
https://identifiers.org/aop.events/66	Activation, ChREBP
