"__glayCluster","interaction","KER","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"0","pp",,"9606.ENSP00000268164 (pp) 9606.ENSP00000480132","false","pp","9606.ENSP00000268164 (pp) 9606.ENSP00000480132","0.145",,"0.75",,,,,"0.964","0.849"
,"pp",,"9606.ENSP00000363553 (pp) 9606.ENSP00000399745","false","pp","9606.ENSP00000363553 (pp) 9606.ENSP00000399745","0.072",,"0.9",,,,,"0.91","0.116"
"0","pp",,"9606.ENSP00000432660 (pp) 9606.ENSP00000494750","false","pp","9606.ENSP00000432660 (pp) 9606.ENSP00000494750","0.404",,"0.9","0.988",,,,"0.999","0.834"
,"pp",,"9606.ENSP00000432660 (pp) 9606.ENSP00000497733","false","pp","9606.ENSP00000432660 (pp) 9606.ENSP00000497733","0.163",,,"0.045",,,,"0.93","0.92"
,"pp",,"9606.ENSP00000234389 (pp) 9606.ENSP00000293190","false","pp","9606.ENSP00000234389 (pp) 9606.ENSP00000293190","0.05","0.1","0.72",,,,,"0.996","0.985"
,"pp",,"9606.ENSP00000234389 (pp) 9606.ENSP00000263269","false","pp","9606.ENSP00000234389 (pp) 9606.ENSP00000263269","0.052",,"0.72",,,,,"0.996","0.988"
,"pp",,"9606.ENSP00000234389 (pp) 9606.ENSP00000360608","false","pp","9606.ENSP00000234389 (pp) 9606.ENSP00000360608","0.124",,"0.9","0.782",,,,"0.999","0.99"
,"pp",,"9606.ENSP00000234389 (pp) 9606.ENSP00000497806","false","pp","9606.ENSP00000234389 (pp) 9606.ENSP00000497806","0.042",,"0.9","0.091",,,,"0.942","0.418"
,"pp",,"9606.ENSP00000234389 (pp) 9606.ENSP00000332549","false","pp","9606.ENSP00000234389 (pp) 9606.ENSP00000332549","0.044",,"0.8","0.51",,,,"0.998","0.988"
,"pp",,"9606.ENSP00000234389 (pp) 9606.ENSP00000477455","false","pp","9606.ENSP00000234389 (pp) 9606.ENSP00000477455","0.044",,"0.8",,,,,"0.996","0.985"
,"pp",,"9606.ENSP00000234389 (pp) 9606.ENSP00000440185","false","pp","9606.ENSP00000234389 (pp) 9606.ENSP00000440185","0.052",,"0.9",,,,,"0.918","0.205"
,"pp",,"9606.ENSP00000234389 (pp) 9606.ENSP00000355155","false","pp","9606.ENSP00000234389 (pp) 9606.ENSP00000355155",,"0.059","0.72","0.222",,,,"0.995","0.981"
,"pp",,"9606.ENSP00000302150 (pp) 9606.ENSP00000341208","false","pp","9606.ENSP00000302150 (pp) 9606.ENSP00000341208",,,"0.5",,,,,"0.905","0.818"
,"pp",,"9606.ENSP00000302150 (pp) 9606.ENSP00000355370","false","pp","9606.ENSP00000302150 (pp) 9606.ENSP00000355370","0.042",,"0.9",,,,,"0.926","0.296"
,"pp",,"9606.ENSP00000302150 (pp) 9606.ENSP00000312652","false","pp","9606.ENSP00000302150 (pp) 9606.ENSP00000312652","0.056",,"0.9",,,,,"0.985","0.86"
,"pp",,"9606.ENSP00000221086 (pp) 9606.ENSP00000363985","false","pp","9606.ENSP00000221086 (pp) 9606.ENSP00000363985","0.108","0.078","0.9","0.856",,,,"0.988","0.178"
,"pp",,"9606.ENSP00000221086 (pp) 9606.ENSP00000371221","false","pp","9606.ENSP00000221086 (pp) 9606.ENSP00000371221","0.128","0.084","0.9","0.887",,,,"0.998","0.905"
,"pp",,"9606.ENSP00000384484 (pp) 9606.ENSP00000500386","false","pp","9606.ENSP00000384484 (pp) 9606.ENSP00000500386",,,"0.9","0.063",,,,"0.929","0.307"
,"pp",,"9606.ENSP00000441158 (pp) 9606.ENSP00000479606","false","pp","9606.ENSP00000441158 (pp) 9606.ENSP00000479606","0.081","0.048","0.9","0.363",,,,"0.937","0.052"
"0","pp",,"9606.ENSP00000343925 (pp) 9606.ENSP00000362680","false","pp","9606.ENSP00000343925 (pp) 9606.ENSP00000362680",,,"0.9","0.63",,,,"0.995","0.889"
,"pp",,"9606.ENSP00000343925 (pp) 9606.ENSP00000378974","false","pp","9606.ENSP00000343925 (pp) 9606.ENSP00000378974",,,"0.9",,,,,"0.923","0.269"
,"pp",,"9606.ENSP00000343925 (pp) 9606.ENSP00000394560","false","pp","9606.ENSP00000343925 (pp) 9606.ENSP00000394560",,,"0.9",,,,,"0.915","0.186"
,"pp",,"9606.ENSP00000343925 (pp) 9606.ENSP00000360266","false","pp","9606.ENSP00000343925 (pp) 9606.ENSP00000360266",,,"0.9","0.057",,,,"0.967","0.686"
,"pp",,"9606.ENSP00000343925 (pp) 9606.ENSP00000405330","false","pp","9606.ENSP00000343925 (pp) 9606.ENSP00000405330","0.042","0.062","0.9","0.83",,,,"0.998","0.934"
,"pp",,"9606.ENSP00000420213 (pp) 9606.ENSP00000452786","false","pp","9606.ENSP00000420213 (pp) 9606.ENSP00000452786","0.055",,"0.65","0.35",,,,"0.911","0.639"
,"pp",,"9606.ENSP00000420213 (pp) 9606.ENSP00000500386","false","pp","9606.ENSP00000420213 (pp) 9606.ENSP00000500386",,,"0.9",,,,,"0.903","0.072"
,"pp",,"9606.ENSP00000308725 (pp) 9606.ENSP00000367848","false","pp","9606.ENSP00000308725 (pp) 9606.ENSP00000367848","0.099","0.072","0.54","0.9",,,,"0.959","0.116"
,"pp",,"9606.ENSP00000308725 (pp) 9606.ENSP00000381293","false","pp","9606.ENSP00000308725 (pp) 9606.ENSP00000381293","0.05",,"0.9",,,,,"0.913","0.161"
,"pp",,"9606.ENSP00000308725 (pp) 9606.ENSP00000410732","false","pp","9606.ENSP00000308725 (pp) 9606.ENSP00000410732","0.177","0.08","0.54","0.946",,,,"0.99","0.566"
,"pp",,"9606.ENSP00000308725 (pp) 9606.ENSP00000393097","false","pp","9606.ENSP00000308725 (pp) 9606.ENSP00000393097","0.149","0.084","0.9","0.87",,,,"0.993","0.498"
,"pp",,"9606.ENSP00000365757 (pp) 9606.ENSP00000409667","false","pp","9606.ENSP00000365757 (pp) 9606.ENSP00000409667",,,"0.9","0.068",,,,"0.94","0.41"
,"pp",,"9606.ENSP00000365757 (pp) 9606.ENSP00000501150","false","pp","9606.ENSP00000365757 (pp) 9606.ENSP00000501150","0.042",,"0.906",,,,,"0.928","0.267"
,"pp",,"9606.ENSP00000365757 (pp) 9606.ENSP00000428056","false","pp","9606.ENSP00000365757 (pp) 9606.ENSP00000428056","0.057",,"0.907",,,,,"0.921","0.178"
,"pp",,"9606.ENSP00000387549 (pp) 9606.ENSP00000496339","false","pp","9606.ENSP00000387549 (pp) 9606.ENSP00000496339",,"0.057","0.9",,,,,"0.904","0.072"
"0","pp",,"9606.ENSP00000335074 (pp) 9606.ENSP00000354859","false","pp","9606.ENSP00000335074 (pp) 9606.ENSP00000354859","0.202",,"0.65",,,,,"0.954","0.849"
,"pp",,"9606.ENSP00000335074 (pp) 9606.ENSP00000354652","false","pp","9606.ENSP00000335074 (pp) 9606.ENSP00000354652",,,"0.65",,,,,"0.921","0.786"
,"pp",,"9606.ENSP00000335074 (pp) 9606.ENSP00000379472","false","pp","9606.ENSP00000335074 (pp) 9606.ENSP00000379472",,,"0.4",,,,,"0.958","0.933"
,"pp",,"9606.ENSP00000335074 (pp) 9606.ENSP00000384364","false","pp","9606.ENSP00000335074 (pp) 9606.ENSP00000384364","0.086",,,,,,,"0.983","0.983"
,"pp",,"9606.ENSP00000335074 (pp) 9606.ENSP00000376637","false","pp","9606.ENSP00000335074 (pp) 9606.ENSP00000376637","0.044",,"0.75",,,,,"0.948","0.803"
,"pp",,"9606.ENSP00000407685 (pp) 9606.ENSP00000452786","false","pp","9606.ENSP00000407685 (pp) 9606.ENSP00000452786","0.055",,"0.9",,,,,"0.913","0.161"
"0","pp",,"9606.ENSP00000339435 (pp) 9606.ENSP00000385205","false","pp","9606.ENSP00000339435 (pp) 9606.ENSP00000385205",,,,,,,,"0.918","0.918"
,"pp",,"9606.ENSP00000339435 (pp) 9606.ENSP00000381231","false","pp","9606.ENSP00000339435 (pp) 9606.ENSP00000381231","0.057",,"0.929",,,,"0.074","0.948","0.267"
,"pp",,"9606.ENSP00000270458 (pp) 9606.ENSP00000282499","false","pp","9606.ENSP00000270458 (pp) 9606.ENSP00000282499","0.086",,"0.72","0.511",,,,"0.936","0.553"
,"pp",,"9606.ENSP00000270458 (pp) 9606.ENSP00000296526","false","pp","9606.ENSP00000270458 (pp) 9606.ENSP00000296526","0.106",,"0.72","0.878",,,,"0.994","0.853"
,"pp",,"9606.ENSP00000270458 (pp) 9606.ENSP00000272133","false","pp","9606.ENSP00000270458 (pp) 9606.ENSP00000272133","0.067",,"0.72","0.502",,,,"0.917","0.441"
,"pp",,"9606.ENSP00000270458 (pp) 9606.ENSP00000420443","false","pp","9606.ENSP00000270458 (pp) 9606.ENSP00000420443",,,,"0.186",,,,"0.921","0.908"
,"pp",,"9606.ENSP00000270458 (pp) 9606.ENSP00000497806","false","pp","9606.ENSP00000270458 (pp) 9606.ENSP00000497806","0.092",,"0.54","0.11",,,,"0.901","0.765"
,"pp",,"9606.ENSP00000270458 (pp) 9606.ENSP00000365441","false","pp","9606.ENSP00000270458 (pp) 9606.ENSP00000365441","0.045",,"0.9",,,,,"0.92","0.23"
,"pp",,"9606.ENSP00000270458 (pp) 9606.ENSP00000481554","false","pp","9606.ENSP00000270458 (pp) 9606.ENSP00000481554","0.084",,"0.72","0.511",,,,"0.936","0.553"
,"pp",,"9606.ENSP00000270458 (pp) 9606.ENSP00000428994","false","pp","9606.ENSP00000270458 (pp) 9606.ENSP00000428994","0.086",,"0.72","0.885",,,,"0.996","0.882"
,"pp",,"9606.ENSP00000455791 (pp) 9606.ENSP00000477310","false","pp","9606.ENSP00000455791 (pp) 9606.ENSP00000477310","0.059",,"0.54","0.474",,,,"0.946","0.794"
,"pp",,"9606.ENSP00000478887 (pp) 9606.ENSP00000497594","false","pp","9606.ENSP00000478887 (pp) 9606.ENSP00000497594",,,,"0.124",,,,"0.935","0.929"
,"pp",,"9606.ENSP00000478887 (pp) 9606.ENSP00000501092","false","pp","9606.ENSP00000478887 (pp) 9606.ENSP00000501092","0.085",,"0.5","0.292",,,,"0.938","0.832"
,"pp",,"9606.ENSP00000478887 (pp) 9606.ENSP00000495360","false","pp","9606.ENSP00000478887 (pp) 9606.ENSP00000495360","0.058",,"0.5","0.567",,,,"0.985","0.937"
