ke	ensembl
https://identifiers.org/aop.events/12	ENSG00000114200
https://identifiers.org/aop.events/1391	ENSG00000174951
https://identifiers.org/aop.events/1502	ENSG00000048052
https://identifiers.org/aop.events/1503	ENSG00000108091
https://identifiers.org/aop.events/1503	ENSG00000158477
https://identifiers.org/aop.events/1503	ENSG00000158485
https://identifiers.org/aop.events/1503	ENSG00000158481
https://identifiers.org/aop.events/1503	ENSG00000077782
https://identifiers.org/aop.events/1503	ENSG00000203811
https://identifiers.org/aop.events/1503	ENSG00000274618
https://identifiers.org/aop.events/1503	ENSG00000048052
https://identifiers.org/aop.events/1508	ENSG00000130649
https://identifiers.org/aop.events/1512	ENSG00000118217
https://identifiers.org/aop.events/1512	ENSG00000175197
https://identifiers.org/aop.events/1512	ENSG00000172071
https://identifiers.org/aop.events/1512	ENSG00000178607
https://identifiers.org/aop.events/1512	ENSG00000044574
https://identifiers.org/aop.events/1513	ENSG00000171791
https://identifiers.org/aop.events/1513	ENSG00000107643
https://identifiers.org/aop.events/1656	ENSG00000181104
https://identifiers.org/aop.events/1700	ENSG00000125538
https://identifiers.org/aop.events/1702	ENSG00000125538
https://identifiers.org/aop.events/18	ENSG00000106546
https://identifiers.org/aop.events/1841	ENSG00000182871
https://identifiers.org/aop.events/1841	ENSG00000122783
https://identifiers.org/aop.events/279	ENSG00000167419
https://identifiers.org/aop.events/281	ENSG00000163631
https://identifiers.org/aop.events/352	ENSG00000120868
https://identifiers.org/aop.events/352	ENSG00000171791
https://identifiers.org/aop.events/381	ENSG00000176697
https://identifiers.org/aop.events/851	ENSG00000128683
https://identifiers.org/aop.events/888	ENSG00000174951
https://identifiers.org/aop.events/957	ENSG00000163631
https://identifiers.org/aop.events/957	ENSG00000188878
https://identifiers.org/aop.events/958	ENSG00000163631
https://identifiers.org/aop.events/958	ENSG00000130770
https://identifiers.org/aop.events/958	ENSG00000163599
https://identifiers.org/aop.events/958	ENSG00000197408
https://identifiers.org/aop.events/958	ENSG00000256612
https://identifiers.org/aop.events/958	ENSG00000151914
https://identifiers.org/aop.events/958	ENSG00000102119
https://identifiers.org/aop.events/958	ENSG00000162769
https://identifiers.org/aop.events/958	ENSG00000111846
https://identifiers.org/aop.events/961	ENSG00000163631
https://identifiers.org/aop.events/961	ENSG00000140505
https://identifiers.org/aop.events/961	ENSG00000197408
https://identifiers.org/aop.events/961	ENSG00000165841
https://identifiers.org/aop.events/961	ENSG00000160868
https://identifiers.org/aop.events/961	ENSG00000211918
https://identifiers.org/aop.events/961	ENSG00000163431
https://identifiers.org/aop.events/961	ENSG00000100294
https://identifiers.org/aop.events/202	ENSG00000164733
https://identifiers.org/aop.events/202	ENSG00000170345
https://identifiers.org/aop.events/202	ENSG00000125740
https://identifiers.org/aop.events/202	ENSG00000169194
https://identifiers.org/aop.events/202	ENSG00000136244
https://identifiers.org/aop.events/202	ENSG00000198001
https://identifiers.org/aop.events/202	ENSG00000117595
https://identifiers.org/aop.events/202	ENSG00000177606
https://identifiers.org/aop.events/202	ENSG00000130522
https://identifiers.org/aop.events/986	ENSG00000015475
https://identifiers.org/aop.events/986	ENSG00000126759
https://identifiers.org/aop.events/986	ENSG00000109471
https://identifiers.org/aop.events/986	ENSG00000113520
https://identifiers.org/aop.events/1477	ENSG00000047936
https://identifiers.org/aop.events/1502	ENSG00000167815
https://identifiers.org/aop.events/1503	ENSG00000171136
https://identifiers.org/aop.events/1508	ENSG00000104044
https://identifiers.org/aop.events/1510	ENSG00000047936
