"__glayCluster","interaction","KER","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
,"pp",,"9606.ENSP00000324511 (pp) 9606.ENSP00000494051","false","pp","9606.ENSP00000324511 (pp) 9606.ENSP00000494051","0.055","0.093","0.54","0.901",,,,"0.962","0.199"
,"pp",,"9606.ENSP00000324511 (pp) 9606.ENSP00000391311","false","pp","9606.ENSP00000324511 (pp) SEPTIN5
","0.044","0.058","0.54","0.872",,,,"0.964","0.428"
,"pp",,"9606.ENSP00000324511 (pp) 9606.ENSP00000391249","false","pp","9606.ENSP00000324511 (pp) 9606.ENSP00000391249","0.081","0.094","0.54","0.899",,,,"0.963","0.193"
,"pp",,"9606.ENSP00000324511 (pp) 9606.ENSP00000349116","false","pp","9606.ENSP00000324511 (pp) 9606.ENSP00000349116","0.1","0.112","0.54","0.887",,,,"0.977","0.533"
,"pp",,"9606.ENSP00000324511 (pp) 9606.ENSP00000367991","false","pp","9606.ENSP00000324511 (pp) SEPTIN8","0.113","0.113","0.54","0.887",,,,"0.962","0.215"
,"pp",,"9606.ENSP00000324511 (pp) 9606.ENSP00000341524","false","pp","9606.ENSP00000324511 (pp) 9606.ENSP00000341524","0.231","0.113","0.54","0.914",,,,"0.975","0.223"
,"pp",,"9606.ENSP00000324511 (pp) 9606.ENSP00000413507","false","pp","9606.ENSP00000324511 (pp) 989","0.049","0.088","0.54","0.84",,,,"0.933","0.114"
,"pp",,"9606.ENSP00000324511 (pp) 9606.ENSP00000479861","false","pp","9606.ENSP00000324511 (pp) 9606.ENSP00000479861","0.049","0.069","0.54","0.839",,,,"0.928","0.083"
,"pp",,"9606.ENSP00000324511 (pp) 9606.ENSP00000422896","false","pp","9606.ENSP00000324511 (pp) 55752","0.107","0.113","0.54","0.896",,,,"0.98","0.568"
"0","pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000382423","false","pp","9606.ENSP00000300574 (pp) 9606.ENSP00000382423",,,"0.9",,,,,"0.91","0.146"
,"pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000447241","false","pp","9606.ENSP00000300574 (pp) 9606.ENSP00000447241","0.096",,"0.9","0.292",,,,"0.997","0.972"
,"pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000391669","false","pp","9606.ENSP00000300574 (pp) BCAR1","0.064",,"0.9","0.929",,,,"0.999","0.998"
,"pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000317272","false","pp","9606.ENSP00000300574 (pp) 4233","0.085",,"0.65","0.371",,,,"0.91","0.607"
,"pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000393312","false","pp","9606.ENSP00000300574 (pp) 2260","0.044",,"0.65","0.694",,,,"0.918","0.301"
,"pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000341189","false","pp","9606.ENSP00000300574 (pp) 9606.ENSP00000341189","0.06",,"0.9","0.778",,,,"0.997","0.899"
,"pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000417273","false","pp","9606.ENSP00000300574 (pp) 9606.ENSP00000417273","0.054",,,"0.07",,,,"0.958","0.956"
"0","pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000378974","false","pp","9606.ENSP00000300574 (pp) MAPK8","0.06",,"0.9","0.681",,,,"0.984","0.547"
,"pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000267257","false","pp","9606.ENSP00000300574 (pp) PXN","0.049",,"0.5","0.752",,,,"0.999","0.995"
,"pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000380638","false","pp","9606.ENSP00000300574 (pp) PTK2B","0.042",,"0.9",,,,,"0.969","0.703"
,"pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000428056","false","pp","9606.ENSP00000300574 (pp) 9606.ENSP00000428056","0.042",,"0.65","0.849",,,,"0.979","0.651"
,"pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000376345","false","pp","9606.ENSP00000300574 (pp) 2885;GRB2","0.062",,"0.5","0.789",,,,"0.98","0.83"
,"pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000485033","false","pp","9606.ENSP00000300574 (pp) 9606.ENSP00000485033","0.058",,"0.9","0.905",,,,"0.999","0.999"
"0","pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000362680","false","pp","9606.ENSP00000300574 (pp) 9606.ENSP00000362680","0.087",,"0.9","0.734",,,,"0.999","0.995"
"0","pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000410402","false","pp","9606.ENSP00000300574 (pp) 9606.ENSP00000410402","0.182",,"0.9",,,,,"0.935","0.277"
,"pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000262741","false","pp","9606.ENSP00000300574 (pp) PIK3R3","0.049",,"0.65","0.617",,,,"0.926","0.491"
,"pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000346300","false","pp","9606.ENSP00000300574 (pp) CRKL","0.06","0.055","0.9",,,,,"0.979","0.798"
,"pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000346671","false","pp","9606.ENSP00000300574 (pp) FYN",,,"0.5","0.068",,,,"0.938","0.878"
,"pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000320176","false","pp","9606.ENSP00000300574 (pp) 9606.ENSP00000320176","0.049",,"0.9","0.06",,,,"0.945","0.463"
"0","pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000275493","false","pp","9606.ENSP00000300574 (pp) EGFR","0.049",,"0.9","0.847",,,,"0.997","0.855"
"0","pp",,"9606.ENSP00000300574 (pp) 9606.ENSP00000394560","false","pp","9606.ENSP00000300574 (pp) MAPK9","0.074",,"0.9","0.046",,,,"0.923","0.232"
"0","pp",,"9606.ENSP00000441434 (pp) 9606.ENSP00000476228","false","pp","4837 (pp) 23408","0.061",,"0.9",,,,,"0.919","0.215"
,"pp",,"9606.ENSP00000263851 (pp) 9606.ENSP00000363318","false","pp","9606.ENSP00000263851 (pp) 3561","0.09",,"0.9","0.541",,,,"0.999","0.997"
,"pp",,"9606.ENSP00000263851 (pp) 9606.ENSP00000385675","false","pp","9606.ENSP00000263851 (pp) 3569","0.067",,,,,,,"0.983","0.984"
