source	target	GO_term_matches
1	2	46
1	3	192
1	4	861
1	5	22
1	6	248
1	7	49
1	8	17
1	9	99
1	10	48
1	11	2
1	12	38
1	13	61
1	14	91
1	15	12
1	16	3
1	17	36
1	18	32
1	20	18
1	21	62
1	178	80
1	181	7
1	245	82
1	272	59
2	3	7
2	4	59
2	5	5
2	6	11
2	7	9
2	8	7
2	9	11
2	10	2
2	11	0
2	12	8
2	13	12
2	14	5
2	15	2
2	16	0
2	17	4
2	18	8
2	20	0
2	21	20
2	178	5
2	181	2
2	245	4
2	272	3
3	4	96
3	5	0
3	6	96
3	7	13
3	8	4
3	9	4
3	10	15
3	11	7
3	12	32
3	13	36
3	14	23
3	15	5
3	16	4
3	17	19
3	18	9
3	20	0
3	21	70
3	178	47
3	181	4
3	245	47
3	272	31
4	5	143
4	6	203
4	7	24
4	8	41
4	9	284
4	10	84
4	11	5
4	12	245
4	13	136
4	14	37
4	15	43
4	16	4
4	17	38
4	18	27
4	20	4
4	21	100
4	178	22
4	181	2
4	245	14
4	272	19
5	6	13
5	7	3
5	8	24
5	9	77
5	10	3
5	11	0
5	12	16
5	13	26
5	14	0
5	15	7
5	16	1
5	17	13
5	18	0
5	20	0
5	21	30
5	178	0
5	181	1
5	245	0
5	272	0
6	7	10
6	8	1
6	9	62
6	10	31
6	11	5
6	12	12
6	13	19
6	14	11
6	15	5
6	16	3
6	17	6
6	18	7
6	20	3
6	21	47
6	178	9
6	181	0
6	245	9
6	272	7
7	8	6
7	9	6
7	10	1
7	11	0
7	12	3
7	13	7
7	14	6
7	15	2
7	16	0
7	17	9
7	18	7
7	20	1
7	21	5
7	178	10
7	181	2
7	245	9
7	272	5
8	9	25
8	10	1
8	11	0
8	12	14
8	13	63
8	14	2
8	15	5
8	16	0
8	17	15
8	18	2
8	20	0
8	21	27
8	178	0
8	181	24
8	245	0
8	272	0
9	10	10
9	11	0
9	12	24
9	13	18
9	14	1
9	15	5
9	16	0
9	17	8
9	18	5
9	20	2
9	21	26
9	178	0
9	181	3
9	245	0
9	272	0
10	11	2
10	12	6
10	13	25
10	14	3
10	15	4
10	16	1
10	17	3
10	18	1
10	20	0
10	21	21
10	178	0
10	181	0
10	245	0
10	272	4
11	12	6
11	13	1
11	14	4
11	15	0
11	16	17
11	17	1
11	18	0
11	20	0
11	21	3
11	178	0
11	181	0
11	245	0
11	272	0
12	13	27
12	14	37
12	15	5
12	16	4
12	17	2
12	18	1
12	20	0
12	21	24
12	178	14
12	181	1
12	245	16
12	272	14
13	14	5
13	15	11
13	16	2
13	17	20
13	18	3
13	20	0
13	21	60
13	178	1
13	181	17
13	245	2
13	272	1
14	15	6
14	16	3
14	17	14
14	18	0
14	20	0
14	21	8
14	178	8
14	181	0
14	245	9
14	272	7
15	16	4
15	17	3
15	18	1
15	20	0
15	21	20
15	178	0
15	181	1
15	245	0
15	272	0
16	17	0
16	18	0
16	20	0
16	21	1
16	178	0
16	181	0
16	245	0
16	272	0
17	18	3
17	20	0
17	21	13
17	178	2
17	181	10
17	245	3
17	272	2
18	20	2
18	21	2
18	178	1
18	181	2
18	245	1
18	272	1
20	21	0
20	178	1
20	181	0
20	245	1
20	272	1
21	178	1
21	181	3
21	245	1
21	272	1
178	181	0
178	245	53
178	272	39
181	245	0
181	272	0
245	272	42
