Ensembl	KEid	KEtitle	AOid	AOtitle	AOPid	AOPtitle
ENSG00000000005	https://identifiers.org/aop.events/960	Increased, Uptake of thyroxine into tissue	https://identifiers.org/aop.events/402	Cognitive Function, Decreased	https://identifiers.org/aop/152	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000002549	https://identifiers.org/aop.events/1493	Increased Pro-inflammatory mediators	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/17	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory
ENSG00000005022	https://identifiers.org/aop.events/756; https://identifiers.org/aop.events/425; https://identifiers.org/aop.events/959; https://identifiers.org/aop.events/1656; https://identifiers.org/aop.events/958; https://identifiers.org/aop.events/280; https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/279; https://identifiers.org/aop.events/424; https://identifiers.org/aop.events/961; https://identifiers.org/aop.events/957; https://identifiers.org/aop.events/277; https://identifiers.org/aop.events/281	Hippocampal gene expression, Altered ; Decrease of Thyroidal iodide; Increased, Free serum thyroxine (T4); Antagonism, Thyroid Receptor ; Displacement, Serum thyroxine (T4) from transthyretin; Thyroxine (T4) in neuronal tissue, Decreased ; Increased, Uptake of thyroxine into tissue; Thyroperoxidase, Inhibition; Inhibition, Na+/I- symporter (NIS); Increased, Clearance of thyroxine from serum; Binding, Transthyretin in serum; Thyroid hormone synthesis, Decreased;  Thyroxine (T4) in serum, Decreased	https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402	Cognitive Function, Decreased; Cognitive Function, Decreased ; Impairment, Learning and memory; Cognitive Function, Decreased; Cognitive Function, Decreased; Cognitive Function, Decreased; Cognitive Function, Decreased ; Impairment, Learning and memory; Cognitive Function, Decreased; Cognitive Function, Decreased ; Increase, seizure; Cognitive Function, Decreased ; Impairment, Learning and memory; Cognitive Function, Decreased; Cognitive Function, Decreased; Cognitive Function, Decreased ; Impairment, Learning and memory; Increase, seizure; Cognitive Function, Decreased ; Impairment, Learning and memory	https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/300; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/152; https://identifiers.org/aop/300; https://identifiers.org/aop/485; https://identifiers.org/aop/152; https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/152; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/152; https://identifiers.org/aop/458; https://identifiers.org/aop/152; https://identifiers.org/aop/134; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65	AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity ; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Thyroid Receptor Antagonism and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; Thyroid Receptor Antagonism and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Thyroid hormone antagonism leading to impaired oligodendrocyte maturation during development and subsequent decreased cognition; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity ; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Thyroid peroxidase (TPO) inhibition leads to periventricular heterotopia formation in the developing rat brain; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Thyroid peroxidase (TPO) inhibition leads to periventricular heterotopia formation in the developing rat brain; XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity ; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals
ENSG00000028137	https://identifiers.org/aop.events/381	Reduced levels of BDNF	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/352	Impairment, Learning and memory; N/A, Neurodegeneration	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/54	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment
ENSG00000031698	https://identifiers.org/aop.events/1841; https://identifiers.org/aop.events/352	Encephalitis; N/A, Neurodegeneration	https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/1363; https://identifiers.org/aop.events/1841; https://identifiers.org/aop.events/896; https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/1363; https://identifiers.org/aop.events/1583; https://identifiers.org/aop.events/1841; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/352; https://identifiers.org/aop.events/896	Encephalitis; Increase, seizure; Increased, epilepsy; Parkinsonian motor deficits; Encephalitis; Impairment, Learning and memory; Increase, seizure; Increased, epilepsy; N/A, Neurodegeneration; Parkinsonian motor deficits; Sensory axonal peripheral neuropathy	https://identifiers.org/aop/374; https://identifiers.org/aop/471; https://identifiers.org/aop/12; https://identifiers.org/aop/281; https://identifiers.org/aop/374; https://identifiers.org/aop/450; https://identifiers.org/aop/471; https://identifiers.org/aop/48; https://identifiers.org/aop/500	Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on brain cells (neuronal and non-neuronal) leads to neuroinflammation resulting in encephalitis; Various neuronal effects induced by elavl3, sox10, and mbp; Inhibition of AChE and activation of CYP2E1 leading to sensory axonal peripheral neuropathy and mortality; Acetylcholinesterase Inhibition Leading to Neurodegeneration; Activation of MEK-ERK1/2 leads to deficits in learning and cognition via ROS and apoptosis; Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on brain cells (neuronal and non-neuronal) leads to neuroinflammation resulting in encephalitis; Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging; Various neuronal effects induced by elavl3, sox10, and mbp
ENSG00000033627	https://identifiers.org/aop.events/1738	SARS-CoV-2 cell entry 	https://identifiers.org/aop.events/1875	Cerebrovascular disease (stroke)	https://identifiers.org/aop/395	Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on pericytes leads to disseminated intravascular coagulation resulting in cerebrovascular disease (stroke)
ENSG00000035928	https://identifiers.org/aop.events/383	Reduced, Presynaptic release of glutamate	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/13	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities
ENSG00000042832	https://identifiers.org/aop.events/425; https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/279	Decrease of Thyroidal iodide; Increased Pro-inflammatory mediators; Thyroperoxidase, Inhibition	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/402	Cognitive Function, Decreased ; Impairment, Learning and memory; Impairment, Learning and memory; Cognitive Function, Decreased ; Increase, seizure	https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/17; https://identifiers.org/aop/402; https://identifiers.org/aop/42	Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Thyroid peroxidase (TPO) inhibition leads to periventricular heterotopia formation in the developing rat brain
ENSG00000044574	https://identifiers.org/aop.events/1512	Unfolded Protein Response	https://identifiers.org/aop.events/1514; https://identifiers.org/aop.events/896	Neurodegeneration; Parkinsonian motor deficits	https://identifiers.org/aop/260; https://identifiers.org/aop/464	CYP2E1 activation and formation of protein adducts leading to neurodegeneration; Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits
ENSG00000047457	https://identifiers.org/aop.events/960	Increased, Uptake of thyroxine into tissue	https://identifiers.org/aop.events/402	Cognitive Function, Decreased	https://identifiers.org/aop/152	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
