Ensembl	KEid	KE_title	AOid	AO_title	AOPid	AOP_title
ENSG00000000005	https://identifiers.org/aop.events/1494; https://identifiers.org/aop.events/960	Leukocyte recruitment/activation; Increased, Uptake of thyroxine into tissue	https://identifiers.org/aop.events/1192; https://identifiers.org/aop.events/1193; https://identifiers.org/aop.events/1194; https://identifiers.org/aop.events/185; https://identifiers.org/aop.events/344; https://identifiers.org/aop.events/402	Increase, DNA damage; Increase, Mutations; Increased, Ductal Hyperplasia ; N/A, Breast Cancer; N/A, Liver fibrosis; Cognitive Function, Decreased	https://identifiers.org/aop/144; https://identifiers.org/aop/293; https://identifiers.org/aop/294; https://identifiers.org/aop/494; https://identifiers.org/aop/152	AhR activation leading to liver fibrosis ; Endocytic lysosomal uptake leading to liver fibrosis; Increased DNA damage leading to increased risk of breast cancer; Increased reactive oxygen and nitrogen species (RONS) leading to increased risk of breast cancer; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000000971	https://identifiers.org/aop.events/1854	Dysregulation, ACE2 expression and activity	https://identifiers.org/aop.events/1276	Lung fibrosis	https://identifiers.org/aop/319	Binding to ACE2 leading to lung fibrosis
ENSG00000001626	https://identifiers.org/aop.events/1908; https://identifiers.org/aop.events/1907; https://identifiers.org/aop.events/1906	Cilia Beat Frequency, Decreased; Airway Surface Liquid Height, Decreased ; Cystic Fibrosis Transmembrane Regulator Function, Decreased	https://identifiers.org/aop.events/1250; https://identifiers.org/aop.events/1250; https://identifiers.org/aop.events/1250	Decrease, Lung function; Decrease, Lung function; Decrease, Lung function	https://identifiers.org/aop/411; https://identifiers.org/aop/424; https://identifiers.org/aop/425; https://identifiers.org/aop/424; https://identifiers.org/aop/424	Oxidative Stress Leading to Decreased Lung Function via Decreased FOXJ1; Oxidative stress Leading to Decreased Lung Function ; Oxidative stress Leading to Decreased Lung Function via CFTR dysfunction; Oxidative stress Leading to Decreased Lung Function via CFTR dysfunction; Oxidative stress Leading to Decreased Lung Function via CFTR dysfunction
ENSG00000002549	https://identifiers.org/aop.events/1493	Increased Pro-inflammatory mediators	https://identifiers.org/aop.events/1192; https://identifiers.org/aop.events/1193; https://identifiers.org/aop.events/1194; https://identifiers.org/aop.events/1843; https://identifiers.org/aop.events/185; https://identifiers.org/aop.events/1955; https://identifiers.org/aop.events/2069; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/344; https://identifiers.org/aop.events/351	Acute Myeloid Leukemia; Impairment, Learning and memory; Increase, DNA damage; Increase, Mutations; Increased Mortality; Increased, Ductal Hyperplasia ; Multi Organ Failure involving Acute Respiratory Distress Syndrome; N/A, Breast Cancer; N/A, Liver fibrosis; Occurrence, Vascular Remodeling	https://identifiers.org/aop/144; https://identifiers.org/aop/17; https://identifiers.org/aop/293; https://identifiers.org/aop/294; https://identifiers.org/aop/377; https://identifiers.org/aop/38; https://identifiers.org/aop/432; https://identifiers.org/aop/470	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Deposition of Energy by Ionizing Radiation leading to Acute Myeloid Leukemia; Deposition of energy leads to vascular remodeling; Dysregulated prolonged Toll Like Receptor 9 (TLR9) activation leading to Multi Organ Failure involving Acute Respiratory Distress Syndrome (ARDS); Endocytic lysosomal uptake leading to liver fibrosis; Increased DNA damage leading to increased risk of breast cancer; Increased reactive oxygen and nitrogen species (RONS) leading to increased risk of breast cancer; Protein Alkylation leading to Liver Fibrosis
ENSG00000002745	https://identifiers.org/aop.events/1754	Porcupine-induced Wnt secretion and Wnt signaling activation	https://identifiers.org/aop.events/1651	Treatment-resistant gastric cancer	https://identifiers.org/aop/298	Increases in cellular reactive oxygen species and chronic reactive oxygen species leading to human treatment-resistant gastric cancer
ENSG00000003137	https://identifiers.org/aop.events/1889; https://identifiers.org/aop.events/1881	Premature initiation of meiosis in fetal male germ cells; Decreased, all-trans retinoic acid (atRA) concentration	https://identifiers.org/aop.events/1757; https://identifiers.org/aop.events/1970; https://identifiers.org/aop.events/406	Reduce, Sperm count; impaired, Fertility; transposition of the great arteries	https://identifiers.org/aop/400; https://identifiers.org/aop/398; https://identifiers.org/aop/436	Increased (ectopic) concentration of all-trans retinoic acid (ATRA) if fetal testis leading to reduced sperm count, males; Inhibition of ALDH1A (RALDH) leading to impaired fertility via disrupted meiotic initiation of fetal oogonia of the ovary; Inhibition of RALDH2 causes reduced all-trans retinoic acid levels, leading to transposition of the great arteries
ENSG00000003402	https://identifiers.org/aop.events/2043	Decrease, Sonic Hedgehog second messenger production	https://identifiers.org/aop.events/2042	Orofacial clefting	https://identifiers.org/aop/460; https://identifiers.org/aop/491; https://identifiers.org/aop/502	Antagonism of Smoothened receptor leading to orofacial clefting; Decrease, GLI1/2 target gene expression leads to orofacial clefting ; Decrease, cholesterol synthesis leads to orofacial clefting
ENSG00000004399	https://identifiers.org/aop.events/1885	Inhibition of Plxna2	https://identifiers.org/aop.events/351; https://identifiers.org/aop.events/360	Decrease, Population growth rate; Increased Mortality	https://identifiers.org/aop/399	Inhibition of Fyna leading to increased mortality via decreased eye size (Microphthalmos)
ENSG00000005022	https://identifiers.org/aop.events/756; https://identifiers.org/aop.events/425; https://identifiers.org/aop.events/959; https://identifiers.org/aop.events/1101; https://identifiers.org/aop.events/1009; https://identifiers.org/aop.events/1656; https://identifiers.org/aop.events/958; https://identifiers.org/aop.events/1116; https://identifiers.org/aop.events/1003; https://identifiers.org/aop.events/280; https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/279; https://identifiers.org/aop.events/424; https://identifiers.org/aop.events/961; https://identifiers.org/aop.events/957; https://identifiers.org/aop.events/277; https://identifiers.org/aop.events/1002; https://identifiers.org/aop.events/281	Hippocampal gene expression, Altered ; Decrease of Thyroidal iodide; Increased, Free serum thyroxine (T4); Altered, Amphibian metamorphosis; Inhibition, Deiodinase 1; Antagonism, Thyroid Receptor ; Displacement, Serum thyroxine (T4) from transthyretin; Decreased, Triiodothyronine (T3) in tissues; Decreased, Triiodothyronine (T3); Thyroxine (T4) in neuronal tissue, Decreased ; Increased, Uptake of thyroxine into tissue; Thyroperoxidase, Inhibition; Inhibition, Na+/I- symporter (NIS); Increased, Clearance of thyroxine from serum; Binding, Transthyretin in serum; Thyroid hormone synthesis, Decreased; Inhibition, Deiodinase 2;  Thyroxine (T4) in serum, Decreased	https://identifiers.org/aop.events/319; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/1101; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/1101; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/1101; https://identifiers.org/aop.events/1101; https://identifiers.org/aop.events/351; https://identifiers.org/aop.events/360; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/1101; https://identifiers.org/aop.events/1101; https://identifiers.org/aop.events/351; https://identifiers.org/aop.events/360; https://identifiers.org/aop.events/319; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/1101; https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/2095; https://identifiers.org/aop.events/351; https://identifiers.org/aop.events/360; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/741; https://identifiers.org/aop.events/78; https://identifiers.org/aop.events/1101; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/741; https://identifiers.org/aop.events/1101; https://identifiers.org/aop.events/319; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/741; https://identifiers.org/aop.events/1101; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/1101; https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/2095; https://identifiers.org/aop.events/2119; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/351; https://identifiers.org/aop.events/360; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/741; https://identifiers.org/aop.events/78; https://identifiers.org/aop.events/814; https://identifiers.org/aop.events/1101; https://identifiers.org/aop.events/351; https://identifiers.org/aop.events/360; https://identifiers.org/aop.events/1101; https://identifiers.org/aop.events/2119; https://identifiers.org/aop.events/319; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/351; https://identifiers.org/aop.events/360; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/741; https://identifiers.org/aop.events/814	Cognitive Function, Decreased ; Loss, Cochlear function; Altered, Amphibian metamorphosis; Cognitive Function, Decreased ; Impairment, Learning and memory; Altered, Amphibian metamorphosis; Cognitive Function, Decreased; Altered, Amphibian metamorphosis; Altered, Amphibian metamorphosis; Decrease, Population growth rate; Increased Mortality; Cognitive Function, Decreased; Cognitive Function, Decreased; Altered, Amphibian metamorphosis; Altered, Amphibian metamorphosis; Decrease, Population growth rate; Increased Mortality; Cognitive Function, Decreased ; Impairment, Learning and memory; Loss, Cochlear function; Cognitive Function, Decreased; Altered, Amphibian metamorphosis; Cognitive Function, Decreased ; Decrease, Population growth rate; Increase, Adenomas/carcinomas (follicular cell); Increase, seizure; Increased Mortality; Periventricular heterotopia formation; Reduction, Cumulative fecundity and spawning; Altered, Amphibian metamorphosis; Cognitive Function, Decreased ; Impairment, Learning and memory; Increase, Adenomas/carcinomas (follicular cell); Altered, Amphibian metamorphosis; Cognitive Function, Decreased ; Increase, Adenomas/carcinomas (follicular cell); Loss, Cochlear function; Altered, Amphibian metamorphosis; Cognitive Function, Decreased; Altered, Amphibian metamorphosis; Cognitive Function, Decreased ; Decrease, Population growth rate; Impairment, Learning and memory; Increase, Adenomas/carcinomas (follicular cell); Increase, seizure; Increased Mortality; Insulin resistance, increased; Occurrence, Kidney toxicity; Periventricular heterotopia formation; Reduction, Cumulative fecundity and spawning; Altered, Amphibian metamorphosis; Decrease, Population growth rate; Increased Mortality; Altered, Amphibian metamorphosis; Cognitive Function, Decreased ; Decrease, Population growth rate; Impairment, Learning and memory; Increase, Adenomas/carcinomas (follicular cell); Increased Mortality; Insulin resistance, increased; Loss, Cochlear function; Occurrence, Kidney toxicity	https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/300; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/8; https://identifiers.org/aop/134; https://identifiers.org/aop/176; https://identifiers.org/aop/188; https://identifiers.org/aop/54; https://identifiers.org/aop/152; https://identifiers.org/aop/366; https://identifiers.org/aop/367; https://identifiers.org/aop/175; https://identifiers.org/aop/176; https://identifiers.org/aop/188; https://identifiers.org/aop/189; https://identifiers.org/aop/190; https://identifiers.org/aop/191; https://identifiers.org/aop/192; https://identifiers.org/aop/193; https://identifiers.org/aop/194; https://identifiers.org/aop/366; https://identifiers.org/aop/367; https://identifiers.org/aop/157; https://identifiers.org/aop/158; https://identifiers.org/aop/189; https://identifiers.org/aop/300; https://identifiers.org/aop/485; https://identifiers.org/aop/152; https://identifiers.org/aop/189; https://identifiers.org/aop/190; https://identifiers.org/aop/155; https://identifiers.org/aop/156; https://identifiers.org/aop/157; https://identifiers.org/aop/158; https://identifiers.org/aop/159; https://identifiers.org/aop/189; https://identifiers.org/aop/363; https://identifiers.org/aop/364; https://identifiers.org/aop/365; https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/8; https://identifiers.org/aop/152; https://identifiers.org/aop/119; https://identifiers.org/aop/159; https://identifiers.org/aop/175; https://identifiers.org/aop/271; https://identifiers.org/aop/363; https://identifiers.org/aop/364; https://identifiers.org/aop/365; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/110; https://identifiers.org/aop/134; https://identifiers.org/aop/176; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/152; https://identifiers.org/aop/162; https://identifiers.org/aop/194; https://identifiers.org/aop/366; https://identifiers.org/aop/367; https://identifiers.org/aop/458; https://identifiers.org/aop/8; https://identifiers.org/aop/152; https://identifiers.org/aop/366; https://identifiers.org/aop/110; https://identifiers.org/aop/119; https://identifiers.org/aop/128; https://identifiers.org/aop/134; https://identifiers.org/aop/159; https://identifiers.org/aop/175; https://identifiers.org/aop/176; https://identifiers.org/aop/188; https://identifiers.org/aop/192; https://identifiers.org/aop/193; https://identifiers.org/aop/271; https://identifiers.org/aop/363; https://identifiers.org/aop/364; https://identifiers.org/aop/365; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/457; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/155; https://identifiers.org/aop/156; https://identifiers.org/aop/190; https://identifiers.org/aop/110; https://identifiers.org/aop/119; https://identifiers.org/aop/128; https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/159; https://identifiers.org/aop/162; https://identifiers.org/aop/175; https://identifiers.org/aop/176; https://identifiers.org/aop/188; https://identifiers.org/aop/192; https://identifiers.org/aop/193; https://identifiers.org/aop/194; https://identifiers.org/aop/363; https://identifiers.org/aop/364; https://identifiers.org/aop/365; https://identifiers.org/aop/366; https://identifiers.org/aop/367; https://identifiers.org/aop/42; https://identifiers.org/aop/457; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/8	AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity ; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Thyroid Receptor Antagonism and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Iodotyrosine deiodinase (IYD) inhibition leading to altered amphibian metamorphosis; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Sodium Iodide Symporter (NIS) Inhibition leading to altered amphibian metamorphosis; Competitive binding to thyroid hormone carrier protein thyroid binding globulin (TBG) leading to altered amphibian metamorphosis; Competitive binding to thyroid hormone carrier protein transthyretin (TTR) leading to altered amphibian metamorphosis ; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; Competitive binding to thyroid hormone carrier protein thyroid binding globulin (TBG) leading to altered amphibian metamorphosis; Competitive binding to thyroid hormone carrier protein transthyretin (TTR) leading to altered amphibian metamorphosis ; Dual oxidase (DUOX) inhibition leading to altered amphibian metamorphosis; Hepatic nuclear receptor activation leading to altered amphibian metamorphosis; Iodotyrosine deiodinase (IYD) inhibition leading to altered amphibian metamorphosis; Pendrin inhibition leading to altered amphibian metamorphosis; Sodium Iodide Symporter (NIS) Inhibition leading to altered amphibian metamorphosis; Thyroperoxidase inhibition leading to altered amphibian metamorphosis; Type I iodothyronine deiodinase (DIO1) inhibition leading to altered amphibian metamorphosis; Type II iodothyronine deiodinase (DIO2) inhibition leading to altered amphibian metamorphosis; Type III iodotyrosine deiodinase (DIO3) inhibition leading to altered amphibian metamorphosis; Deiodinase 1 inhibition leading to increased mortality via reduced anterior swim bladder inflation; Deiodinase 1 inhibition leading to increased mortality via reduced posterior swim bladder inflation ; Type I iodothyronine deiodinase (DIO1) inhibition leading to altered amphibian metamorphosis; Thyroid Receptor Antagonism and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Thyroid hormone antagonism leading to impaired oligodendrocyte maturation during development and subsequent decreased cognition; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; Type I iodothyronine deiodinase (DIO1) inhibition leading to altered amphibian metamorphosis; Type II iodothyronine deiodinase (DIO2) inhibition leading to altered amphibian metamorphosis; Deiodinase 1 inhibition leading to increased mortality via reduced anterior swim bladder inflation; Deiodinase 1 inhibition leading to increased mortality via reduced posterior swim bladder inflation ; Deiodinase 2 inhibition leading to increased mortality via reduced anterior swim bladder inflation; Deiodinase 2 inhibition leading to increased mortality via reduced posterior swim bladder inflation; Thyroperoxidase inhibition leading to altered visual function via altered photoreceptor patterning; Thyroperoxidase inhibition leading to altered visual function via altered retinal layer structure; Thyroperoxidase inhibition leading to altered visual function via decreased eye size; Thyroperoxidase inhibition leading to increased mortality via reduced anterior swim bladder inflation; Type I iodothyronine deiodinase (DIO1) inhibition leading to altered amphibian metamorphosis; AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity ; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of thyroid peroxidase leading to follicular cell adenomas and carcinomas (in rat and mouse); Inhibition of thyroid peroxidase leading to impaired fertility in fish; Thyroid peroxidase (TPO) inhibition leads to periventricular heterotopia formation in the developing rat brain; Thyroperoxidase inhibition leading to altered amphibian metamorphosis; Thyroperoxidase inhibition leading to altered visual function via altered photoreceptor patterning; Thyroperoxidase inhibition leading to altered visual function via altered retinal layer structure; Thyroperoxidase inhibition leading to altered visual function via decreased eye size; Thyroperoxidase inhibition leading to increased mortality via reduced anterior swim bladder inflation; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Inhibition of iodide pump activity leading to follicular cell adenomas and carcinomas (in rat and mouse); Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Sodium Iodide Symporter (NIS) Inhibition leading to altered amphibian metamorphosis; XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Competitive binding to thyroid hormone carrier protein thyroid binding globulin (TBG) leading to altered amphibian metamorphosis; Competitive binding to thyroid hormone carrier protein transthyretin (TTR) leading to altered amphibian metamorphosis ; Enhanced hepatic clearance of thyroid hormones leading to thyroid follicular cell adenomas and carcinomas in the rat and mouse; Hepatic nuclear receptor activation leading to altered amphibian metamorphosis; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity ; Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Competitive binding to thyroid hormone carrier protein transthyretin (TTR) leading to altered amphibian metamorphosis ; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Dual oxidase (DUOX) inhibition leading to altered amphibian metamorphosis; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of iodide pump activity leading to follicular cell adenomas and carcinomas (in rat and mouse); Inhibition of thyroid peroxidase leading to follicular cell adenomas and carcinomas (in rat and mouse); Inhibition of thyroid peroxidase leading to impaired fertility in fish; Iodotyrosine deiodinase (IYD) inhibition leading to altered amphibian metamorphosis; Kidney dysfunction by decreased thyroid hormone; Pendrin inhibition leading to altered amphibian metamorphosis; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Sodium Iodide Symporter (NIS) Inhibition leading to altered amphibian metamorphosis; Succinate dehydrogenase inhibition leading to increased insulin resistance through reduction in circulating thyroxine; Thyroid peroxidase (TPO) inhibition leads to periventricular heterotopia formation in the developing rat brain; Thyroperoxidase inhibition leading to altered amphibian metamorphosis; Thyroperoxidase inhibition leading to altered visual function via altered photoreceptor patterning; Thyroperoxidase inhibition leading to altered visual function via altered retinal layer structure; Thyroperoxidase inhibition leading to altered visual function via decreased eye size; Thyroperoxidase inhibition leading to increased mortality via reduced anterior swim bladder inflation; XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Deiodinase 2 inhibition leading to increased mortality via reduced anterior swim bladder inflation; Deiodinase 2 inhibition leading to increased mortality via reduced posterior swim bladder inflation; Type II iodothyronine deiodinase (DIO2) inhibition leading to altered amphibian metamorphosis; AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Competitive binding to thyroid hormone carrier protein thyroid binding globulin (TBG) leading to altered amphibian metamorphosis; Competitive binding to thyroid hormone carrier protein transthyretin (TTR) leading to altered amphibian metamorphosis ; Dual oxidase (DUOX) inhibition leading to altered amphibian metamorphosis; Enhanced hepatic clearance of thyroid hormones leading to thyroid follicular cell adenomas and carcinomas in the rat and mouse; Hepatic nuclear receptor activation leading to altered amphibian metamorphosis; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of iodide pump activity leading to follicular cell adenomas and carcinomas (in rat and mouse); Inhibition of thyroid peroxidase leading to follicular cell adenomas and carcinomas (in rat and mouse); Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity ; Iodotyrosine deiodinase (IYD) inhibition leading to altered amphibian metamorphosis; Kidney dysfunction by decreased thyroid hormone; Pendrin inhibition leading to altered amphibian metamorphosis; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Sodium Iodide Symporter (NIS) Inhibition leading to altered amphibian metamorphosis; Succinate dehydrogenase inhibition leading to increased insulin resistance through reduction in circulating thyroxine; Thyroperoxidase inhibition leading to altered amphibian metamorphosis; Thyroperoxidase inhibition leading to altered visual function via altered photoreceptor patterning; Thyroperoxidase inhibition leading to altered visual function via altered retinal layer structure; Thyroperoxidase inhibition leading to altered visual function via decreased eye size; Thyroperoxidase inhibition leading to increased mortality via reduced anterior swim bladder inflation; Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals
ENSG00000006062	https://identifiers.org/aop.events/1848	Toll Like Receptor (TLR) Dysregulation	https://identifiers.org/aop.events/1843; https://identifiers.org/aop.events/351	Increased Mortality; Multi Organ Failure involving Acute Respiratory Distress Syndrome	https://identifiers.org/aop/320; https://identifiers.org/aop/377	Binding of SARS-CoV-2 to ACE2 receptor leading to acute respiratory distress associated mortality; Dysregulated prolonged Toll Like Receptor 9 (TLR9) activation leading to Multi Organ Failure involving Acute Respiratory Distress Syndrome (ARDS)
