identifier	identifier.source	target	target.source
CHEMBL1213492	ChEMBL compound	94187	ChEBI
CHEMBL115225	ChEMBL compound	92179	ChEBI
CHEMBL386051	ChEMBL compound	49791	ChEBI
CHEMBL1236107	ChEMBL compound	90624	ChEBI
CHEMBL284028	ChEMBL compound	113553	ChEBI
CHEMBL242237	ChEMBL compound	40332	ChEBI
CHEMBL297362	ChEMBL compound	92386	ChEBI
CHEMBL483254	ChEMBL compound	85990	ChEBI
CHEMBL403183	ChEMBL compound	85928	ChEBI
CHEMBL50267	ChEMBL compound	107660	ChEBI
CHEMBL286722	ChEMBL compound	82818	ChEBI
CHEMBL325041	ChEMBL compound	52717	ChEBI
CHEMBL578063	ChEMBL compound	52806	ChEBI
CHEMBL3348846	ChEMBL compound	63453	ChEBI
CHEMBL219916	ChEMBL compound	31515	ChEBI
CHEMBL279564	ChEMBL compound	39106	ChEBI
CHEMBL40919	ChEMBL compound	6099	ChEBI
CHEMBL1287853	ChEMBL compound	91408	ChEBI
CHEMBL3586089	ChEMBL compound	124925	ChEBI
CHEMBL15928	ChEMBL compound	64114	ChEBI
CHEMBL31184	ChEMBL compound	29865	ChEBI
CHEMBL267678	ChEMBL compound	114180	ChEBI
CHEMBL255696	ChEMBL compound	75555	ChEBI
CHEMBL603469	ChEMBL compound	91471	ChEBI
CHEMBL1561148	ChEMBL compound	27624	ChEBI
CHEMBL243664	ChEMBL compound	15335	ChEBI
CHEMBL502835	ChEMBL compound	85164	ChEBI
CHEMBL478629	ChEMBL compound	78510	ChEBI
CHEMBL274826	ChEMBL compound	16422	ChEBI
CHEMBL45816	ChEMBL compound	6920	ChEBI
CHEMBL1231330	ChEMBL compound	10696	ChEBI
CHEMBL64925	ChEMBL compound	75142	ChEBI
CHEMBL1256696	ChEMBL compound	31352	ChEBI
CHEMBL9514	ChEMBL compound	34892	ChEBI
CHEMBL259209	ChEMBL compound	135005	ChEBI
CHEMBL459505	ChEMBL compound	102167	ChEBI
CHEMBL498917	ChEMBL compound	63672	ChEBI
CHEMBL512054	ChEMBL compound	2615	ChEBI
CHEMBL233929	ChEMBL compound	27994	ChEBI
CHEMBL406845	ChEMBL compound	78331	ChEBI
CHEMBL83	ChEMBL compound	41774	ChEBI
CHEMBL84	ChEMBL compound	63632	ChEBI
CHEMBL81	ChEMBL compound	8772	ChEBI
CHEMBL95	ChEMBL compound	45980	ChEBI
CHEMBL98	ChEMBL compound	45716	ChEBI
CHEMBL99	ChEMBL compound	46024	ChEBI
CHEMBL96	ChEMBL compound	16865	ChEBI
CHEMBL1359713	ChEMBL compound	83831	ChEBI
CHEMBL1364266	ChEMBL compound	120606	ChEBI
CHEMBL960	ChEMBL compound	6402	ChEBI
CHEMBL443893	ChEMBL compound	119	ChEBI
CHEMBL225519	ChEMBL compound	95058	ChEBI
CHEMBL939	ChEMBL compound	49668	ChEBI
CHEMBL267373	ChEMBL compound	28179	ChEBI
CHEMBL989	ChEMBL compound	31623	ChEBI
CHEMBL441282	ChEMBL compound	64110	ChEBI
CHEMBL61	ChEMBL compound	50305	ChEBI
CHEMBL65	ChEMBL compound	27656	ChEBI
CHEMBL27673	ChEMBL compound	73339	ChEBI
CHEMBL506247	ChEMBL compound	81066	ChEBI
CHEMBL72	ChEMBL compound	47781	ChEBI
CHEMBL75	ChEMBL compound	48336	ChEBI
CHEMBL521851	ChEMBL compound	65326	ChEBI
CHEMBL14370	ChEMBL compound	91710	ChEBI
CHEMBL126077	ChEMBL compound	92352	ChEBI
CHEMBL44	ChEMBL compound	28088	ChEBI
CHEMBL41	ChEMBL compound	5118	ChEBI
CHEMBL375126	ChEMBL compound	92273	ChEBI
CHEMBL39664	ChEMBL compound	34973	ChEBI
CHEMBL50	ChEMBL compound	16243	ChEBI
CHEMBL54	ChEMBL compound	5613	ChEBI
CHEMBL23	ChEMBL compound	101278	ChEBI
CHEMBL28	ChEMBL compound	18388	ChEBI
CHEMBL22	ChEMBL compound	45924	ChEBI
CHEMBL365739	ChEMBL compound	77986	ChEBI
CHEMBL18	ChEMBL compound	101096	ChEBI
CHEMBL11	ChEMBL compound	47499	ChEBI
