PathwayID	source	target
WP3584	ENSG00000169057	ENSG00000134748
WP5407	ENSG00000169918	WP4102
WP2781	R-HSA-1252016	R-HSA-9612287
WP5407	ENSG00000104067	IPR004000
WP4932	ENSG00000009954	ENSG00000132646
WP5412	ENSG00000197442	ENSG00000232810
WP4222	ENSG00000184845	ENSG00000070808
WP4906	ENSG00000072274	ENSG00000010704
WP4906	ENSG00000174007	ENSG00000135837
WP5406	CHEBI:17552	ENSG00000136238
WP5346	ENSG00000143226	ENSG00000143226
WP5346	ENSG00000164733	ENSG00000197747
WP4932	ENSG00000106635	ENSG00000137309
WP2781	R-HSA-1250341	R-HSA-1250359
WP4932	ENSG00000146755	ENSG00000170035
WP3584	ENSG00000142208	ENSG00000176165
WP4932	ENSG00000106635	WP428
WP2781	CHEBI:30616	CHEBI:16618
WP5406	CHEBI:17552	ENSG00000070831
WP5402	CHEBI:29103	CHEBI:29103
WP5412	ENSG00000023287	ENSG00000141580
WP4657	CHEBI:6067	ENSG00000184058
WP5346	ENSG00000104626	CHEBI:18420
WP4657	ENSG00000108424	Q994741
WP5408	ENSG00000103942	ENSG00000161681
WP4657	CHEBI:133748	CHEBI:133748
WP5402	ENSG00000173269	ENSG00000112715
WP4932	ENSG00000146755	ENSG00000213024
WP5402	ENSG00000107779	ENSG00000015171
WP5402	ENSG00000122375	HMDB0002152
WP4932	ENSG00000106683	ENSG00000157168
WP5346	ENSG00000164733	ENSG00000152595
WP4906	ENSG00000174007	WP4536
WP4932	ENSG00000128272	ENSG00000128272
WP4657	ENSG00000184113	ENSG00000165215
WP3584	ENSG00000169813	ENSG00000169057
WP4657	ENSG00000111875	ENSG00000094916
WP2781	R-HSA-1253281	R-HSA-1253284
WP2781	P78352	R-HSA-9612575
WP4905	ENSG00000121634	ENSG00000104067
WP5346	ENSG00000173273	ENSG00000188175
WP4657	ENSG00000099899	Q189101
WP4657	CHEBI:15422	O15547
WP4657	ENSG00000099901	ENSG00000108424
WP4905	ENSG00000104067	ENSG00000183853
WP4905	ENSG00000104067	ENSG00000121743
WP4942	CHEBI:14321	ENSG00000113262
WP4906	CHEBI:57379	CHEBI:57287
WP4942, WP5407	ENSG00000169926	ENSG00000149257
WP4905	CHEBI:16991	WP1980
WP4932	ENSG00000006704	ENSG00000139687
WP2781	ENSG00000130203	P02649
WP5402	CHEBI:29985	CHEBI:16810
WP4083	O75553	R-HSA-8855235
WP408	4784	1543
WP4942	ENSG00000271503	ENSG00000119737
WP4942	CHEBI:15355	ENSG00000175344
WP2781	R-HSA-109797	R-HSA-1250382
WP4932	ENSG00000071462	ENSG00000155974
WP5408	CHEBI:16335	CHEBI:16335
WP5407	ENSG00000104067	ENSG00000143375
WP4657	ENSG00000100084	ENSG00000111875
WP4083	P78509	R-HSA-8854471
WP2781	R-HSA-1250359	R-HSA-1250343
WP5407	ENSG00000198690	ENSG00000144554
WP5402	ENSG00000089163	ENSG00000148672
WP4906	CHEBI:37563	CHEBI:58779
WP4657	ENSG00000164107	ENSG00000070010
WP4657	ENSG00000183072	ENSG00000164093
WP4906	ENSG00000010704	ENSG00000105697
WP5398	ENSG00000169760	ENSG00000132535
WP4940	ENSG00000170113	CHEBI:18420
WP5407	ENSG00000034053	ENSG00000142192
WP4932	CHEBI:16865	CHEBI:16865
WP4942	ENSG00000271503	ENSG00000271503
WP4932	ENSG00000077800	ENSG00000111640
WP4906	ENSG00000073598	ENSG00000117461
WP2781	R-HSA-1252016	R-HSA-9612240
WP5346	ENSG00000104643	ENSG00000003987
WP4932	ENSG00000106683	ENSG00000172757
WP5346	ENSG00000244682	ENSG00000244682
WP5412	ENSG00000197442	ENSG00000127191
WP4657	CPX-5226	WP3310
WP4906	ENSG00000165806	ENSG00000165806
WP4083	R-HSA-8855235	R-HSA-8855258
WP2781	R-HSA-1250221	R-HSA-1250341
WP4657, WP5406	ENSG00000115310	ENSG00000040608
WP5408	ENSG00000197696	ENSG00000135577
WP5408	CHEBI:58165	CHEBI:456215
WP5408	ENSG00000103942	ENSG00000150995
WP4657	ENSG00000054598	ENSG00000054598
WP4657	CHEBI:15035	CHEBI:6067
WP4657	ENSG00000100084	ENSG00000149929
WP5407	ENSG00000034053	ENSG00000125967
WP4905	CHEBI:7794	CHEBI:30879
WP2781	ENSG00000135222	P05814
WP5402	HMDB0001358	HMDB0002152
WP5408	CHEBI:30013	CHEBI:61977
WP4657	HMDB0002104	CHEBI:15893
WP5408	CHEBI:17748	CHEBI:17748
WP4932	ENSG00000189143	ENSG00000163347
WP2781	R-HSA-1251980	R-HSA-1253344
WP4932	CHEBI:61049	ENSG00000077800
WP4906	ENSG00000089159	ENSG00000137845
WP4932	PF03505	ENSG00000189143
WP2781	R-HSA-1251980	R-HSA-1254403
WP2781	ENSG00000113140	P09486
WP4657	ENSG00000184702	ENSG00000138758
WP4942, WP5407	ENSG00000169926	ENSG00000114166
WP2781	R-HSA-1236393	R-HSA-1977955
WP4657	ENSG00000099937	WP558
WP4657	ENSG00000184436	ENSG00000171720
WP4932	CHEBI:18357	CHEBI:18357
WP5408	ENSG00000121274	ENSG00000117394
WP5346	ENSG00000137462	WP400
WP5346	ENSG00000136573	ENSG00000163623
WP5346	ENSG00000258724	ENSG00000164362
WP4657	ENSG00000171791	WP254
WP4906	ENSG00000163960	ENSG00000100644
WP2781	R-HSA-1252016	R-HSA-1254397
WP4932	ENSG00000171720	ENSG00000263001
WP4932	CHEBI:28790	CHEBI:28790
WP3584	ENSG00000169045	ENSG00000169057
WP2781	R-HSA-9612613	R-HSA-9612640
WP4932	ENSG00000263001	ENSG00000158773
WP4657	CHEBI:15893	HMDB0002104
WP5402	ENSG00000107779	ENSG00000143368
WP5412	ENSG00000023287	ENSG00000120899
WP4222	HMDB0001397	HMDB0001314
WP4932	ENSG00000144895	ENSG00000144895
WP5406	ENSG00000151835	ENSG00000124788
WP2781	ENSG00000131095	P14136
WP2781	P29353	R-HSA-1250359
WP2781	R-HSA-113595	R-HSA-1977297
WP2781	R-HSA-1253328	R-HSA-8954171
WP4657	ENSG00000184058	ENSG00000184058
WP2781	P46937	R-HSA-1253341
WP2781	R-HSA-1233235	R-HSA-9612575
WP5408	CHEBI:17562	CHEBI:17562
WP4932	ENSG00000026103	ENSG00000026103
WP4932	ENSG00000106635	WP254
WP2781	R-HSA-1254397	R-HSA-8954210
WP2781	R-HSA-507927	R-HSA-1254284
WP4932	ENSG00000278540	ENSG00000278540
WP5406	ENSG00000205863	ENSG00000181092
WP5398	ENSG00000179915	ENSG00000169992
WP4657	ENSG00000129910	WP1793
WP4657	ENSG00000184436	ENSG00000278637
WP4657, WP5406	ENSG00000105695	ENSG00000040608
WP2781	R-HSA-1253284	R-HSA-1253293
WP5408	ENSG00000135577	WP4424
WP4657	ENSG00000099904	ENSG00000070831
WP4942	ENSG00000144554	ENSG00000198690
WP4906	ENSG00000163975	CHEBI:29033
WP5412	ENSG00000023287	ENSG00000085978
WP4657	P51449	ENSG00000133794
WP4657	ENSG00000183072	ENSG00000159251
WP4932	ENSG00000049541	ENSG00000132646
WP2781	ENSG00000117632	P16949
