source	target	GO_term_matches
155	157	190
155	159	40
155	160	11
155	161	20
155	163	10
155	165	74
155	166	10
155	167	35
155	168	135
155	172	3
155	175	103
155	182	0
155	185	0
155	186	0
155	187	44
155	189	118
155	193	27
155	200	3
155	202	1
155	204	2
155	249	3
155	285	0
155	288	8
155	303	36
155	389	1
157	159	114
157	160	55
157	161	106
157	163	58
157	165	90
157	166	61
157	167	41
157	168	202
157	172	7
157	175	502
157	182	27
157	185	28
157	186	24
157	187	102
157	189	121
157	193	28
157	200	11
157	202	16
157	204	42
157	249	54
157	285	11
157	288	23
157	303	28
157	389	11
159	160	7
159	161	3
159	163	1
159	165	17
159	166	19
159	167	2
159	168	26
159	172	2
159	175	12
159	182	0
159	185	1
159	186	0
159	187	36
159	189	21
159	193	20
159	200	0
159	202	0
159	204	17
159	249	32
159	285	2
159	288	9
159	303	2
159	389	4
160	161	6
160	163	8
160	165	24
160	166	2
160	167	6
160	168	38
160	172	20
160	175	70
160	182	6
160	185	2
160	186	21
160	187	5
160	189	15
160	193	4
160	200	14
160	202	2
160	204	13
160	249	0
160	285	3
160	288	42
160	303	5
160	389	0
161	163	8
161	165	13
161	166	7
161	167	9
161	168	39
161	172	1
161	175	35
161	182	2
161	185	9
161	186	9
161	187	4
161	189	17
161	193	3
161	200	7
161	202	7
161	204	2
161	249	1
161	285	1
161	288	0
161	303	6
161	389	2
163	165	14
163	166	1
163	167	14
163	168	31
163	172	0
163	175	32
163	182	0
163	185	3
163	186	0
163	187	1
163	189	15
163	193	0
163	200	0
163	202	1
163	204	0
163	249	0
163	285	0
163	288	2
163	303	7
163	389	2
165	166	0
165	167	60
165	168	126
165	172	2
165	175	63
165	182	1
165	185	0
165	186	1
165	187	6
165	189	90
165	193	27
165	200	2
165	202	0
165	204	23
165	249	0
165	285	0
165	288	35
165	303	51
165	389	3
166	167	0
166	168	11
166	172	0
166	175	15
166	182	2
166	185	0
166	186	2
166	187	13
166	189	46
166	193	5
166	200	0
166	202	0
166	204	6
166	249	1
166	285	0
166	288	0
166	303	1
166	389	2
167	168	74
167	172	2
167	175	17
167	182	0
167	185	0
167	186	0
167	187	3
167	189	40
167	193	15
167	200	2
167	202	0
167	204	1
167	249	0
167	285	0
167	288	6
167	303	55
167	389	2
168	172	6
168	175	110
168	182	1
168	185	5
168	186	6
168	187	10
168	189	109
168	193	24
168	200	5
168	202	3
168	204	16
168	249	3
168	285	0
168	288	20
168	303	60
168	389	5
172	175	12
172	182	0
172	185	0
172	186	2
172	187	0
172	189	2
172	193	2
172	200	6
172	202	0
172	204	1
172	249	1
172	285	1
172	288	6
172	303	2
172	389	0
175	182	63
175	185	7
175	186	50
175	187	84
175	189	62
175	193	44
175	200	4
175	202	10
175	204	46
175	249	30
175	285	4
175	288	23
175	303	19
175	389	4
182	185	0
182	186	12
182	187	8
182	189	1
182	193	2
182	200	0
182	202	0
182	204	2
182	249	14
182	285	0
182	288	0
182	303	0
182	389	0
185	186	0
185	187	0
185	189	0
185	193	0
185	200	0
185	202	3
185	204	0
185	249	0
185	285	0
185	288	0
185	303	0
185	389	0
186	187	8
186	189	1
186	193	2
186	200	1
186	202	0
186	204	0
186	249	8
186	285	3
186	288	0
186	303	0
186	389	0
187	189	35
187	193	27
187	200	1
187	202	0
187	204	4
187	249	0
187	285	2
187	288	0
187	303	3
187	389	0
189	193	34
189	200	2
189	202	0
189	204	12
189	249	1
189	285	1
189	288	10
189	303	40
189	389	7
193	200	2
193	202	0
193	204	3
193	249	0
193	285	1
193	288	2
193	303	15
193	389	6
200	202	0
200	204	0
200	249	0
200	285	0
200	288	2
200	303	2
200	389	0
202	204	0
202	249	0
202	285	0
202	288	0
202	303	0
202	389	0
204	249	0
204	285	1
204	288	22
204	303	1
204	389	1
249	285	0
249	288	0
249	303	0
249	389	0
285	288	0
285	303	0
285	389	0
288	303	5
288	389	1
303	389	2
