role	count
antineoplastic agent	158
plant metabolite	46
geroprotector	41
apoptosis inducer	40
serotonergic antagonist	30
human metabolite	28
non-steroidal anti-inflammatory drug	28
xenobiotic	28
environmental contaminant	27
mouse metabolite	25
antidepressant	24
vasodilator agent	24
metabolite	22
antioxidant	21
dopaminergic antagonist	21
muscarinic antagonist	21
tyrosine kinase inhibitor	20
EC 2.7.10.1 (receptor protein-tyrosine kinase) inhibitor	19
neuroprotective agent	19
alpha-adrenergic antagonist	18
angiogenesis inhibitor	18
anti-inflammatory drug	18
anticoronaviral agent	18
anti-inflammatory agent	17
analgesic	16
antiemetic	16
non-narcotic analgesic	16
antiparkinson drug	15
dopamine agonist	15
anticonvulsant	13
drug allergen	13
serotonergic agonist	13
H1-receptor antagonist	12
antihypertensive agent	12
EC 1.14.99.1 (prostaglandin-endoperoxide synthase) inhibitor	11
EC 3.4.21.26 (prolyl oligopeptidase) inhibitor	11
antibacterial agent	11
antipyretic	11
bacterial metabolite	11
calcium channel blocker	11
cyclooxygenase 2 inhibitor	11
drug metabolite	11
epidermal growth factor receptor antagonist	11
EC 2.7.11.1 (non-specific serine/threonine protein kinase) inhibitor	10
EC 2.7.11.13 (protein kinase C) inhibitor	10
EC 2.7.11.22 (cyclin-dependent kinase) inhibitor	10
NMDA receptor antagonist	10
serotonin uptake inhibitor	10
EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor	9
adrenergic uptake inhibitor	9
antidyskinesia agent	9
anxiolytic drug	9
radical scavenger	9
EC 2.7.1.137 (phosphatidylinositol 3-kinase) inhibitor	8
EC 2.7.11.26 (tau-protein kinase) inhibitor	8
anti-allergic agent	8
antirheumatic drug	8
bone density conservation agent	8
bronchodilator agent	8
cyclooxygenase 1 inhibitor	8
immunosuppressive agent	8
mTOR inhibitor	8
second generation antipsychotic	8
sedative	8
EC 2.7.10.2 (non-specific protein-tyrosine kinase) inhibitor	7
EC 3.5.1.98 (histone deacetylase) inhibitor	7
anti-asthmatic drug	7
antispasmodic drug	7
apoptosis inhibitor	7
carcinogenic agent	7
immunomodulator	7
muscle relaxant	7
neurotransmitter	7
alpha-adrenergic agonist	6
antimicrobial agent	6
antipruritic drug	6
antipsychotic agent	6
ferroptosis inhibitor	6
first generation antipsychotic	6
parasympatholytic	6
psychotropic drug	6
trypanocidal drug	6
vascular endothelial growth factor receptor antagonist	6
B-Raf inhibitor	5
EC 1.14.13.39 (nitric oxide synthase) inhibitor	5
EC 1.4.3.4 (monoamine oxidase) inhibitor	5
EC 5.99.1.2 (D topoisomerase) inhibitor	5
P450 inhibitor	5
angiogenesis modulating agent	5
antifungal agent	5
antiprotozoal drug	5
cardioprotective agent	5
cardiovascular drug	5
gastrointestinal drug	5
mu-opioid receptor agonist	5
nutraceutical	5
oxytocic	5
platelet aggregation inhibitor	5
protein kinase inhibitor	5
teratogenic agent	5
Aurora kinase inhibitor	4
EC 3.1.3.16 (phosphoprotein phosphatase) inhibitor	4
EC 5.99.1.3 [D topoisomerase (ATP-hydrolysing)] inhibitor	4
Escherichia coli metabolite	4
GABA antagonist	4
Hsp90 inhibitor	4
adrenergic agent	4
antibacterial drug	4
antimalarial	4
antiseptic drug	4
antiviral drug	4
biomarker	4
dermatologic drug	4
diuretic	4
estrogen antagonist	4
estrogen receptor antagonist	4
ferroptosis inducer	4
fungal metabolite	4
gout suppressant	4
histamine antagonist	4
keratolytic drug	4
microtubule-destabilising agent	4
mitogen	4
mutagen	4
neurotoxin	4
nicotinic acetylcholine receptor agonist	4
opioid analgesic	4
phenothiazine antipsychotic drug	4
prodrug	4
proteasome inhibitor	4
serotonergic drug	4
Daphnia magna metabolite	3
EC 1.14.18.1 (tyrosinase) inhibitor	3
EC 1.17.3.2 (xanthine oxidase) inhibitor	3
EC 1.8.1.12 (trypanothione-disulfide reductase) inhibitor	3
EC 3.1.1.7 (acetylcholinesterase) inhibitor	3
EC 3.1.4.* (phosphoric diester hydrolase) inhibitor	3
EC 3.6.3.10 (H(+)/K(+)-exchanging ATPase) inhibitor	3
GABA-gated chloride channel antagonist	3
HIV protease inhibitor	3
NF-kappaB inhibitor	3
Wnt signalling activator	3
anaesthetic	3
anti-arrhythmia drug	3
anticoagulant	3
antimitotic	3
antinematodal drug	3
antiparasitic agent	3
antiviral agent	3
autophagy inducer	3
autophagy inhibitor	3
beta-adrenergic agonist	3
