"DisGeNET","Ensembl","gLayCluster","Literature","Literature.doi","name","Name2","selected","shared name","WikiPathways"
,"ENSG00000231200","1","1","10.1038/s41586-022-04434-5","AC068490.2",,"false","AC068490.2",
,"ENSG00000115073","2","1","10.1038/s41586-022-04434-5","ACTR1B","ACTR1B","false","ACTR1B",
,"ENSG00000117020","3","1","10.1038/s41586-022-04434-5","AKT3","AKT3","false","AKT3",
,"ENSG00000163016","4","1","10.1038/s41586-022-04434-5","ALMS1P","ALMS1P1","false","ALMS1P",
,"ENSG00000174939","5","1","10.1038/s41586-022-04434-5","ASPHD1","ASPHD1","false","ASPHD1",
,"ENSG00000127152","6","1","10.1038/s41586-022-04434-5","BCL11B","BCL11B","false","BCL11B",
,"ENSG00000126453","7","1","10.1038/s41586-022-04434-5","BCL2L12","BCL2L12","false","BCL2L12",
,"ENSG00000104765","8","1","10.1038/s41586-022-04434-5","BNIP3L","BNIP3L","false","BNIP3L",
,"ENSG00000157895","9","1","10.1038/s41586-022-04434-5","C12orf43","C12orf43","false","C12orf43",
,"ENSG00000183166","10","1","10.1038/s41586-022-04434-5","CALN1","CALN1","false","CALN1",
,"ENSG00000145354","11","1","10.1038/s41586-022-04434-5","CISD2","CISD2","false","CISD2",
,"ENSG00000109572","12","1","10.1038/s41586-022-04434-5","CLCN3","CLCN3","false","CLCN3",
,"ENSG00000144619","13","1","10.1038/s41586-022-04434-5","CNTN4","CNTN4","false","CNTN4",
,"ENSG00000143578","14","1","10.1038/s41586-022-04434-5","CREB3L4","CREB3L4","false","CREB3L4",
,"ENSG00000120088","15","1","10.1038/s41586-022-04434-5","CRHR1","CRHR1","false","CRHR1",
,"ENSG00000206129","16","1","10.1038/s41586-022-04434-5","CTD-2008L17.2",,"false","CTD-2008L17.2",
,"ENSG00000112659","17","1","10.1038/s41586-022-04434-5","CUL9","CUL9","false","CUL9",
,"ENSG00000172817","18","1","10.1038/s41586-022-04434-5","CYP7B1","CYP7B1","false","CYP7B1",
,"ENSG00000117593","19","1","10.1038/s41586-022-04434-5","DARS2","DARS2","false","DARS2",
,"ENSG00000163673","20","1","10.1038/s41586-022-04434-5","DCLK3","DCLK3","false","DCLK3",
,"ENSG00000085788","21","1","10.1038/s41586-022-04434-5","DDHD2","DDHD2","false","DDHD2",
,"ENSG00000103423","22","1","10.1038/s41586-022-04434-5","DNAJA3","DNAJA3","false","DNAJA3",
,"ENSG00000170571","23","1","10.1038/s41586-022-04434-5","EMB","EMB","false","EMB",
,"ENSG00000135638","24","1","10.1038/s41586-022-04434-5","EMX1","EMX1","false","EMX1",
,"ENSG00000120658","25","1","10.1038/s41586-022-04434-5","ENOX1","ENOX1","false","ENOX1",
,"ENSG00000262319","26","1","10.1038/s41586-022-04434-5","ENSG00000262319",,"false","ENSG00000262319",
,"ENSG00000072134","27","1","10.1038/s41586-022-04434-5","EPN2","EPN2","false","EPN2",
,"ENSG00000188107","28","1","10.1038/s41586-022-04434-5","EYS","EYS","false","EYS",
,"ENSG00000055147","29","1","10.1038/s41586-022-04434-5","FAM114A2","FAM114A2","false","FAM114A2",
,"ENSG00000204856","30","1","10.1038/s41586-022-04434-5","FAM216A","FAM216A","false","FAM216A",
,"ENSG00000101447","31","1","10.1038/s41586-022-04434-5","FAM83D","FAM83D","false","FAM83D",
,"ENSG00000122687","32","1","10.1038/s41586-022-04434-5","FTSJ2","MRM2","false","FTSJ2",
,"ENSG00000140564","33","1","10.1038/s41586-022-04434-5","FURIN","FURIN","false","FURIN",
,"ENSG00000136928","34","1","10.1038/s41586-022-04434-5","GABBR2","GABBR2","false","GABBR2",
,"ENSG00000167491","35","1","10.1038/s41586-022-04434-5","GATAD2A","GATAD2A","false","GATAD2A",
,"ENSG00000164199","36","1","10.1038/s41586-022-04434-5","GPR98","ADGRV1","false","GPR98",
,"ENSG00000023171","37","1","10.1038/s41586-022-04434-5","GRAMD1B","GRAMD1B","false","GRAMD1B",
,"ENSG00000178922","38","1","10.1038/s41586-022-04434-5","HYI","HYI","false","HYI",
,"ENSG00000169306","39","1","10.1038/s41586-022-04434-5","IL1RAPL1","IL1RAPL1","false","IL1RAPL1",
,"ENSG00000184903","40","1","10.1038/s41586-022-04434-5","IMMP2L","IMMP2L","false","IMMP2L",
,"ENSG00000169592","41","1","10.1038/s41586-022-04434-5","INO80E","INO80E","false","INO80E",
,"ENSG00000126456","42","1","10.1038/s41586-022-04434-5","IRF3","IRF3","false","IRF3",
,"ENSG00000120071","43","1","10.1038/s41586-022-04434-5","KANSL1","KANSL1","false","KANSL1",
,"ENSG00000122778","44","1","10.1038/s41586-022-04434-5","KIAA1549","KIAA1549","false","KIAA1549",
,"ENSG00000067082","45","1","10.1038/s41586-022-04434-5","KLF6","KLF6","false","KLF6",
,"ENSG00000224924","46","1","10.1038/s41586-022-04434-5","LINC00320","LINC00320","false","LINC00320",
,"ENSG00000227676","47","1","10.1038/s41586-022-04434-5","LINC01068","LINC01068","false","LINC01068",
,"ENSG00000249307","48","1","10.1038/s41586-022-04434-5","LINC01088","LINC01088","false","LINC01088",
,"ENSG00000131409","49","1","10.1038/s41586-022-04434-5","LRRC4B","LRRC4B","false","LRRC4B",
,"ENSG00000175324","50","1","10.1038/s41586-022-04434-5","LSM1","LSM1","false","LSM1",
,"ENSG00000112893","51","1","10.1038/s41586-022-04434-5","MAN2A1","MAN2A1","false","MAN2A1",
,"ENSG00000186868","52","1","10.1038/s41586-022-04434-5","MAPT","MAPT","false","MAPT",
,"ENSG00000175727","53","1","10.1038/s41586-022-04434-5","MLXIP","MLXIP","false","MLXIP",
,"ENSG00000115540","54","1","10.1038/s41586-022-04434-5","MOB4","MOB4","false","MOB4",
,"ENSG00000153944","55","1","10.1038/s41586-022-04434-5","MSI2","MSI2","false","MSI2",
,"ENSG00000141140","56","1","10.1038/s41586-022-04434-5","MYO19",,"false","MYO19",
,"ENSG00000166886","57","1","10.1038/s41586-022-04434-5","NAB2","NAB2","false","NAB2",
,"ENSG00000102471","58","1","10.1038/s41586-022-04434-5","NDFIP2","NDFIP2","false","NDFIP2",
,"ENSG00000078114","59","1","10.1038/s41586-022-04434-5","NEBL","NEBL","false","NEBL",
,"ENSG00000172260","60","1","10.1038/s41586-022-04434-5","NEGR1","NEGR1","false","NEGR1",
,"ENSG00000122584","61","1","10.1038/s41586-022-04434-5","NXPH1","NXPH1","false","NXPH1",
,"ENSG00000137843","62","1","10.1038/s41586-022-04434-5","PAK6","PAK6","false","PAK6",
,"ENSG00000114054","63","1","10.1038/s41586-022-04434-5","PCCB","PCCB","false","PCCB",
,"ENSG00000204969","64","1","10.1038/s41586-022-04434-5","PCDHA2","PCDHA2","false","PCDHA2",
,"ENSG00000204962","65","1","10.1038/s41586-022-04434-5","PCDHA8","PCDHA8","false","PCDHA8",
,"ENSG00000185619","66","1","10.1038/s41586-022-04434-5","PCGF3","PCGF3","false","PCGF3",
,"ENSG00000197136","67","1","10.1038/s41586-022-04434-5","PCNXL3","PCNX3","false","PCNXL3",
,"ENSG00000167004","68","1","10.1038/s41586-022-04434-5","PDIA3","PDIA3","false","PDIA3",
,"ENSG00000181191","69","1","10.1038/s41586-022-04434-5","PJA1","PJA1","false","PJA1",
,"ENSG00000149527","70","1","10.1038/s41586-022-04434-5","PLCH2","PLCH2","false","PLCH2",
,"ENSG00000041357","71","1","10.1038/s41586-022-04434-5","PSMA4","PSMA4","false","PSMA4",
,"ENSG00000153707","72","1","10.1038/s41586-022-04434-5","PTPRD","PTPRD","false","PTPRD",
,"ENSG00000179912","73","1","10.1038/s41586-022-04434-5","R3HDM2","R3HDM2","false","R3HDM2",
,"ENSG00000142599","74","1","10.1038/s41586-022-04434-5","RERE","RERE","false","RERE",
,"ENSG00000172922","75","1","10.1038/s41586-022-04434-5","RNASEH2C","RNASEH2C","false","RNASEH2C",
,"ENSG00000246560","76","1","10.1038/s41586-022-04434-5","RP11-10L12.4","UBE2D3-AS1","false","RP11-10L12.4",
,"ENSG00000227603","77","1","10.1038/s41586-022-04434-5","RP11-165J3.6",,"false","RP11-165J3.6",
,"ENSG00000234840","78","1","10.1038/s41586-022-04434-5","RP11-399D6.2","LINC01239","false","RP11-399D6.2",
,"ENSG00000259946","79","1","10.1038/s41586-022-04434-5","RP11-490G2.2",,"false","RP11-490G2.2",
,"ENSG00000259616","80","1","10.1038/s41586-022-04434-5","RP11-507B12.2",,"false","RP11-507B12.2",
,"ENSG00000272335","81","1","10.1038/s41586-022-04434-5","RP11-53O19.3",,"false","RP11-53O19.3",
,"ENSG00000253553","82","1","10.1038/s41586-022-04434-5","RP11-586K2.1",,"false","RP11-586K2.1",
,"ENSG00000256500","83","1","10.1038/s41586-022-04434-5","RP11-73M18.2",,"false","RP11-73M18.2",
,"ENSG00000103037","84","1","10.1038/s41586-022-04434-5","SETD6","SETD6","false","SETD6",
,"ENSG00000115524","85","1","10.1038/s41586-022-04434-5","SF3B1","SF3B1","false","SF3B1",
,"ENSG00000138821","86","1","10.1038/s41586-022-04434-5","SLC39A8","SLC39A8","false","SLC39A8",
,"ENSG00000144290","87","1","10.1038/s41586-022-04434-5","SLC4A10","SLC4A10","false","SLC4A10",
,"ENSG00000164037","88","1","10.1038/s41586-022-04434-5","SLC9B1","SLC9B1","false","SLC9B1",
