"DisGeNET","Ensembl","gLayCluster","Literature","Literature.doi","name","name.copy","Name2","selected","shared name","STRINGnode","WikiPathways"
,"ENSG00000069482","1",,"","9606.ENSP00000265643","","GAL","false","9606.ENSP00000265643","1",
,"ENSG00000108405","1",,"","9606.ENSP00000225538","","P2RX1","false","9606.ENSP00000225538","1",
,"ENSG00000119878","2",,"","9606.ENSP00000238892","","CRIPT","false","9606.ENSP00000238892","1",
,"ENSG00000107521","3",,"","9606.ENSP00000326649","","HPS1","false","9606.ENSP00000326649","1",
,"ENSG00000005884","1",,"","9606.ENSP00000315190","","ITGA3","false","9606.ENSP00000315190","1",
,"ENSG00000104881","4",,"","9606.ENSP00000354218","","PPP1R13L","false","9606.ENSP00000354218","1",
,"ENSG00000117122","1",,"","9606.ENSP00000364685","","MFAP2","false","9606.ENSP00000364685","1",
,"ENSG00000182199","3",,"","9606.ENSP00000333667","","SHMT2","false","9606.ENSP00000333667","1",
,"ENSG00000155011","4",,"","9606.ENSP00000285311","","DKK2","false","9606.ENSP00000285311","1",
,"ENSG00000284922","3",,"","9606.ENSP00000305742","","LRTOMT","false","9606.ENSP00000305742","1",
,"ENSG00000144524","1",,"","9606.ENSP00000386880","","COPS7B","false","9606.ENSP00000386880","1",
,"ENSG00000130402","1",,"","9606.ENSP00000252699","","ACTN4","false","9606.ENSP00000252699","1",
,"ENSG00000006116","1",,"","9606.ENSP00000005284","","CACNG3","false","9606.ENSP00000005284","1",
,"ENSG00000117533","3",,"","9606.ENSP00000236192","","VAMP4","false","9606.ENSP00000236192","1",
,"ENSG00000134030","2",,"","9606.ENSP00000372459","","CTIF","false","9606.ENSP00000372459","1",
,"ENSG00000100784","4",,"","9606.ENSP00000479667","","RPS6KA5","false","9606.ENSP00000479667","1",
,"ENSG00000136546","1",,"","9606.ENSP00000496114","","SCN7A","false","9606.ENSP00000496114","1",
,"ENSG00000133398","4",,"","9606.ENSP00000255764","","MED10","false","9606.ENSP00000255764","1",
,"ENSG00000244588","5",,"","9606.ENSP00000386414","","RAD21L1","false","9606.ENSP00000386414","1",
,"ENSG00000142677","1",,"","9606.ENSP00000270800","","IL22RA1","false","9606.ENSP00000270800","1",
,"ENSG00000139192","6",,"","9606.ENSP00000266556","","TAPBPL","false","9606.ENSP00000266556","1",
,"ENSG00000105327","4",,"","9606.ENSP00000404503","","BBC3","false","9606.ENSP00000404503","1",
,"ENSG00000162891","1",,"","9606.ENSP00000356065","","IL20","false","9606.ENSP00000356065","1",
,"ENSG00000147481","7",,"","9606.ENSP00000493900","","SNTG1","false","9606.ENSP00000493900","1",
,"ENSG00000188895","4",,"","9606.ENSP00000462945","","MSL1","false","9606.ENSP00000462945","1",
,"ENSG00000198707","8",,"","9606.ENSP00000448012","","CEP290","false","9606.ENSP00000448012","1",
,"ENSG00000085832","3",,"","9606.ENSP00000360798","","EPS15","false","9606.ENSP00000360798","1",
,"ENSG00000170322","4",,"","9606.ENSP00000436926","","NFRKB","false","9606.ENSP00000436926","1",
,"ENSG00000173473","9",,"","9606.ENSP00000254480","","SMARCC1","false","9606.ENSP00000254480","1",
,"ENSG00000114554","1",,"","9606.ENSP00000377061","","PLXNA1","false","9606.ENSP00000377061","1",
,"ENSG00000134248","10",,"","9606.ENSP00000256644","","LAMTOR5","false","9606.ENSP00000256644","1",
,"ENSG00000115526","11",,"","9606.ENSP00000264249","","CHST10","false","9606.ENSP00000264249","1",
,"ENSG00000095015","4",,"","9606.ENSP00000382423","","MAP3K1","false","9606.ENSP00000382423","1",
,"ENSG00000171320","5",,"","9606.ENSP00000306999","","ESCO2","false","9606.ENSP00000306999","1",
