"DisGeNET","Ensembl","gLayCluster","name","name.copy","Name2","Publication","Publication.doi","selected","shared name","STRINGnode","WikiPathways"
,"ENSG00000143772","1","9606.ENSP00000411152","","ITPKB",,"","false","9606.ENSP00000411152","1",
,"ENSG00000017427","1","9606.ENSP00000376637","","IGF1",,"","false","9606.ENSP00000376637","1",
,"ENSG00000100916","2","9606.ENSP00000216807","","BRMS1L",,"","false","9606.ENSP00000216807","1",
,"ENSG00000163257","3","9606.ENSP00000371682","","DCAF16",,"","false","9606.ENSP00000371682","1",
,"ENSG00000121351","1","9606.ENSP00000240652","","IAPP",,"","false","9606.ENSP00000240652","1",
,"ENSG00000130311","3","9606.ENSP00000352928","","DDA1",,"","false","9606.ENSP00000352928","1",
,"ENSG00000243646","1","9606.ENSP00000290200","","IL10RB",,"","false","9606.ENSP00000290200","1",
,"ENSG00000198099","4","9606.ENSP00000424630","","ADH4",,"","false","9606.ENSP00000424630","1",
,"ENSG00000132703","1","9606.ENSP00000255040","","APCS",,"","false","9606.ENSP00000255040","1",
,"ENSG00000187714","4","9606.ENSP00000363229","","SLC18A3",,"","false","9606.ENSP00000363229","1",
,"ENSG00000213231","2","9606.ENSP00000343223","","TCL1B",,"","false","9606.ENSP00000343223","1",
,"ENSG00000087053","1","9606.ENSP00000345752","","MTMR2",,"","false","9606.ENSP00000345752","1",
,"ENSG00000158195","1","9606.ENSP00000483313","","WASF2",,"","false","9606.ENSP00000483313","1",
,"ENSG00000168653","5","9606.ENSP00000362058","","NDUFS5",,"","false","9606.ENSP00000362058","1",
,"ENSG00000128524","5","9606.ENSP00000417378","","ATP6V1F",,"","false","9606.ENSP00000417378","1",
,"ENSG00000172530","2","9606.ENSP00000376902","","BANP",,"","false","9606.ENSP00000376902","1",
,"ENSG00000267467","1","9606.ENSP00000468236","","APOC4",,"","false","9606.ENSP00000468236","1",
,"ENSG00000136872","6","9606.ENSP00000497767","","ALDOB",,"","false","9606.ENSP00000497767","1",
,"ENSG00000144596","7","9606.ENSP00000478352","","GRIP2",,"","false","9606.ENSP00000478352","1",
,"ENSG00000167600","4","9606.ENSP00000308032","","CYP2S1",,"","false","9606.ENSP00000308032","1",
,"ENSG00000132612","8","9606.ENSP00000254950","","VPS4A",,"","false","9606.ENSP00000254950","1",
,"ENSG00000100485","1","9606.ENSP00000216373","","SOS2",,"","false","9606.ENSP00000216373","1",
