"CNVassociated","Ensembl","fromDisGeNET","fromPublication","fromSTRING","fromWikiPathways","gLayCluster","name","name.copy","Name2","Publication.doi","selected","shared name"
"","ENSG00000115392",,,"1",,"1","9606.ENSP00000385021","","FANCL","","false","9606.ENSP00000385021"
"","ENSG00000123545",,,"1",,"2","9606.ENSP00000358272","","NDUFAF4","","false","9606.ENSP00000358272"
"","ENSG00000205809",,,"1",,"3","9606.ENSP00000371327","","KLRC2","","false","9606.ENSP00000371327"
"","ENSG00000177791",,,"1",,"4","9606.ENSP00000352272","","MYOZ1","","false","9606.ENSP00000352272"
"","ENSG00000011143",,,"1",,"5","9606.ENSP00000376827","","MKS1","","false","9606.ENSP00000376827"
"","ENSG00000108231",,,"1",,"4","9606.ENSP00000360472","","LGI1","","false","9606.ENSP00000360472"
"","ENSG00000092377",,,"1",,"1","9606.ENSP00000372499","","TBL1Y","","false","9606.ENSP00000372499"
"","ENSG00000167770",,,"1",,"1","9606.ENSP00000444357","","OTUB1","","false","9606.ENSP00000444357"
"","ENSG00000182389",,,"1",,"4","9606.ENSP00000438949","","CACNB4","","false","9606.ENSP00000438949"
"","ENSG00000167468",,,"1",,"6","9606.ENSP00000346103","","GPX4","","false","9606.ENSP00000346103"
"","ENSG00000010295",,,"1",,"1","9606.ENSP00000482285","","IFFO1","","false","9606.ENSP00000482285"
"","ENSG00000110906",,,"1",,"1","9606.ENSP00000228495","","KCTD10","","false","9606.ENSP00000228495"
"","ENSG00000168040",,,"1",,"1","9606.ENSP00000301838","","FADD","","false","9606.ENSP00000301838"
"","ENSG00000205250",,,"1",,"1","9606.ENSP00000368686","","E2F4","","false","9606.ENSP00000368686"
"","ENSG00000137841",,,"1",,"4","9606.ENSP00000260402","","PLCB2","","false","9606.ENSP00000260402"
"","ENSG00000168907",,,"1",,"4","9606.ENSP00000380442","","PLA2G4F","","false","9606.ENSP00000380442"
"","ENSG00000215262",,,"1",,"4","9606.ENSP00000382770","","KCNU1","","false","9606.ENSP00000382770"
"","ENSG00000099250",,,"1",,"4","9606.ENSP00000265371","","NRP1","","false","9606.ENSP00000265371"
"","ENSG00000143344",,,"1",,"4","9606.ENSP00000303192","","RGL1","","false","9606.ENSP00000303192"
"","ENSG00000244122",,,"1",,"6","9606.ENSP00000362525","","UGT1A7","","false","9606.ENSP00000362525"
"","ENSG00000139626",,,"1",,"4","9606.ENSP00000267082","","ITGB7","","false","9606.ENSP00000267082"
"","ENSG00000243264",,,"1",,"4","9606.ENSP00000483567","","IGKV2D-29","","false","9606.ENSP00000483567"
"","ENSG00000184216",,,"1",,"1","9606.ENSP00000358997","","IRAK1","","false","9606.ENSP00000358997"
"","ENSG00000131462",,,"1",,"7","9606.ENSP00000251413","","TUBG1","","false","9606.ENSP00000251413"
"","ENSG00000120688",,,"1",,"8","9606.ENSP00000368801","","WBP4","","false","9606.ENSP00000368801"
"","ENSG00000105619",,,"1",,"1","9606.ENSP00000375639","","TFPT","","false","9606.ENSP00000375639"
"","ENSG00000110721",,,"1",,"1","9606.ENSP00000265689","","CHKA","","false","9606.ENSP00000265689"
"","ENSG00000109107",,,"1",,"3","9606.ENSP00000378731","","ALDOC","","false","9606.ENSP00000378731"
"","ENSG00000184752",,,"1",,"2","9606.ENSP00000330737","","NDUFA12","","false","9606.ENSP00000330737"
"","ENSG00000174021",,,"1",,"4","9606.ENSP00000359675","","GNG5","","false","9606.ENSP00000359675"
"","ENSG00000120457",,,"1",,"4","9606.ENSP00000433295","","KCNJ5","","false","9606.ENSP00000433295"
"","ENSG00000133226",,,"1",,"8","9606.ENSP00000326261","","SRRM1","","false","9606.ENSP00000326261"
"","ENSG00000148834",,,"1",,"6","9606.ENSP00000358727","","GSTO1","","false","9606.ENSP00000358727"
"","ENSG00000092020",,,"1",,"1","9606.ENSP00000261475","","PPP2R3C","","false","9606.ENSP00000261475"
"","ENSG00000103671",,,"1",,"1","9606.ENSP00000261884","","TRIP4","","false","9606.ENSP00000261884"
"","ENSG00000166086",,,"1",,"9","9606.ENSP00000299106","","JAM3","","false","9606.ENSP00000299106"
"","ENSG00000115556",,,"1",,"4","9606.ENSP00000388631","","PLCD4","","false","9606.ENSP00000388631"
"","ENSG00000072133",,,"1",,"1","9606.ENSP00000262752","","RPS6KA6","","false","9606.ENSP00000262752"
"","ENSG00000178057",,,"1",,"2","9606.ENSP00000323076","","NDUFAF3","","false","9606.ENSP00000323076"
"","ENSG00000138592",,,"1",,"1","9606.ENSP00000379721","","USP8","","false","9606.ENSP00000379721"
"","ENSG00000162188",,,"1",,"4","9606.ENSP00000294117","","GNG3","","false","9606.ENSP00000294117"
"","ENSG00000116586",,,"1",,"10","9606.ENSP00000357288","","LAMTOR2","","false","9606.ENSP00000357288"
"","ENSG00000254647",,,"1",,"4","9606.ENSP00000380432","","INS","","false","9606.ENSP00000380432"
"","ENSG00000073711",,,"1",,"1","9606.ENSP00000264977","","PPP2R3A","","false","9606.ENSP00000264977"
"","ENSG00000132570",,,"1",,"6","9606.ENSP00000421544","","PCBD2","","false","9606.ENSP00000421544"
"","ENSG00000237441",,,"1",,"4","9606.ENSP00000420211","","RGL2","","false","9606.ENSP00000420211"
"","ENSG00000165704",,,"1",,"11","9606.ENSP00000298556","","HPRT1","","false","9606.ENSP00000298556"
"","ENSG00000141446",,,"1",,"12","9606.ENSP00000269214","","ESCO1","","false","9606.ENSP00000269214"
"","ENSG00000124641",,,"1",,"1","9606.ENSP00000265350","","MED20","","false","9606.ENSP00000265350"
"","ENSG00000182890",,,"1",,"6","9606.ENSP00000327589","","GLUD2","","false","9606.ENSP00000327589"
"","ENSG00000159352",,,"1",,"1","9606.ENSP00000357876","","PSMD4","","false","9606.ENSP00000357876"
"","ENSG00000174744",,,"1",,"1","9606.ENSP00000396052","","BRMS1","","false","9606.ENSP00000396052"
