"CNVassociated","Ensembl","fromDisGeNET","fromPublication","fromSTRING","fromWikiPathways","gLayCluster","name","name.copy","NodeID","NodeIDType","PathwayID","Publication.doi","selected","shared name","snpID"
"1","ENSG00000249680",,,,"1","1","TUBA3GP","TUBA3GP","ENSG00000249680","ensembl","WP4657",,"false","TUBA3GP",
"1","ENSG00000277762",,,,"1","2","RN7SL261P","RN7SL261P","ENSG00000277762","ensembl","WP4905",,"false","RN7SL261P",
"1","ENSG00000273164",,,,"1","3","DGCR10","DGCR10","ENSG00000273164","ensembl","WP4657",,"false","DGCR10",
"1","ENSG00000206644",,,,"1","4","RNU6-1279P","RNU6-1279P","ENSG00000206644","ensembl","WP4906",,"false","RNU6-1279P",
"1","ENSG00000229404",,,,"1","5","LINC00858","LINC00858","ENSG00000229404","ensembl","WP5402",,"false","LINC00858",
"1","ENSG00000238125",,,,"1","6","SLC9A3P2","SLC9A3P2","ENSG00000238125","ensembl","WP4657",,"false","SLC9A3P2",
"1","ENSG00000264346",,,,"1","7","SNORA77B","SNORA77B","ENSG00000264346","ensembl","WP4657",,"false","SNORA77B",
"1","ENSG00000244682",,,,"1","8","ENSG00000244682;FCGR2C","FCGR2C","ENSG00000244682","ensembl","WP5346",,"false","ENSG00000244682;FCGR2C",
"1","ENSG00000207257",,,,"1","9","RNU6-18P","RNU6-18P","ENSG00000207257","ensembl","WP4942",,"false","RNU6-18P",
"1","ENSG00000236499",,,,"1","10","LINC00896","LINC00896","ENSG00000236499","ensembl","WP4657",,"false","LINC00896",
"1","ENSG00000250261",,,,"1","11","CCDC74BP1","CCDC74BP1","ENSG00000250261","ensembl","WP4657",,"false","CCDC74BP1",
"1","ENSG00000228109",,,,"1","12","MELTF-AS1","MELTF-AS1","ENSG00000228109","ensembl","WP4906",,"false","MELTF-AS1",
"1","ENSG00000243339",,,,"1","13","RN7SL738P","RN7SL738P","ENSG00000243339","ensembl","WP4906",,"false","RN7SL738P",
"1","ENSG00000180867",,,,"1","14","PDIA3P1","PDIA3P1","ENSG00000180867","ensembl","WP4905",,"false","PDIA3P1",
"1","ENSG00000238391",,,,"1","15","RNA5SP233","RNA5SP233","ENSG00000238391","ensembl","WP4932",,"false","RNA5SP233",
"1","ENSG00000225578",,,,"1","16","NCBP2-AS1","NCBP2-AS1","ENSG00000225578","ensembl","WP4906",,"false","NCBP2-AS1",
"1","ENSG00000259890",,,,"1","17","DNM1P50","DNM1P50","ENSG00000259890","ensembl","WP4942",,"false","DNM1P50",
"1","ENSG00000265724",,,,"1","18","hsa-mir-4284","hsa-mir-4284","MI0015893","mirbase","WP4932",,"false","hsa-mir-4284",
"1","ENSG00000235062",,,,"1","19","BCRP5","BCRP5","ENSG00000235062","ensembl","WP4657",,"false","BCRP5",
"1","ENSG00000223553",,,,"1","20","SMPD4P1","SMPD4P1","ENSG00000223553","ensembl","WP4657",,"false","SMPD4P1",
"1","ENSG00000259845",,,,"1","21","HERC2P10","HERC2P10","ENSG00000259845","ensembl","WP4942",,"false","HERC2P10",
"1","ENSG00000206709",,,,"1","22","RNU6-1080P","RNU6-1080P","ENSG00000206709","ensembl","WP4932",,"false","RNU6-1080P",
"1","ENSG00000244371",,,,"1","23","PFN1P8","PFN1P8","ENSG00000244371","ensembl","WP4905",,"false","PFN1P8",
"1","ENSG00000226015",,,,"1","24","CCT8P1","CCT8P1","ENSG00000226015","ensembl","WP4905",,"false","CCT8P1",
"1","ENSG00000255156",,,,"1","25","RNY1P9","RNY1P9","ENSG00000255156","ensembl","WP4657",,"false","RNY1P9",
"1","ENSG00000272480",,,,"1","26","OR13Z3P","OR13Z3P","ENSG00000272480","ensembl","WP4905",,"false","OR13Z3P",
