KE_title	KEEnsembl
Activation, Dendritic Cells	ENSG00000090339
Activation, Dendritic Cells	ENSG00000150782
Activation, Dendritic Cells	ENSG00000112062
Activation, EGFR	ENSG00000196396
Activation, EGFR	ENSG00000121879
Activation, EGFR	ENSG00000138798
Activation, EGFR	ENSG00000146648
Activation, EGFR	ENSG00000142208
Activation, LXR	ENSG00000175445
Activation, LXR	ENSG00000026103
Activation, LXR	ENSG00000072310
Activation, SREBP-1c	ENSG00000026103
Activation, SREBP-1c	ENSG00000072310
Activation, SREBP-1c	ENSG00000278540
Alterations, Cellular proliferation / hyperplasia	ENSG00000138798
Alterations, Cellular proliferation / hyperplasia	ENSG00000232810
Alterations, Cellular proliferation / hyperplasia	ENSG00000168036
Apoptosis	ENSG00000109320
Apoptosis	ENSG00000077782
Apoptosis	ENSG00000141510
Cell injury/death	ENSG00000171791
Cell injury/death	ENSG00000232810
Cell injury/death	ENSG00000089250
Decrease of GABAergic interneurons	ENSG00000157005
Decrease of GABAergic interneurons	ENSG00000064651
Decrease of GABAergic interneurons	ENSG00000100362
Decrease of GABAergic interneurons	ENSG00000146469
Decrease of GABAergic interneurons	ENSG00000189056
Decrease, GLI1/2 target gene expression	ENSG00000171791
Decrease, GLI1/2 target gene expression	ENSG00000110092
Decrease, GLI1/2 target gene expression	ENSG00000164690
Decrease, Sonic Hedgehog second messenger production	ENSG00000171791
Decrease, Sonic Hedgehog second messenger production	ENSG00000066468
Decrease, Sonic Hedgehog second messenger production	ENSG00000070193
Decrease, Sonic Hedgehog second messenger production	ENSG00000164690
Decreased SIRT1 expression	ENSG00000136997
Decreased SIRT1 expression	ENSG00000141510
Decreased SIRT1 expression	ENSG00000162409
Disruption, Lysosome	ENSG00000117984
Disruption, Lysosome	ENSG00000232810
Disruption, Lysosome	ENSG00000164733
Disruption, Lysosome	ENSG00000141510
Disruption, Lysosome	ENSG00000108823
Dysregulation, ACE2 expression and activity	ENSG00000133636
Dysregulation, ACE2 expression and activity	ENSG00000157017
Dysregulation, ACE2 expression and activity	ENSG00000112062
General Apoptosis	ENSG00000171791
General Apoptosis	ENSG00000107643
General Apoptosis	ENSG00000141510
Glutamate dyshomeostasis	ENSG00000176697
Glutamate dyshomeostasis	ENSG00000086730
Glutamate dyshomeostasis	ENSG00000168621
Immune mechanisms antagonized by viral proteins	ENSG00000126456
Immune mechanisms antagonized by viral proteins	ENSG00000164342
Immune mechanisms antagonized by viral proteins	ENSG00000125538
Impaired IL-1R1 signaling in T cell	ENSG00000173039
Impaired IL-1R1 signaling in T cell	ENSG00000232810
Impaired IL-1R1 signaling in T cell	ENSG00000136869
Impaired IL-1R1 signaling in T cell	ENSG00000136244
Impairment, T-cell dependent antibody response	ENSG00000113520
Impairment, T-cell dependent antibody response	ENSG00000015475
Impairment, T-cell dependent antibody response	ENSG00000109471
Increase, Cell death	ENSG00000067182
Increase, Cell death	ENSG00000164342
Increase, Cell death	ENSG00000136869
Increase, Mucin production	ENSG00000138798
Increase, Mucin production	ENSG00000113520
Increase, Mucin production	ENSG00000232810
Increase, Mucin production	ENSG00000146648
Increase, Mucin production	ENSG00000136244
Increased microRNA expression	ENSG00000171791
Increased microRNA expression	ENSG00000136997
Increased microRNA expression	ENSG00000110092
Increased microRNA expression	ENSG00000141510
Increased Pro-inflammatory mediators	ENSG00000113520
Increased Pro-inflammatory mediators	ENSG00000163599
Increased Pro-inflammatory mediators	ENSG00000108691
Increased Pro-inflammatory mediators	ENSG00000109471
Increased Pro-inflammatory mediators	ENSG00000136244
Increased, activation of T (T) helper (h) type 2 cells	ENSG00000113520
Increased, activation of T (T) helper (h) type 2 cells	ENSG00000136634
Increased, activation of T (T) helper (h) type 2 cells	ENSG00000136244
Increased, secretion of proinflammatory mediators	ENSG00000113520
Increased, secretion of proinflammatory mediators	ENSG00000108691
Increased, secretion of proinflammatory mediators	ENSG00000232810
Increased, secretion of proinflammatory mediators	ENSG00000177606
Increased, secretion of proinflammatory mediators	ENSG00000170345
Increased, secretion of proinflammatory mediators	ENSG00000150782
Increased, secretion of proinflammatory mediators	ENSG00000164399
Increased, secretion of proinflammatory mediators	ENSG00000109471
Increased, secretion of proinflammatory mediators	ENSG00000136244
Increased, secretion of proinflammatory mediators	ENSG00000164400
Increased, Uptake of thyroxine into tissue	ENSG00000086730
Increased, Uptake of thyroxine into tissue	ENSG00000118271
Increased, Uptake of thyroxine into tissue	ENSG00000047457
Increased, Uptake of thyroxine into tissue	ENSG00000100294
Induction, Epithelial Mesenchymal Transition	ENSG00000121879
Induction, Epithelial Mesenchymal Transition	ENSG00000138798
Induction, Epithelial Mesenchymal Transition	ENSG00000105976
Induction, Epithelial Mesenchymal Transition	ENSG00000100030
Induction, Epithelial Mesenchymal Transition	ENSG00000136244
Induction, persistent proliferation/sustained proliferation	ENSG00000123384
Induction, persistent proliferation/sustained proliferation	ENSG00000148737
Induction, persistent proliferation/sustained proliferation	ENSG00000136997
Induction, persistent proliferation/sustained proliferation	ENSG00000109320
Induction, persistent proliferation/sustained proliferation	ENSG00000107643
Induction, persistent proliferation/sustained proliferation	ENSG00000110092
Induction, persistent proliferation/sustained proliferation	ENSG00000177606
Induction, persistent proliferation/sustained proliferation	ENSG00000100644
Induction, persistent proliferation/sustained proliferation	ENSG00000134982
Induction, persistent proliferation/sustained proliferation	ENSG00000170345
Induction, persistent proliferation/sustained proliferation	ENSG00000103126
Induction, persistent proliferation/sustained proliferation	ENSG00000132670
Induction, persistent proliferation/sustained proliferation	ENSG00000168036
Inhibition, Nuclear factor kappa B (NF-kB)	ENSG00000232810
Inhibition, Nuclear factor kappa B (NF-kB)	ENSG00000177606
Inhibition, Nuclear factor kappa B (NF-kB)	ENSG00000170345
Maturation of TNF/iNOS-Producing Dendritic Cells	ENSG00000170458
Maturation of TNF/iNOS-Producing Dendritic Cells	ENSG00000136244
Maturation of TNF/iNOS-Producing Dendritic Cells	ENSG00000164400
metastatic breast cancer	ENSG00000121879
metastatic breast cancer	ENSG00000138798
metastatic breast cancer	ENSG00000105976
metastatic breast cancer	ENSG00000100030
N/A, Breast Cancer	ENSG00000121879
N/A, Breast Cancer	ENSG00000146648
N/A, Breast Cancer	ENSG00000141510
Neuroinflammation	ENSG00000113520
Neuroinflammation	ENSG00000232810
Neuroinflammation	ENSG00000136244
Peptide Oxidation	ENSG00000177606
Peptide Oxidation	ENSG00000170345
Peptide Oxidation	ENSG00000141510
Reduced levels of BDNF	ENSG00000176697
Reduced levels of BDNF	ENSG00000121879
Reduced levels of BDNF	ENSG00000067560
Reduced levels of BDNF	ENSG00000064300
Reduced levels of BDNF	ENSG00000028137
Reduction, NFAT/AP-1 complex formation	ENSG00000113520
Reduction, NFAT/AP-1 complex formation	ENSG00000177606
Reduction, NFAT/AP-1 complex formation	ENSG00000170345
Reduction, NFAT/AP-1 complex formation	ENSG00000109471
Release, Cytokine	ENSG00000136634
Release, Cytokine	ENSG00000108691
Release, Cytokine	ENSG00000232810
Release, Cytokine	ENSG00000271503
Release, Cytokine	ENSG00000136244
Release, Cytokine	ENSG00000164400
Suppression of IL-4 production	ENSG00000113520
Suppression of IL-4 production	ENSG00000126561
Suppression of IL-4 production	ENSG00000136244
Suppression, IL-2 and IL-4 production	ENSG00000113520
Suppression, IL-2 and IL-4 production	ENSG00000015475
Suppression, IL-2 and IL-4 production	ENSG00000177606
Suppression, IL-2 and IL-4 production	ENSG00000170345
Suppression, IL-2 and IL-4 production	ENSG00000109471
Suppression, IL-2 and IL-4 production	ENSG00000134460
Synthesis, De Novo FA	ENSG00000026103
Synthesis, De Novo FA	ENSG00000072310
Synthesis, De Novo FA	ENSG00000278540
Systemic acute phase response	ENSG00000123384
Systemic acute phase response	ENSG00000132693
Systemic acute phase response	ENSG00000142192
Tissue resident cell activation	ENSG00000137462
Tissue resident cell activation	ENSG00000123384
Tissue resident cell activation	ENSG00000113520
Tissue resident cell activation	ENSG00000108691
Tissue resident cell activation	ENSG00000232810
Tissue resident cell activation	ENSG00000136869
Tissue resident cell activation	ENSG00000150782
Tissue resident cell activation	ENSG00000136244
Tissue resident cell activation	ENSG00000164400
Toll Like Receptor (TLR) Dysregulation	ENSG00000137462
Toll Like Receptor (TLR) Dysregulation	ENSG00000144381
Toll Like Receptor (TLR) Dysregulation	ENSG00000164342
Toll Like Receptor (TLR) Dysregulation	ENSG00000136869
Toll Like Receptor (TLR) Dysregulation	ENSG00000103546
