KEtitle	AOPtitle
Neuroinflammation	A cholesterol/glucose dysmetabolism initiated Tau-driven AOP toward memory loss (AO) in sporadic Alzheimer's Disease with plausible MIE's plug-ins for environmental neurotoxicants
Neuroinflammation	Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on brain cells (neuronal and non-neuronal) leads to neuroinflammation resulting in encephalitis
Neuroinflammation	Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.
Neuroinflammation	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory
Neuroinflammation	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging
Neuroinflammation	Co-activation of IP3R and RyR leads to economic burden through reduced IQ and non-cholinergic mechanisms
Neuroinflammation	Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits
Neuroinflammation	Various neuronal effects induced by elavl3, sox10, and mbp
Apoptosis	AOP from chemical insult to cell death
Apoptosis	Activation of MEK-ERK1/2 leads to deficits in learning and cognition via ROS and apoptosis
Apoptosis	Activation of the AhR leading to breast cancer 
Apoptosis	Adverse Outcome Pathways diagram related to PBDEs associated male reproductive toxicity
Apoptosis	Adverse outcome pathway of PM-induced respiratory toxicity
Apoptosis	Antagonism of Smoothened receptor leading to orofacial clefting
Apoptosis	Aryl hydrocarbon receptor activation leading to impaired lung function through P53 toxicity pathway
Apoptosis	Decrease, GLI1/2 target gene expression leads to orofacial clefting 
Apoptosis	Decrease, cholesterol synthesis leads to orofacial clefting
Apoptosis	Histone deacetylase inhibition leading to testicular atrophy
Apoptosis	Inhibition of N-linked glycosylation leads to liver injury
Apoptosis	NADPH oxidase and P38 MAPK activation leading to reproductive failure in Caenorhabditis elegans
Glutamate dyshomeostasis	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory
Increase, Cell death	Binding of SARS-CoV-2 to ACE2 leads to hyperinflammation (via cell death)
Increase, Cell death	Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits
Increase, Cell death	Cytochrome oxidase inhibition leading to olfactory nasal lesions
Increase, Cell death	Deposition of energy leading to occurrence of bone loss
Increase, Cell death	Dysregulated prolonged Toll Like Receptor 9 (TLR9) activation leading to Multi Organ Failure involving Acute Respiratory Distress Syndrome (ARDS)
Increase, Cell death	GSK3beta inactivation leading to increased mortality via defects in developing inner ear
Increase, Cell death	Mitochondrial ATP synthase antagonism leading to growth inhibition (2)
Increase, Cell death	Mitochondrial complex III antagonism leading to growth inhibition (2)
Cell injury/death	Acetylcholinesterase Inhibition Leading to Neurodegeneration
Cell injury/death	AhR activation leading to liver fibrosis 
Cell injury/death	Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.
Cell injury/death	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory
Cell injury/death	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities
Cell injury/death	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging
Cell injury/death	Co-activation of IP3R and RyR leads to economic burden through reduced IQ and non-cholinergic mechanisms
Cell injury/death	Dysregulated prolonged Toll Like Receptor 9 (TLR9) activation leading to Multi Organ Failure involving Acute Respiratory Distress Syndrome (ARDS)
Cell injury/death	Endocytic lysosomal uptake leading to liver fibrosis
Cell injury/death	IKK complex inhibition leading to liver injury
Cell injury/death	Mitochondrial complex inhibition leading to liver injury
Cell injury/death	Mitochondrial complexes inhibition leading to heart failure via increased myocardial oxidative stress
Cell injury/death	Protein Alkylation leading to Liver Fibrosis
Cell injury/death	Uncoupling of oxidative phosphorylation leading to growth inhibition via ATP depletion associated cell death
Cell injury/death	Uncoupling of oxidative phosphorylation leading to growth inhibition via decreased Na-K ATPase activity
Cell injury/death	Uncoupling of oxidative phosphorylation leading to growth inhibition via increased cytosolic calcium
Cell injury/death	Uncoupling of oxidative phosphorylation leading to growth inhibition via mitochondrial swelling
Decrease of GABAergic interneurons	Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment
