KEid_source	KEid	AOPid_target	AOPid	AOPtitle
https://identifiers.org/aop/108	https://identifiers.org/aop/108	https://identifiers.org/aop.events/209	https://identifiers.org/aop.events/209	Inhibition of pyruvate dehydrogenase kinase leading to hepatocellular adenomas and carcinomas (in mouse and rat)
https://identifiers.org/aop/12	https://identifiers.org/aop/12	https://identifiers.org/aop.events/55	https://identifiers.org/aop.events/55	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging
https://identifiers.org/aop/12	https://identifiers.org/aop/12	https://identifiers.org/aop.events/188	https://identifiers.org/aop.events/188	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging
https://identifiers.org/aop/12	https://identifiers.org/aop/12	https://identifiers.org/aop.events/381	https://identifiers.org/aop.events/381	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging
https://identifiers.org/aop/13	https://identifiers.org/aop/13	https://identifiers.org/aop.events/55	https://identifiers.org/aop.events/55	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities
https://identifiers.org/aop/13	https://identifiers.org/aop/13	https://identifiers.org/aop.events/381	https://identifiers.org/aop.events/381	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities
https://identifiers.org/aop/14	https://identifiers.org/aop/14	https://identifiers.org/aop.events/202	https://identifiers.org/aop.events/202	Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility
https://identifiers.org/aop/144	https://identifiers.org/aop/144	https://identifiers.org/aop.events/898	https://identifiers.org/aop.events/898	Endocytic lysosomal uptake leading to liver fibrosis
https://identifiers.org/aop/144	https://identifiers.org/aop/144	https://identifiers.org/aop.events/1493	https://identifiers.org/aop.events/1493	Endocytic lysosomal uptake leading to liver fibrosis
https://identifiers.org/aop/144	https://identifiers.org/aop/144	https://identifiers.org/aop.events/55	https://identifiers.org/aop.events/55	Endocytic lysosomal uptake leading to liver fibrosis
https://identifiers.org/aop/148	https://identifiers.org/aop/148	https://identifiers.org/aop.events/941	https://identifiers.org/aop.events/941	EGFR Activation Leading to Decreased Lung Function
https://identifiers.org/aop/148	https://identifiers.org/aop/148	https://identifiers.org/aop.events/962	https://identifiers.org/aop.events/962	EGFR Activation Leading to Decreased Lung Function
