AOid_target	AOPid_source	AOid	AOtitle	AOPid	AOPtitle
https://identifiers.org/aop.events/1016	https://identifiers.org/aop/471	https://identifiers.org/aop.events/1016	Inhibition, Feeding	https://identifiers.org/aop/471	Various neuronal effects induced by elavl3, sox10, and mbp
https://identifiers.org/aop.events/1090	https://identifiers.org/aop/409	https://identifiers.org/aop.events/1090	Increased, mesotheliomas	https://identifiers.org/aop/409	Frustrated phagocytosis leads to malignant mesothelioma
https://identifiers.org/aop.events/1192	https://identifiers.org/aop/294	https://identifiers.org/aop.events/1192	Increased, Ductal Hyperplasia 	https://identifiers.org/aop/294	Increased reactive oxygen and nitrogen species (RONS) leading to increased risk of breast cancer
https://identifiers.org/aop.events/1192	https://identifiers.org/aop/293	https://identifiers.org/aop.events/1192	Increased, Ductal Hyperplasia 	https://identifiers.org/aop/293	Increased DNA damage leading to increased risk of breast cancer
https://identifiers.org/aop.events/1193	https://identifiers.org/aop/293	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	https://identifiers.org/aop/293	Increased DNA damage leading to increased risk of breast cancer
https://identifiers.org/aop.events/1193	https://identifiers.org/aop/200	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	https://identifiers.org/aop/200	Estrogen receptor activation leading to breast cancer  
https://identifiers.org/aop.events/1193	https://identifiers.org/aop/439	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	https://identifiers.org/aop/439	Activation of the AhR leading to breast cancer 
https://identifiers.org/aop.events/1193	https://identifiers.org/aop/294	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	https://identifiers.org/aop/294	Increased reactive oxygen and nitrogen species (RONS) leading to increased risk of breast cancer
https://identifiers.org/aop.events/1194	https://identifiers.org/aop/294	https://identifiers.org/aop.events/1194	Increase, DNA damage	https://identifiers.org/aop/294	Increased reactive oxygen and nitrogen species (RONS) leading to increased risk of breast cancer
https://identifiers.org/aop.events/1250	https://identifiers.org/aop/419	https://identifiers.org/aop.events/1250	Decrease, Lung function	https://identifiers.org/aop/419	Aryl hydrocarbon receptor activation leading to impaired lung function through P53 toxicity pathway
https://identifiers.org/aop.events/1250	https://identifiers.org/aop/148	https://identifiers.org/aop.events/1250	Decrease, Lung function	https://identifiers.org/aop/148	EGFR Activation Leading to Decreased Lung Function
https://identifiers.org/aop.events/1262	https://identifiers.org/aop/205	https://identifiers.org/aop.events/1262	Apoptosis	https://identifiers.org/aop/205	AOP from chemical insult to cell death
https://identifiers.org/aop.events/1263	https://identifiers.org/aop/205	https://identifiers.org/aop.events/1263	Necrosis	https://identifiers.org/aop/205	AOP from chemical insult to cell death
https://identifiers.org/aop.events/1276	https://identifiers.org/aop/415	https://identifiers.org/aop.events/1276	Lung fibrosis	https://identifiers.org/aop/415	Aryl hydrocarbon receptor activation leading to lung fibrosis through IL-6 toxicity pathway
https://identifiers.org/aop.events/1276	https://identifiers.org/aop/206	https://identifiers.org/aop.events/1276	Lung fibrosis	https://identifiers.org/aop/206	Peroxisome proliferator-activated receptors γ inactivation leading to lung fibrosis
https://identifiers.org/aop.events/1276	https://identifiers.org/aop/319	https://identifiers.org/aop.events/1276	Lung fibrosis	https://identifiers.org/aop/319	Binding to ACE2 leading to lung fibrosis
https://identifiers.org/aop.events/1276	https://identifiers.org/aop/382	https://identifiers.org/aop.events/1276	Lung fibrosis	https://identifiers.org/aop/382	Angiotensin II type 1 receptor (AT1R) agonism leading to lung fibrosis
https://identifiers.org/aop.events/1277	https://identifiers.org/aop/210	https://identifiers.org/aop.events/1277	Reproductive failure	https://identifiers.org/aop/210	Activation of c-Jun N-terminal kinase (JNK) and Forkhead box O (FOXO) and reduction of WNT pathways leading to reproductive failure: Integrated multi-OMICS approach for AOP building
https://identifiers.org/aop.events/1277	https://identifiers.org/aop/207	https://identifiers.org/aop.events/1277	Reproductive failure	https://identifiers.org/aop/207	NADPH oxidase and P38 MAPK activation leading to reproductive failure in Caenorhabditis elegans
https://identifiers.org/aop.events/1348	https://identifiers.org/aop/471	https://identifiers.org/aop.events/1348	Increase, seizure	https://identifiers.org/aop/471	Various neuronal effects induced by elavl3, sox10, and mbp
https://identifiers.org/aop.events/1363	https://identifiers.org/aop/471	https://identifiers.org/aop.events/1363	Increased, epilepsy	https://identifiers.org/aop/471	Various neuronal effects induced by elavl3, sox10, and mbp
https://identifiers.org/aop.events/1395	https://identifiers.org/aop/220	https://identifiers.org/aop.events/1395	Liver Cancer	https://identifiers.org/aop/220	Cyp2E1 Activation Leading to Liver Cancer
https://identifiers.org/aop.events/1443	https://identifiers.org/aop/237	https://identifiers.org/aop.events/1443	Atherosclerosis	https://identifiers.org/aop/237	Substance interaction with lung resident cell membrane components leading to atherosclerosis
https://identifiers.org/aop.events/1458	https://identifiers.org/aop/241	https://identifiers.org/aop.events/1458	Pulmonary fibrosis	https://identifiers.org/aop/241	Latent Transforming Growth Factor beta1 activation leads to pulmonary fibrosis
https://identifiers.org/aop.events/1458	https://identifiers.org/aop/347	https://identifiers.org/aop.events/1458	Pulmonary fibrosis	https://identifiers.org/aop/347	Toll-like receptor 4 activation and peroxisome proliferator-activated receptor gamma inactivation leading to pulmonary fibrosis
https://identifiers.org/aop.events/1458	https://identifiers.org/aop/173	https://identifiers.org/aop.events/1458	Pulmonary fibrosis	https://identifiers.org/aop/173	Substance interaction with the pulmonary resident cell membrane components leading to pulmonary fibrosis
https://identifiers.org/aop.events/1506	https://identifiers.org/aop/212	https://identifiers.org/aop.events/1506	Testicular atrophy	https://identifiers.org/aop/212	Histone deacetylase inhibition leading to testicular atrophy
https://identifiers.org/aop.events/1514	https://identifiers.org/aop/260	https://identifiers.org/aop.events/1514	Neurodegeneration	https://identifiers.org/aop/260	CYP2E1 activation and formation of protein adducts leading to neurodegeneration
https://identifiers.org/aop.events/1521	https://identifiers.org/aop/268	https://identifiers.org/aop.events/1521	Decrease, Growth	https://identifiers.org/aop/268	Uncoupling of oxidative phosphorylation leading to growth inhibition via mitochondrial swelling
https://identifiers.org/aop.events/1521	https://identifiers.org/aop/265	https://identifiers.org/aop.events/1521	Decrease, Growth	https://identifiers.org/aop/265	Uncoupling of oxidative phosphorylation leading to growth inhibition via increased cytosolic calcium
https://identifiers.org/aop.events/1521	https://identifiers.org/aop/266	https://identifiers.org/aop.events/1521	Decrease, Growth	https://identifiers.org/aop/266	Uncoupling of oxidative phosphorylation leading to growth inhibition via decreased Na-K ATPase activity
https://identifiers.org/aop.events/1521	https://identifiers.org/aop/264	https://identifiers.org/aop.events/1521	Decrease, Growth	https://identifiers.org/aop/264	Uncoupling of oxidative phosphorylation leading to growth inhibition via ATP depletion associated cell death
https://identifiers.org/aop.events/1521	https://identifiers.org/aop/287	https://identifiers.org/aop.events/1521	Decrease, Growth	https://identifiers.org/aop/287	Mitochondrial complex III antagonism leading to growth inhibition (2)
https://identifiers.org/aop.events/1521	https://identifiers.org/aop/291	https://identifiers.org/aop.events/1521	Decrease, Growth	https://identifiers.org/aop/291	Mitochondrial ATP synthase antagonism leading to growth inhibition (2)
https://identifiers.org/aop.events/1535	https://identifiers.org/aop/479	https://identifiers.org/aop.events/1535	Heart failure 	https://identifiers.org/aop/479	Mitochondrial complexes inhibition leading to heart failure via increased myocardial oxidative stress
https://identifiers.org/aop.events/1548	https://identifiers.org/aop/273	https://identifiers.org/aop.events/1548	Necrotic Tissue	https://identifiers.org/aop/273	Mitochondrial complex inhibition leading to liver injury
https://identifiers.org/aop.events/1548	https://identifiers.org/aop/278	https://identifiers.org/aop.events/1548	Necrotic Tissue	https://identifiers.org/aop/278	IKK complex inhibition leading to liver injury
https://identifiers.org/aop.events/1549	https://identifiers.org/aop/273	https://identifiers.org/aop.events/1549	Liver Injury	https://identifiers.org/aop/273	Mitochondrial complex inhibition leading to liver injury
https://identifiers.org/aop.events/1549	https://identifiers.org/aop/285	https://identifiers.org/aop.events/1549	Liver Injury	https://identifiers.org/aop/285	Inhibition of N-linked glycosylation leads to liver injury
https://identifiers.org/aop.events/1549	https://identifiers.org/aop/278	https://identifiers.org/aop.events/1549	Liver Injury	https://identifiers.org/aop/278	IKK complex inhibition leading to liver injury
https://identifiers.org/aop.events/1588	https://identifiers.org/aop/280	https://identifiers.org/aop.events/1588	Bronchiolitis obliterans	https://identifiers.org/aop/280	α-diketone-induced bronchiolitis obliterans
https://identifiers.org/aop.events/1616	https://identifiers.org/aop/476	https://identifiers.org/aop.events/1616	Malformation, cryptorchidism - maldescended testis	https://identifiers.org/aop/476	Adverse Outcome Pathways diagram related to PBDEs associated male reproductive toxicity
https://identifiers.org/aop.events/1670	https://identifiers.org/aop/451	https://identifiers.org/aop.events/1670	Lung cancer	https://identifiers.org/aop/451	Interaction with lung resident cell membrane components leads to lung cancer
https://identifiers.org/aop.events/1670	https://identifiers.org/aop/303	https://identifiers.org/aop.events/1670	Lung cancer	https://identifiers.org/aop/303	Frustrated phagocytosis-induced lung cancer
https://identifiers.org/aop.events/1688	https://identifiers.org/aop/476	https://identifiers.org/aop.events/1688	anogenital distance (AGD), decreased	https://identifiers.org/aop/476	Adverse Outcome Pathways diagram related to PBDEs associated male reproductive toxicity
