AOid	AOPid	AOPtitle	AOtitle	Ensembl	HGNC	index	KEid	KEtitle	name	selected	shared.name	label	type
						164436	https://identifiers.org/aop.events/209	Peptide Oxidation	https://identifiers.org/aop.events/209	false	https://identifiers.org/aop.events/209	Peptide Oxidation	KE
						164439	https://identifiers.org/aop.events/55	Cell injury/death	https://identifiers.org/aop.events/55	false	https://identifiers.org/aop.events/55	Cell injury/death	KE
						164442	https://identifiers.org/aop.events/188	Neuroinflammation	https://identifiers.org/aop.events/188	false	https://identifiers.org/aop.events/188	Neuroinflammation	KE
						164445	https://identifiers.org/aop.events/381	Reduced levels of BDNF	https://identifiers.org/aop.events/381	false	https://identifiers.org/aop.events/381	Reduced levels of BDNF	KE
						164448	https://identifiers.org/aop.events/202	Inhibition, Nuclear factor kappa B (NF-kB)	https://identifiers.org/aop.events/202	false	https://identifiers.org/aop.events/202	Inhibition, Nuclear factor kappa B (NF-kB)	KE
						164451	https://identifiers.org/aop.events/898	Disruption, Lysosome	https://identifiers.org/aop.events/898	false	https://identifiers.org/aop.events/898	Disruption, Lysosome	KE
						164454	https://identifiers.org/aop.events/1493	Increased Pro-inflammatory mediators	https://identifiers.org/aop.events/1493	false	https://identifiers.org/aop.events/1493	Increased Pro-inflammatory mediators	KE
						164457	https://identifiers.org/aop.events/941	Activation, EGFR	https://identifiers.org/aop.events/941	false	https://identifiers.org/aop.events/941	Activation, EGFR	KE
						164460	https://identifiers.org/aop.events/962	Increase, Mucin production	https://identifiers.org/aop.events/962	false	https://identifiers.org/aop.events/962	Increase, Mucin production	KE
						164463	https://identifiers.org/aop.events/960	Increased, Uptake of thyroxine into tissue	https://identifiers.org/aop.events/960	false	https://identifiers.org/aop.events/960	Increased, Uptake of thyroxine into tissue	KE
						164466	https://identifiers.org/aop.events/984	Impairment, T-cell dependent antibody response	https://identifiers.org/aop.events/984	false	https://identifiers.org/aop.events/984	Impairment, T-cell dependent antibody response	KE
						164469	https://identifiers.org/aop.events/981	Reduction, NFAT/AP-1 complex formation	https://identifiers.org/aop.events/981	false	https://identifiers.org/aop.events/981	Reduction, NFAT/AP-1 complex formation	KE
						164472	https://identifiers.org/aop.events/1202	Suppression, IL-2 and IL-4 production	https://identifiers.org/aop.events/1202	false	https://identifiers.org/aop.events/1202	Suppression, IL-2 and IL-4 production	KE
