AOid_source	AOPid_target	AOid	AOtitle	AOPid	AOPtitle	index
https://identifiers.org/aop.events/1016	https://identifiers.org/aop/471	https://identifiers.org/aop.events/1016	Inhibition, Feeding	https://identifiers.org/aop/471	Various neuronal effects induced by elavl3, sox10, and mbp	NA
https://identifiers.org/aop.events/1090	https://identifiers.org/aop/409	https://identifiers.org/aop.events/1090	Increased, mesotheliomas	https://identifiers.org/aop/409	Frustrated phagocytosis leads to malignant mesothelioma	NA
https://identifiers.org/aop.events/1101	https://identifiers.org/aop/194	https://identifiers.org/aop.events/1101	Altered, Amphibian metamorphosis	https://identifiers.org/aop/194	Hepatic nuclear receptor activation leading to altered amphibian metamorphosis	NA
https://identifiers.org/aop.events/1101	https://identifiers.org/aop/366	https://identifiers.org/aop.events/1101	Altered, Amphibian metamorphosis	https://identifiers.org/aop/366	Competitive binding to thyroid hormone carrier protein transthyretin (TTR) leading to altered amphibian metamorphosis 	NA
https://identifiers.org/aop.events/1101	https://identifiers.org/aop/367	https://identifiers.org/aop.events/1101	Altered, Amphibian metamorphosis	https://identifiers.org/aop/367	Competitive binding to thyroid hormone carrier protein thyroid binding globulin (TBG) leading to altered amphibian metamorphosis	NA
https://identifiers.org/aop.events/1192	https://identifiers.org/aop/293	https://identifiers.org/aop.events/1192	Increased, Ductal Hyperplasia 	https://identifiers.org/aop/293	Increased DNA damage leading to increased risk of breast cancer	NA
https://identifiers.org/aop.events/1192	https://identifiers.org/aop/294	https://identifiers.org/aop.events/1192	Increased, Ductal Hyperplasia 	https://identifiers.org/aop/294	Increased reactive oxygen and nitrogen species (RONS) leading to increased risk of breast cancer	NA
https://identifiers.org/aop.events/1193	https://identifiers.org/aop/439	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	https://identifiers.org/aop/439	Activation of the AhR leading to breast cancer 	NA
https://identifiers.org/aop.events/1193	https://identifiers.org/aop/200	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	https://identifiers.org/aop/200	Estrogen receptor activation leading to breast cancer  	NA
https://identifiers.org/aop.events/1193	https://identifiers.org/aop/294	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	https://identifiers.org/aop/294	Increased reactive oxygen and nitrogen species (RONS) leading to increased risk of breast cancer	NA
https://identifiers.org/aop.events/1193	https://identifiers.org/aop/293	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	https://identifiers.org/aop/293	Increased DNA damage leading to increased risk of breast cancer	NA
https://identifiers.org/aop.events/1194	https://identifiers.org/aop/294	https://identifiers.org/aop.events/1194	Increase, DNA damage	https://identifiers.org/aop/294	Increased reactive oxygen and nitrogen species (RONS) leading to increased risk of breast cancer	NA
https://identifiers.org/aop.events/1250	https://identifiers.org/aop/424	https://identifiers.org/aop.events/1250	Decrease, Lung function	https://identifiers.org/aop/424	Oxidative stress Leading to Decreased Lung Function via CFTR dysfunction	NA
https://identifiers.org/aop.events/1250	https://identifiers.org/aop/419	https://identifiers.org/aop.events/1250	Decrease, Lung function	https://identifiers.org/aop/419	Aryl hydrocarbon receptor activation leading to impaired lung function through P53 toxicity pathway	NA
https://identifiers.org/aop.events/1250	https://identifiers.org/aop/148	https://identifiers.org/aop.events/1250	Decrease, Lung function	https://identifiers.org/aop/148	EGFR Activation Leading to Decreased Lung Function	NA
https://identifiers.org/aop.events/1250	https://identifiers.org/aop/411	https://identifiers.org/aop.events/1250	Decrease, Lung function	https://identifiers.org/aop/411	Oxidative stress Leading to Decreased Lung Function 	NA
https://identifiers.org/aop.events/1250	https://identifiers.org/aop/425	https://identifiers.org/aop.events/1250	Decrease, Lung function	https://identifiers.org/aop/425	Oxidative Stress Leading to Decreased Lung Function via Decreased FOXJ1	NA
https://identifiers.org/aop.events/1262	https://identifiers.org/aop/205	https://identifiers.org/aop.events/1262	Apoptosis	https://identifiers.org/aop/205	AOP from chemical insult to cell death	NA
https://identifiers.org/aop.events/1263	https://identifiers.org/aop/205	https://identifiers.org/aop.events/1263	Necrosis	https://identifiers.org/aop/205	AOP from chemical insult to cell death	NA
