"AOid","AOPid","AOPtitle","AOtitle","Ensembl","HGNC","index","KEid","KEtitle","name","selected","shared name"
,,,,,,"154098","https://identifiers.org/aop.events/1214","Altered gene expression specific to CAR activation, Hepatocytes","https://identifiers.org/aop.events/1214","false","https://identifiers.org/aop.events/1214"
,,,,,,"154101","https://identifiers.org/aop.events/209","Peptide Oxidation","https://identifiers.org/aop.events/209","false","https://identifiers.org/aop.events/209"
,,,,,,"154104","https://identifiers.org/aop.events/55","Cell injury/death","https://identifiers.org/aop.events/55","false","https://identifiers.org/aop.events/55"
,,,,,,"154107","https://identifiers.org/aop.events/188","Neuroinflammation","https://identifiers.org/aop.events/188","false","https://identifiers.org/aop.events/188"
,,,,,,"154110","https://identifiers.org/aop.events/381","Reduced levels of BDNF","https://identifiers.org/aop.events/381","false","https://identifiers.org/aop.events/381"
,,,,,,"154113","https://identifiers.org/aop.events/383","Reduced, Presynaptic release of glutamate","https://identifiers.org/aop.events/383","false","https://identifiers.org/aop.events/383"
,,,,,,"154116","https://identifiers.org/aop.events/155","Inadequate DNA repair","https://identifiers.org/aop.events/155","false","https://identifiers.org/aop.events/155"
,,,,,,"154119","https://identifiers.org/aop.events/202","Inhibition, Nuclear factor kappa B (NF-kB)","https://identifiers.org/aop.events/202","false","https://identifiers.org/aop.events/202"
,,,,,,"154122","https://identifiers.org/aop.events/1493","Increased Pro-inflammatory mediators","https://identifiers.org/aop.events/1493","false","https://identifiers.org/aop.events/1493"
,,,,,,"154125","https://identifiers.org/aop.events/898","Disruption, Lysosome","https://identifiers.org/aop.events/898","false","https://identifiers.org/aop.events/898"
,,,,,,"154128","https://identifiers.org/aop.events/941","Activation, EGFR","https://identifiers.org/aop.events/941","false","https://identifiers.org/aop.events/941"
,,,,,,"154131","https://identifiers.org/aop.events/962","Increase, Mucin production","https://identifiers.org/aop.events/962","false","https://identifiers.org/aop.events/962"
,,,,,,"154134","https://identifiers.org/aop.events/944","dimerization, AHR/ARNT","https://identifiers.org/aop.events/944","false","https://identifiers.org/aop.events/944"
,,,,,,"154137","https://identifiers.org/aop.events/961","Increased, Clearance of thyroxine from serum","https://identifiers.org/aop.events/961","false","https://identifiers.org/aop.events/961"
