Ensembl_source	Ensembl	fromPublication	fromSTRING	fromDisGeNET	fromWikiPathways	gLayCluster	snpID	CNVassociated	PathwayID_target	PathwayID	PathwayTitle
ENSG00000113520	ENSG00000113520			1		157					
ENSG00000257017	ENSG00000257017			1		186					
ENSG00000123384	ENSG00000123384			1		157					
ENSG00000108691	ENSG00000108691			1		157					
ENSG00000105143	ENSG00000105143			1		186					
ENSG00000136244	ENSG00000136244			1		157					
ENSG00000133636	ENSG00000133636			1		155					
ENSG00000146469	ENSG00000146469			1		155					
ENSG00000134852	ENSG00000134852			1		175					
ENSG00000140505	ENSG00000140505			1		189					
ENSG00000100294	ENSG00000100294			1		187					
ENSG00000067182	ENSG00000067182			1		157					
ENSG00000012048	ENSG00000012048			1		175					
ENSG00000109471	ENSG00000109471			1		157					
ENSG00000028137	ENSG00000028137			1		157					
ENSG00000131095	ENSG00000131095			1		389					
ENSG00000118971	ENSG00000118971			1		175					
ENSG00000152422	ENSG00000152422			1		175					
ENSG00000160868	ENSG00000160868			1		189					
ENSG00000136634	ENSG00000136634			1		157					
ENSG00000164400	ENSG00000164400			1		157					
ENSG00000164399	ENSG00000164399			1		157					
ENSG00000105281	ENSG00000105281			1		166					
ENSG00000124523	ENSG00000124523			1		189					
ENSG00000122194	ENSG00000122194			1		166					
ENSG00000105976	ENSG00000105976			1		157					
ENSG00000180530	ENSG00000180530	1		1		175	rs9975024				
ENSG00000015475	ENSG00000015475			1		157					
ENSG00000090339	ENSG00000090339			1		157					
ENSG00000148737	ENSG00000148737			1		157					
ENSG00000121879	ENSG00000121879			1		157					
ENSG00000196396	ENSG00000196396			1		157					
ENSG00000048052	ENSG00000048052			1		175					
ENSG00000184916	ENSG00000184916			1		202					
ENSG00000186951	ENSG00000186951			1		175					
ENSG00000170458	ENSG00000170458			1		157					
ENSG00000134982	ENSG00000134982			1		157					
ENSG00000168621	ENSG00000168621			1		157					
ENSG00000064651	ENSG00000064651			1		155					
ENSG00000132693	ENSG00000132693			1		157					
ENSG00000150782	ENSG00000150782			1		157					
ENSG00000100362	ENSG00000100362			1		155					
ENSG00000177575	ENSG00000177575			1		186					
ENSG00000175445	ENSG00000175445			1		157					
ENSG00000187094	ENSG00000187094			1		155					
ENSG00000163599	ENSG00000163599			1		157					
ENSG00000149311	ENSG00000149311			1		175					
ENSG00000243955	ENSG00000243955			1		189					
ENSG00000139618	ENSG00000139618			1		175					
ENSG00000103546	ENSG00000103546			1		165					
ENSG00000110092	ENSG00000110092			1		157					
ENSG00000132670	ENSG00000132670			1		157					
ENSG00000165092	ENSG00000165092			1		189					
ENSG00000125538	ENSG00000125538			1		157					
ENSG00000073578	ENSG00000073578			1		193					
ENSG00000164342	ENSG00000164342			1		157					
ENSG00000115419	ENSG00000115419			1		189					
ENSG00000073050	ENSG00000073050			1		175					
ENSG00000157017	ENSG00000157017			1		155					
ENSG00000205927	ENSG00000205927			1		389					
ENSG00000118271	ENSG00000118271			1		157					
ENSG00000047457	ENSG00000047457			1		159					
ENSG00000064300	ENSG00000064300			1		157					
ENSG00000126456	ENSG00000126456	1				157	rs2304205				
ENSG00000122585	ENSG00000122585			1		155					
ENSG00000134460	ENSG00000134460			1		157					
ENSG00000164985	ENSG00000164985				1	186			WP3584	WP3584	MECP2 and associated Rett syndrome
