Ensembl_source	Ensembl	CNVassociated	gLayCluster_target	gLayCluster	N_nodes	Publication_source	STRING_source	DisGeNET_source	WikiPathways_source	WikiPathways_CNV	WikiPathways_noCNV	summary_term
ENSG00000157017	ENSG00000157017		155	155	81	3	0	54	31	1	30	G protein-coupled receptor signaling
ENSG00000146469	ENSG00000146469		155	155	81	3	0	54	31	1	30	G protein-coupled receptor signaling
ENSG00000133636	ENSG00000133636		155	155	81	3	0	54	31	1	30	G protein-coupled receptor signaling
ENSG00000115252	ENSG00000115252		155	155	81	3	0	54	31	1	30	G protein-coupled receptor signaling
ENSG00000100362	ENSG00000100362		155	155	81	3	0	54	31	1	30	G protein-coupled receptor signaling
ENSG00000187094	ENSG00000187094		155	155	81	3	0	54	31	1	30	G protein-coupled receptor signaling
ENSG00000122585	ENSG00000122585		155	155	81	3	0	54	31	1	30	G protein-coupled receptor signaling
ENSG00000064651	ENSG00000064651		155	155	81	3	0	54	31	1	30	G protein-coupled receptor signaling
ENSG00000157005	ENSG00000157005		155	155	81	3	0	54	31	1	30	G protein-coupled receptor signaling
ENSG00000126561	ENSG00000126561	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000144381	ENSG00000144381	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000141510	ENSG00000141510	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000136244	ENSG00000136244		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000134460	ENSG00000134460		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000067560	ENSG00000067560	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000271503	ENSG00000271503	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000137462	ENSG00000137462	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000067182	ENSG00000067182		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000150782	ENSG00000150782		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000132670	ENSG00000132670		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000103126	ENSG00000103126	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000112062	ENSG00000112062		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000138798	ENSG00000138798	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000136634	ENSG00000136634		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000086730	ENSG00000086730	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000189056	ENSG00000189056	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000164400	ENSG00000164400		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000164399	ENSG00000164399		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000170458	ENSG00000170458		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000168036	ENSG00000168036	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000136997	ENSG00000136997	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000177606	ENSG00000177606	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000132693	ENSG00000132693		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000173039	ENSG00000173039	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000090339	ENSG00000090339		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000109320	ENSG00000109320	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000121879	ENSG00000121879		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000196396	ENSG00000196396		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000176697	ENSG00000176697		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000125538	ENSG00000125538		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000146648	ENSG00000146648	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000164342	ENSG00000164342		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000171791	ENSG00000171791	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000100030	ENSG00000100030	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000109471	ENSG00000109471		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
