"CNVassociated","Ensembl","fromDisGeNET","fromPublication","fromWikiPathways","gLayCluster","name","PathwayID","PathwayTitle","selected","shared name","snpID"
,"ENSG00000113520","1",,,"157","ENSG00000113520",,,"false","ENSG00000113520",
,"ENSG00000257017","1",,,"186","ENSG00000257017",,,"false","ENSG00000257017",
,"ENSG00000123384","1",,,"157","ENSG00000123384",,,"false","ENSG00000123384",
,"ENSG00000108691","1",,,"157","ENSG00000108691",,,"false","ENSG00000108691",
,"ENSG00000105143","1",,,"186","ENSG00000105143",,,"false","ENSG00000105143",
,"ENSG00000136244","1",,,"157","ENSG00000136244",,,"false","ENSG00000136244",
,"ENSG00000133636","1",,,"155","ENSG00000133636",,,"false","ENSG00000133636",
,"ENSG00000146469","1",,,"155","ENSG00000146469",,,"false","ENSG00000146469",
,"ENSG00000134852","1",,,"175","ENSG00000134852",,,"false","ENSG00000134852",
,"ENSG00000140505","1",,,"189","ENSG00000140505",,,"false","ENSG00000140505",
,"ENSG00000100294","1",,,"187","ENSG00000100294",,,"false","ENSG00000100294",
,"ENSG00000067182","1",,,"157","ENSG00000067182",,,"false","ENSG00000067182",
,"ENSG00000012048","1",,,"175","ENSG00000012048",,,"false","ENSG00000012048",
,"ENSG00000109471","1",,,"157","ENSG00000109471",,,"false","ENSG00000109471",
,"ENSG00000028137","1",,,"157","ENSG00000028137",,,"false","ENSG00000028137",
,"ENSG00000131095","1",,,"389","ENSG00000131095",,,"false","ENSG00000131095",
,"ENSG00000118971","1",,,"175","ENSG00000118971",,,"false","ENSG00000118971",
,"ENSG00000152422","1",,,"175","ENSG00000152422",,,"false","ENSG00000152422",
,"ENSG00000160868","1",,,"189","ENSG00000160868",,,"false","ENSG00000160868",
,"ENSG00000136634","1",,,"157","ENSG00000136634",,,"false","ENSG00000136634",
,"ENSG00000164400","1",,,"157","ENSG00000164400",,,"false","ENSG00000164400",
,"ENSG00000164399","1",,,"157","ENSG00000164399",,,"false","ENSG00000164399",
,"ENSG00000105281","1",,,"166","ENSG00000105281",,,"false","ENSG00000105281",
,"ENSG00000124523","1",,,"189","ENSG00000124523",,,"false","ENSG00000124523",
,"ENSG00000122194","1",,,"166","ENSG00000122194",,,"false","ENSG00000122194",
,"ENSG00000105976","1",,,"157","ENSG00000105976",,,"false","ENSG00000105976",
,"ENSG00000180530","1","1",,"175","ENSG00000180530",,,"false","ENSG00000180530","rs9975024"
,"ENSG00000015475","1",,,"157","ENSG00000015475",,,"false","ENSG00000015475",
,"ENSG00000090339","1",,,"157","ENSG00000090339",,,"false","ENSG00000090339",
,"ENSG00000148737","1",,,"157","ENSG00000148737",,,"false","ENSG00000148737",
,"ENSG00000121879","1",,,"157","ENSG00000121879",,,"false","ENSG00000121879",
,"ENSG00000196396","1",,,"157","ENSG00000196396",,,"false","ENSG00000196396",
,"ENSG00000048052","1",,,"175","ENSG00000048052",,,"false","ENSG00000048052",
,"ENSG00000184916","1",,,"202","ENSG00000184916",,,"false","ENSG00000184916",
,"ENSG00000186951","1",,,"175","ENSG00000186951",,,"false","ENSG00000186951",
,"ENSG00000170458","1",,,"157","ENSG00000170458",,,"false","ENSG00000170458",
,"ENSG00000134982","1",,,"157","ENSG00000134982",,,"false","ENSG00000134982",
,"ENSG00000168621","1",,,"157","ENSG00000168621",,,"false","ENSG00000168621",
,"ENSG00000064651","1",,,"155","ENSG00000064651",,,"false","ENSG00000064651",
,"ENSG00000132693","1",,,"157","ENSG00000132693",,,"false","ENSG00000132693",
