AOid_source	AOPid_target	AOid	AOtitle	AOPid	AOPtitle	index
https://identifiers.org/aop.events/1053	https://identifiers.org/aop/165	https://identifiers.org/aop.events/1053	Promotion, ovarian adenomas	https://identifiers.org/aop/165	Antiestrogen activity leading to ovarian adenomas and granular cell tumors in the mouse	NA
https://identifiers.org/aop.events/1053	https://identifiers.org/aop/440	https://identifiers.org/aop.events/1053	Promotion, ovarian adenomas	https://identifiers.org/aop/440	Hypothalamus estrogen receptors activity suppression leading to ovarian cancer via ovarian epithelial cell hyperplasia	NA
https://identifiers.org/aop.events/1054	https://identifiers.org/aop/165	https://identifiers.org/aop.events/1054	Promotion, ovarian granular cell tumors	https://identifiers.org/aop/165	Antiestrogen activity leading to ovarian adenomas and granular cell tumors in the mouse	NA
https://identifiers.org/aop.events/1090	https://identifiers.org/aop/409	https://identifiers.org/aop.events/1090	Increased, mesotheliomas	https://identifiers.org/aop/409	Frustrated phagocytosis leads to malignant mesothelioma	NA
https://identifiers.org/aop.events/1192	https://identifiers.org/aop/293	https://identifiers.org/aop.events/1192	Increased, Ductal Hyperplasia 	https://identifiers.org/aop/293	Increased DNA damage leading to increased risk of breast cancer	NA
https://identifiers.org/aop.events/1192	https://identifiers.org/aop/294	https://identifiers.org/aop.events/1192	Increased, Ductal Hyperplasia 	https://identifiers.org/aop/294	Increased reactive oxygen and nitrogen species (RONS) leading to increased risk of breast cancer	NA
https://identifiers.org/aop.events/1193	https://identifiers.org/aop/293	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	https://identifiers.org/aop/293	Increased DNA damage leading to increased risk of breast cancer	NA
https://identifiers.org/aop.events/1193	https://identifiers.org/aop/439	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	https://identifiers.org/aop/439	Activation of the AhR leading to breast cancer 	NA
https://identifiers.org/aop.events/1193	https://identifiers.org/aop/200	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	https://identifiers.org/aop/200	Estrogen receptor activation leading to breast cancer  	NA
https://identifiers.org/aop.events/1193	https://identifiers.org/aop/294	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	https://identifiers.org/aop/294	Increased reactive oxygen and nitrogen species (RONS) leading to increased risk of breast cancer	NA
https://identifiers.org/aop.events/1194	https://identifiers.org/aop/294	https://identifiers.org/aop.events/1194	Increase, DNA damage	https://identifiers.org/aop/294	Increased reactive oxygen and nitrogen species (RONS) leading to increased risk of breast cancer	NA
https://identifiers.org/aop.events/1250	https://identifiers.org/aop/419	https://identifiers.org/aop.events/1250	Decrease, Lung function	https://identifiers.org/aop/419	Aryl hydrocarbon receptor activation leading to impaired lung function through P53 toxicity pathway	NA
https://identifiers.org/aop.events/1262	https://identifiers.org/aop/205	https://identifiers.org/aop.events/1262	Apoptosis	https://identifiers.org/aop/205	AOP from chemical insult to cell death	NA
https://identifiers.org/aop.events/1263	https://identifiers.org/aop/205	https://identifiers.org/aop.events/1263	Necrosis	https://identifiers.org/aop/205	AOP from chemical insult to cell death	NA
https://identifiers.org/aop.events/1276	https://identifiers.org/aop/382	https://identifiers.org/aop.events/1276	Lung fibrosis	https://identifiers.org/aop/382	Angiotensin II type 1 receptor (AT1R) agonism leading to lung fibrosis	NA
https://identifiers.org/aop.events/1276	https://identifiers.org/aop/319	https://identifiers.org/aop.events/1276	Lung fibrosis	https://identifiers.org/aop/319	Binding to ACE2 leading to lung fibrosis	NA
https://identifiers.org/aop.events/1277	https://identifiers.org/aop/210	https://identifiers.org/aop.events/1277	Reproductive failure	https://identifiers.org/aop/210	Activation of c-Jun N-terminal kinase (JNK) and Forkhead box O (FOXO) and reduction of WNT pathways leading to reproductive failure: Integrated multi-OMICS approach for AOP building	NA
https://identifiers.org/aop.events/1277	https://identifiers.org/aop/207	https://identifiers.org/aop.events/1277	Reproductive failure	https://identifiers.org/aop/207	NADPH oxidase and P38 MAPK activation leading to reproductive failure in Caenorhabditis elegans	NA
https://identifiers.org/aop.events/1395	https://identifiers.org/aop/220	https://identifiers.org/aop.events/1395	Liver Cancer	https://identifiers.org/aop/220	Cyp2E1 Activation Leading to Liver Cancer	NA
https://identifiers.org/aop.events/1443	https://identifiers.org/aop/237	https://identifiers.org/aop.events/1443	Atherosclerosis	https://identifiers.org/aop/237	Substance interaction with lung resident cell membrane components leading to atherosclerosis	NA
https://identifiers.org/aop.events/1458	https://identifiers.org/aop/173	https://identifiers.org/aop.events/1458	Pulmonary fibrosis	https://identifiers.org/aop/173	Substance interaction with the pulmonary resident cell membrane components leading to pulmonary fibrosis	NA
https://identifiers.org/aop.events/1506	https://identifiers.org/aop/212	https://identifiers.org/aop.events/1506	Testicular atrophy	https://identifiers.org/aop/212	Histone deacetylase inhibition leading to testicular atrophy	NA
https://identifiers.org/aop.events/1514	https://identifiers.org/aop/260	https://identifiers.org/aop.events/1514	Neurodegeneration	https://identifiers.org/aop/260	CYP2E1 activation and formation of protein adducts leading to neurodegeneration	NA
https://identifiers.org/aop.events/1521	https://identifiers.org/aop/265	https://identifiers.org/aop.events/1521	Decrease, Growth	https://identifiers.org/aop/265	Uncoupling of oxidative phosphorylation leading to growth inhibition via increased cytosolic calcium	NA
https://identifiers.org/aop.events/1521	https://identifiers.org/aop/268	https://identifiers.org/aop.events/1521	Decrease, Growth	https://identifiers.org/aop/268	Uncoupling of oxidative phosphorylation leading to growth inhibition via mitochondrial swelling	NA
https://identifiers.org/aop.events/1521	https://identifiers.org/aop/264	https://identifiers.org/aop.events/1521	Decrease, Growth	https://identifiers.org/aop/264	Uncoupling of oxidative phosphorylation leading to growth inhibition via ATP depletion associated cell death	NA
https://identifiers.org/aop.events/1521	https://identifiers.org/aop/266	https://identifiers.org/aop.events/1521	Decrease, Growth	https://identifiers.org/aop/266	Uncoupling of oxidative phosphorylation leading to growth inhibition via decreased Na-K ATPase activity	NA
https://identifiers.org/aop.events/1535	https://identifiers.org/aop/479	https://identifiers.org/aop.events/1535	Heart failure 	https://identifiers.org/aop/479	Mitochondrial complexes inhibition leading to heart failure via increased myocardial oxidative stress	NA
https://identifiers.org/aop.events/1548	https://identifiers.org/aop/278	https://identifiers.org/aop.events/1548	Necrotic Tissue	https://identifiers.org/aop/278	IKK complex inhibition leading to liver injury	NA
https://identifiers.org/aop.events/1548	https://identifiers.org/aop/273	https://identifiers.org/aop.events/1548	Necrotic Tissue	https://identifiers.org/aop/273	Mitochondrial complex inhibition leading to liver injury	NA
https://identifiers.org/aop.events/1549	https://identifiers.org/aop/278	https://identifiers.org/aop.events/1549	Liver Injury	https://identifiers.org/aop/278	IKK complex inhibition leading to liver injury	NA
https://identifiers.org/aop.events/1549	https://identifiers.org/aop/273	https://identifiers.org/aop.events/1549	Liver Injury	https://identifiers.org/aop/273	Mitochondrial complex inhibition leading to liver injury	NA
https://identifiers.org/aop.events/1549	https://identifiers.org/aop/285	https://identifiers.org/aop.events/1549	Liver Injury	https://identifiers.org/aop/285	Inhibition of N-linked glycosylation leads to liver injury	NA
https://identifiers.org/aop.events/1556	https://identifiers.org/aop/272	https://identifiers.org/aop.events/1556	Increase, lung cancer	https://identifiers.org/aop/272	Deposition of energy leading to lung cancer	NA
https://identifiers.org/aop.events/1559	https://identifiers.org/aop/274	https://identifiers.org/aop.events/1559	Facial cartilage structures are reduced in size and morphologically distorted	https://identifiers.org/aop/274	Histone deacetylase inhibition leads to impeded craniofacial development	NA
https://identifiers.org/aop.events/1559	https://identifiers.org/aop/455	https://identifiers.org/aop.events/1559	Facial cartilage structures are reduced in size and morphologically distorted	https://identifiers.org/aop/455	Aryl hydrocarbon receptor activation leading to early life stage mortality via sox9 repression induced impeded craniofacial development	NA
https://identifiers.org/aop.events/1561	https://identifiers.org/aop/275	https://identifiers.org/aop.events/1561	Neural tube defects	https://identifiers.org/aop/275	Histone deacetylase inhibition leads to neural tube defects	NA
https://identifiers.org/aop.events/1561	https://identifiers.org/aop/449	https://identifiers.org/aop.events/1561	Neural tube defects	https://identifiers.org/aop/449	Ceramide synthase inhibition leading to neural tube defects 	NA
https://identifiers.org/aop.events/1616	https://identifiers.org/aop/476	https://identifiers.org/aop.events/1616	Malformation, cryptorchidism - maldescended testis	https://identifiers.org/aop/476	Adverse Outcome Pathways diagram related to PBDEs associated male reproductive toxicity	NA
https://identifiers.org/aop.events/1636	https://identifiers.org/aop/296	https://identifiers.org/aop.events/1636	Increase, Chromosomal aberrations	https://identifiers.org/aop/296	Oxidative DNA damage leading to chromosomal aberrations and mutations	NA
https://identifiers.org/aop.events/1670	https://identifiers.org/aop/451	https://identifiers.org/aop.events/1670	Lung cancer	https://identifiers.org/aop/451	Interaction with lung resident cell membrane components leads to lung cancer	NA
https://identifiers.org/aop.events/1688	https://identifiers.org/aop/476	https://identifiers.org/aop.events/1688	anogenital distance (AGD), decreased	https://identifiers.org/aop/476	Adverse Outcome Pathways diagram related to PBDEs associated male reproductive toxicity	NA
https://identifiers.org/aop.events/1757	https://identifiers.org/aop/322	https://identifiers.org/aop.events/1757	Reduce, Sperm count	https://identifiers.org/aop/322	Alkylation of DNA leading to reduced sperm count	NA
https://identifiers.org/aop.events/1843	https://identifiers.org/aop/377	https://identifiers.org/aop.events/1843	Multi Organ Failure involving Acute Respiratory Distress Syndrome	https://identifiers.org/aop/377	Dysregulated prolonged Toll Like Receptor 9 (TLR9) activation leading to Multi Organ Failure involving Acute Respiratory Distress Syndrome (ARDS)	NA
https://identifiers.org/aop.events/185	https://identifiers.org/aop/296	https://identifiers.org/aop.events/185	Increase, Mutations	https://identifiers.org/aop/296	Oxidative DNA damage leading to chromosomal aberrations and mutations	NA
https://identifiers.org/aop.events/185	https://identifiers.org/aop/397	https://identifiers.org/aop.events/185	Increase, Mutations	https://identifiers.org/aop/397	Bulky DNA adducts leading to mutations	NA
https://identifiers.org/aop.events/185	https://identifiers.org/aop/294	https://identifiers.org/aop.events/185	Increase, Mutations	https://identifiers.org/aop/294	Increased reactive oxygen and nitrogen species (RONS) leading to increased risk of breast cancer	NA
https://identifiers.org/aop.events/185	https://identifiers.org/aop/293	https://identifiers.org/aop.events/185	Increase, Mutations	https://identifiers.org/aop/293	Increased DNA damage leading to increased risk of breast cancer	NA
https://identifiers.org/aop.events/1863	https://identifiers.org/aop/476	https://identifiers.org/aop.events/1863	Decrease, Reproduction	https://identifiers.org/aop/476	Adverse Outcome Pathways diagram related to PBDEs associated male reproductive toxicity	NA
https://identifiers.org/aop.events/1868	https://identifiers.org/aop/468	https://identifiers.org/aop.events/1868	Hyperinflammation	https://identifiers.org/aop/468	Binding of SARS-CoV-2 to ACE2 leads to hyperinflammation (via cell death)	NA
https://identifiers.org/aop.events/1868	https://identifiers.org/aop/392	https://identifiers.org/aop.events/1868	Hyperinflammation	https://identifiers.org/aop/392	Decreased fibrinolysis and activated bradykinin system leading to hyperinflammation	NA
https://identifiers.org/aop.events/1893	https://identifiers.org/aop/151	https://identifiers.org/aop.events/1893	increase, Preeclampsia	https://identifiers.org/aop/151	AhR activation leading to preeclampsia	NA
https://identifiers.org/aop.events/1955	https://identifiers.org/aop/432	https://identifiers.org/aop.events/1955	Acute Myeloid Leukemia	https://identifiers.org/aop/432	Deposition of Energy by Ionizing Radiation leading to Acute Myeloid Leukemia	NA
https://identifiers.org/aop.events/1978	https://identifiers.org/aop/441	https://identifiers.org/aop.events/1978	Increase risk, microcephaly	https://identifiers.org/aop/441	Ionizing radiation-induced DNA damage leads to microcephaly via apoptosis and premature cell differentiation	NA
https://identifiers.org/aop.events/1982	https://identifiers.org/aop/443	https://identifiers.org/aop.events/1982	metastatic breast cancer	https://identifiers.org/aop/443	 DNA damage and mutations leading to Metastatic Breast Cancer	NA
