KEid_source	KEEnsembl_target	KEid	KEtitle	Ensembl
https://identifiers.org/aop.events/1000	ENSG00000141027	https://identifiers.org/aop.events/1000	stabilization, PPAR alpha co-repressor	ENSG00000141027
https://identifiers.org/aop.events/1003	ENSG00000147571	https://identifiers.org/aop.events/1003	Decreased, Triiodothyronine (T3)	ENSG00000147571
https://identifiers.org/aop.events/1046	ENSG00000140009	https://identifiers.org/aop.events/1046	Suppression, Estrogen receptor (ER) activity	ENSG00000140009
https://identifiers.org/aop.events/1046	ENSG00000091831	https://identifiers.org/aop.events/1046	Suppression, Estrogen receptor (ER) activity	ENSG00000091831
https://identifiers.org/aop.events/105	ENSG00000142168	https://identifiers.org/aop.events/105	Inhibition, Mitochondrial Electron Transport Chain Complexes	ENSG00000142168
https://identifiers.org/aop.events/116	ENSG00000026103	https://identifiers.org/aop.events/116	Activation, FAS	ENSG00000026103
https://identifiers.org/aop.events/116	ENSG00000072310	https://identifiers.org/aop.events/116	Activation, FAS	ENSG00000072310
https://identifiers.org/aop.events/1193	ENSG00000149311	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	ENSG00000149311
https://identifiers.org/aop.events/1193	ENSG00000141510	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	ENSG00000141510
https://identifiers.org/aop.events/1193	ENSG00000139687	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	ENSG00000139687
https://identifiers.org/aop.events/1193	ENSG00000121879	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	ENSG00000121879
https://identifiers.org/aop.events/1193	ENSG00000146648	https://identifiers.org/aop.events/1193	N/A, Breast Cancer	ENSG00000146648
https://identifiers.org/aop.events/1202	ENSG00000177606	https://identifiers.org/aop.events/1202	Suppression, IL-2 and IL-4 production	ENSG00000177606
https://identifiers.org/aop.events/1202	ENSG00000015475	https://identifiers.org/aop.events/1202	Suppression, IL-2 and IL-4 production	ENSG00000015475
https://identifiers.org/aop.events/1202	ENSG00000170345	https://identifiers.org/aop.events/1202	Suppression, IL-2 and IL-4 production	ENSG00000170345
https://identifiers.org/aop.events/1202	ENSG00000113520	https://identifiers.org/aop.events/1202	Suppression, IL-2 and IL-4 production	ENSG00000113520
https://identifiers.org/aop.events/1202	ENSG00000109471	https://identifiers.org/aop.events/1202	Suppression, IL-2 and IL-4 production	ENSG00000109471
https://identifiers.org/aop.events/1202	ENSG00000134460	https://identifiers.org/aop.events/1202	Suppression, IL-2 and IL-4 production	ENSG00000134460
https://identifiers.org/aop.events/1214	ENSG00000160868	https://identifiers.org/aop.events/1214	Altered gene expression specific to CAR activation, Hepatocytes	ENSG00000160868
https://identifiers.org/aop.events/1214	ENSG00000243955	https://identifiers.org/aop.events/1214	Altered gene expression specific to CAR activation, Hepatocytes	ENSG00000243955
