source	target	GO_term_matches
1	2	141
1	3	1
1	4	11
1	8	27
1	10	38
1	11	191
1	12	22
1	13	31
1	17	30
1	20	100
1	22	1
1	30	0
1	31	1
1	40	34
1	48	18
1	66	2
1	72	0
1	83	16
1	84	2
1	88	28
1	96	0
1	130	0
1	138	0
1	139	47
1	164	0
1	247	0
2	3	3
2	4	90
2	8	190
2	10	180
2	11	298
2	12	44
2	13	48
2	17	73
2	20	475
2	22	29
2	30	42
2	31	73
2	40	19
2	48	38
2	66	2
2	72	77
2	83	62
2	84	16
2	88	29
2	96	6
2	130	4
2	138	7
2	139	25
2	164	2
2	247	13
3	4	1
3	8	0
3	10	0
3	11	2
3	12	0
3	13	0
3	17	0
3	20	0
3	22	0
3	30	0
3	31	1
3	40	0
3	48	0
3	66	0
3	72	0
3	83	0
3	84	0
3	88	1
3	96	0
3	130	0
3	138	0
3	139	0
3	164	0
3	247	0
4	8	7
4	10	13
4	11	60
4	12	2
4	13	4
4	17	9
4	20	102
4	22	14
4	30	4
4	31	5
4	40	6
4	48	3
4	66	1
4	72	2
4	83	1
4	84	1
4	88	9
4	96	2
4	130	3
4	138	1
4	139	10
4	164	0
4	247	1
8	10	64
8	11	40
8	12	4
8	13	8
8	17	28
8	20	37
8	22	0
8	30	14
8	31	23
8	40	3
8	48	34
8	66	0
8	72	3
8	83	0
8	84	0
8	88	3
8	96	0
8	130	26
8	138	9
8	139	4
8	164	8
8	247	0
10	11	52
10	12	37
10	13	4
10	17	23
10	20	78
10	22	2
10	30	42
10	31	35
10	40	4
10	48	19
10	66	8
10	72	2
10	83	6
10	84	2
10	88	5
10	96	4
10	130	4
10	138	2
10	139	10
10	164	3
10	247	1
11	12	16
11	13	32
11	17	78
11	20	233
11	22	6
11	30	0
11	31	4
11	40	72
11	48	44
11	66	4
11	72	4
11	83	17
11	84	0
11	88	86
11	96	1
11	130	1
11	138	1
11	139	93
11	164	0
11	247	1
12	13	7
12	17	6
12	20	24
12	22	0
12	30	0
12	31	1
12	40	1
12	48	3
12	66	1
12	72	0
12	83	18
12	84	5
12	88	1
12	96	1
12	130	1
12	138	1
12	139	3
12	164	1
12	247	0
13	17	1
13	20	15
13	22	1
13	30	0
13	31	1
13	40	4
13	48	5
13	66	0
13	72	3
13	83	8
13	84	2
13	88	6
13	96	0
13	130	0
13	138	0
13	139	2
13	164	0
13	247	0
17	20	47
17	22	4
17	30	1
17	31	5
17	40	6
17	48	16
17	66	12
17	72	0
17	83	0
17	84	0
17	88	6
17	96	14
17	130	3
17	138	3
17	139	10
17	164	0
17	247	0
20	22	25
20	30	2
20	31	18
20	40	23
20	48	8
20	66	7
20	72	8
20	83	25
20	84	2
20	88	36
20	96	4
20	130	1
20	138	2
20	139	37
20	164	0
20	247	3
22	30	0
22	31	0
22	40	0
22	48	0
22	66	0
22	72	0
22	83	0
22	84	0
22	88	0
22	96	0
22	130	0
22	138	0
22	139	0
22	164	0
22	247	1
30	31	21
30	40	0
30	48	1
30	66	0
30	72	4
30	83	0
30	84	0
30	88	0
30	96	0
30	130	0
30	138	0
30	139	1
30	164	0
30	247	0
31	40	0
31	48	3
31	66	4
31	72	19
31	83	0
31	84	3
31	88	0
31	96	15
31	130	2
31	138	0
31	139	1
31	164	0
31	247	0
40	48	13
40	66	2
40	72	0
40	83	2
40	84	0
40	88	55
40	96	0
40	130	0
40	138	0
40	139	49
40	164	0
40	247	0
48	66	2
48	72	0
48	83	3
48	84	1
48	88	13
48	96	0
48	130	2
48	138	1
48	139	18
48	164	1
48	247	0
66	72	1
66	83	1
66	84	0
66	88	2
66	96	4
66	130	1
66	138	1
66	139	2
66	164	0
66	247	0
72	83	19
72	84	0
72	88	0
72	96	0
72	130	0
72	138	0
72	139	0
72	164	0
72	247	0
83	84	0
83	88	2
83	96	0
83	130	0
83	138	3
83	139	1
83	164	0
83	247	0
84	88	0
84	96	0
84	130	0
84	138	0
84	139	0
84	164	0
84	247	0
88	96	0
88	130	0
88	138	0
88	139	53
88	164	0
88	247	0
96	130	3
96	138	3
96	139	1
96	164	0
96	247	0
130	138	15
130	139	1
130	164	27
130	247	0
138	139	0
138	164	2
138	247	0
139	164	0
139	247	0
164	247	0
