Ensembl_source	Ensembl	CNVassociated	gLayCluster_target	gLayCluster	N_nodes	Publication_source	DisGeNET_source	WikiPathways_source	WikiPathways_CNV	WikiPathways_noCNV	summary_term
ENSG00000101400	ENSG00000101400	1	164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000164082	ENSG00000164082		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000138031	ENSG00000138031		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000099957	ENSG00000099957	1	164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000143786	ENSG00000143786		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000184381	ENSG00000184381		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000114062	ENSG00000114062		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000129467	ENSG00000129467		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000198929	ENSG00000198929		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000198055	ENSG00000198055		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000122584	ENSG00000122584		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000173175	ENSG00000173175		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000148680	ENSG00000148680		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000161509	ENSG00000161509	1	164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000128591	ENSG00000128591	1	164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000121281	ENSG00000121281		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000149403	ENSG00000149403		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000078549	ENSG00000078549		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000196569	ENSG00000196569		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000157005	ENSG00000157005		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000145349	ENSG00000145349		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000165995	ENSG00000165995		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000087460	ENSG00000087460		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000251322	ENSG00000251322	1	164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000125779	ENSG00000125779		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000125798	ENSG00000125798	1	164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000100151	ENSG00000100151		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000101405	ENSG00000101405		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000142408	ENSG00000142408		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000120910	ENSG00000120910		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
ENSG00000112038	ENSG00000112038		164	164	173	9	117	85	55	30	Synaptic signalling & cell junction
