PathwayID	PathwayTitle	Identifier	name	Ensembl	WPNodeIDType	CNVassociated	WPNodeID
WP408	Oxidative stress response	50507	NOX4	ENSG00000086991	ncbigene	NA	50507
WP5406	13q12.12 copy number variation	ENSG00000198947	DMD, DMD (+mutations)	ENSG00000198947	ensembl	1	ENSG00000198947
WP5399	NPHP1 deletion syndrome	ENSG00000136068	FLNB	ENSG00000136068	ensembl	1	ENSG00000136068
WP5408	15q25 copy number variation	ENSG00000169594	BNC1	ENSG00000169594	ensembl	1	ENSG00000169594
WP3584	MECP2 and associated Rett syndrome	HMDB0000211	Myoinositol		hmdb	NA	HMDB0000211
WP5412	8q11.23 (RB1CC1) copy number variation	ENSG00000139112	GABARAPL1	ENSG00000139112	ensembl	1	ENSG00000139112
WP5406	13q12.12 copy number variation	ENSG00000134769	DTNA	ENSG00000134769	ensembl	1	ENSG00000134769
WP5407	15q11q13 copy number variation	ENSG00000101222	SPEF1	ENSG00000101222	ensembl	1	ENSG00000101222
WP3584, WP4222, WP4875	Disruption of postsynaptic signaling by CNV, MECP2 and associated Rett syndrome, Phosphodiesterases in neuronal function	ENSG00000070808	CAMK2A, CaMK2, CaMK2A	ENSG00000070808	ensembl	NA	ENSG00000070808
WP4906	3q29 copy number variation syndrome	ENSG00000161217	PCYT1A	ENSG00000161217	ensembl	1	ENSG00000161217
WP4932	7q11.23 copy number variation syndrome	ENSG00000006704	GTF2IRD1	ENSG00000006704	ensembl	1	ENSG00000006704
WP4932	7q11.23 copy number variation syndrome	ENSG00000176428	VPS37D	ENSG00000176428	ensembl	1	ENSG00000176428
WP5402	10q22q23 copy number variation	HMDB0001358	Retinal, Retinal Vitamin A aldehyde, all-trans Retinal		hmdb	1	HMDB0001358
WP5402	10q22q23 copy number variation	ENSG00000120659	IL1/4/6/7, RANK, TNF-a, TNFSF11	ENSG00000120659	ensembl	1	ENSG00000120659
WP4932	7q11.23 copy number variation syndrome	CPX-1099	B-WICH chromatin remodeling complex, B-WICH chromatin remodelling complex		complexportal	1	CPX-1099
WP4942	15q13.3 copy number variation syndrome	ENSG00000259448	LINC02352	ENSG00000259448	ensembl	1	ENSG00000259448
WP4657	22q11.2 copy number variation syndrome	CHEBI:133748	Citrate, citrate		chebi	1	CHEBI:133748
WP3584	MECP2 and associated Rett syndrome	ENSG00000065978	YB1	ENSG00000065978	ensembl	NA	ENSG00000065978
WP5408	15q25 copy number variation	ENSG00000103723	AP3B2	ENSG00000103723	ensembl	1	ENSG00000103723
WP5407	15q11q13 copy number variation	http://rdf.wikipathways.org/Pathway/WP5407_r129010/Complex/f1182	SMC5-SMC6 SUMO ligase complex		Complex	1	http://rdf.wikipathways.org/Pathway/WP5407_r129010/Complex/f1182
WP5406, WP5412	13q12.12 copy number variation, 8q11.23 (RB1CC1) copy number variation	ENSG00000127191	TRAF2	ENSG00000127191	ensembl	1	ENSG00000127191
WP5399	NPHP1 deletion syndrome	ENSG00000131697	NPHP4	ENSG00000131697	ensembl	1	ENSG00000131697
WP4905	1q21.1 copy number variation syndrome	ENSG00000121743	GJA3	ENSG00000121743	ensembl	1	ENSG00000121743
WP5402	10q22q23 copy number variation	ENSG00000111834	RSPH4A	ENSG00000111834	ensembl	1	ENSG00000111834
WP5405	13q12 or CRYL1 copy number variation	CHEBI:57655	3-dehydro-L-gulonate		chebi	1	CHEBI:57655
WP4905	1q21.1 copy number variation syndrome	ENSG00000162409	AMPK, AMPK2, PRKAA2, PRKAAK2	ENSG00000162409	ensembl	1	ENSG00000162409
WP4657	22q11.2 copy number variation syndrome	ENSG00000125798	FOXA2	ENSG00000125798	ensembl	1	ENSG00000125798
WP4657	22q11.2 copy number variation syndrome	ENSG00000128918	ALDH1A2	ENSG00000128918	ensembl	1	ENSG00000128918
WP4932	7q11.23 copy number variation syndrome	http://rdf.wikipathways.org/Pathway/WP4932_r126861/Complex/f942e	ESCRT-I complex	ESCRT-I	Complex	1	http://rdf.wikipathways.org/Pathway/WP4932_r126861/Complex/f942e
WP5346	8p23.1 copy number variation syndrome	ENSG00000104626	ERI1	ENSG00000104626	ensembl	1	ENSG00000104626
WP4906	3q29 copy number variation syndrome	ENSG00000187240	DYNC2H1	ENSG00000187240	ensembl	1	ENSG00000187240
WP4906	3q29 copy number variation syndrome	ENSG00000136937	NCBP1	ENSG00000136937	ensembl	1	ENSG00000136937
WP5346	8p23.1 copy number variation syndrome	WP183	26S Proteasome  Degradation, 26S Proteasome Degradation, 26S proteasome  degradation, Degradation via UPS, Proteasomal Degradation, Proteasome, Proteasome  degradation pathway, Proteasome degradation, Proteosome degradation, Ub-mediated proteolysis, Ubiquitin-mediated  proteolysis, Ubiquitin-mediated proteasome degradation, Ubiquitin-mediated proteolysis		wikipathways	1	WP183
WP4905, WP5407	15q11q13 copy number variation, 1q21.1 copy number variation syndrome	ENSG00000197822	OCLN	ENSG00000197822	ensembl	1	ENSG00000197822
WP5408	15q25 copy number variation	ENSG00000169612	RAMAC	ENSG00000169612	ensembl	1	ENSG00000169612
WP408	Oxidative stress response	847	CAT, Catalase	ENSG00000121691	ncbigene	NA	847
WP4906	3q29 copy number variation syndrome	ENSG00000010704	HFE	ENSG00000010704	ensembl	1	ENSG00000010704
WP4222	Phosphodiesterases in neuronal function	ENSG00000095464	PDE6C	ENSG00000095464	ensembl	NA	ENSG00000095464
WP5407	15q11q13 copy number variation	ENSG00000104059	ENTREP2	ENSG00000104059	ensembl	1	ENSG00000104059
WP3584, WP5407	15q11q13 copy number variation, MECP2 and associated Rett syndrome	ENSG00000169375	SIN3A	ENSG00000169375	ensembl	1	ENSG00000169375
WP5402	10q22q23 copy number variation	ENSG00000107771	CCSER2	ENSG00000107771	ensembl	1	ENSG00000107771
