gLayCluster	GO_Terms	GO_Pvals	Nodes	N_nodes	gLayCluster	WikiPathways_source	DisGeNET_source	Publication_source	gLayCluster	WikiPathways_CNV	WikiPathways_noCNV
135	Oxidative stress response, response to xenobiotic stimulus, oxidoreductase activity, fat-soluble vitamin metabolic process, cellular response to chemical stimulus	1.82051612449738e-18, 2.25534209493141e-11, 2.31944924088721e-09, 3.87336927347231e-09, 4.47467095605779e-09	ENSG00000128271,ENSG00000095596,ENSG00000187553,ENSG00000001084,ENSG00000008394,ENSG00000140465,ENSG00000172071,ENSG00000157005,ENSG00000149295,ENSG00000003137,ENSG00000189221,ENSG00000116044,ENSG00000100292,ENSG00000211445,ENSG00000128918,ENSG00000104687,ENSG00000181019,ENSG00000167165,ENSG00000093010	19	135	19	0	0	135	7	12
136	15q13 3 copy number variation syndrome, 15q11q13 copy number variation, Fanconi anemia pathway, interstrand cross-link repair, Fanconi Anemia Pathway	1.46556802736496e-10, 2.99377753254373e-08, 3.57630147862911e-07, 0.000113365765958637, 0.000351732073994788	ENSG00000198690,ENSG00000166912,ENSG00000113262,ENSG00000140525,ENSG00000144554,ENSG00000114315,ENSG00000134160	7	136	7	0	0	136	7	0
137	positive regulation of cellular metabolic process, positive regulation of nitrogen compound metabolic process, positive regulation of metabolic process, positive regulation of macromolecule metabolic process, response to endogenous stimulus	9.09423581878335e-47, 3.46636057472051e-46, 7.68790803144762e-44, 1.53104785048041e-43, 4.04581042588537e-42	ENSG00000141510,ENSG00000132155,ENSG00000140443,ENSG00000185619,ENSG00000070831,ENSG00000101412,ENSG00000103037,ENSG00000102882,ENSG00000141027,ENSG00000215012,ENSG00000176697,ENSG00000187323,ENSG00000146648,ENSG00000169398,ENSG00000241973,ENSG00000107831,ENSG00000116128,ENSG00000164690,ENSG00000133794,ENSG00000178568,ENSG00000067560,ENSG00000113448,ENSG00000161217,ENSG00000017427,ENSG00000169375,ENSG00000142599,ENSG00000187098,ENSG00000180530,ENSG00000136997,ENSG00000173039,ENSG00000156232,ENSG00000173757,ENSG00000026103,ENSG00000196591,ENSG00000096060,ENSG00000232810,ENSG00000157168,ENSG00000109320,ENSG00000103126,ENSG00000114166,ENSG00000271503,ENSG00000168036,ENSG00000050820,ENSG00000149527,ENSG00000112062,ENSG00000114062,ENSG00000064309,ENSG00000172175,ENSG00000075388,ENSG00000167491,ENSG00000128191,ENSG00000169057,ENSG00000100644,ENSG00000116478,ENSG00000010810,ENSG00000005339,ENSG00000118515,ENSG00000143199,ENSG00000111640,ENSG00000171791,ENSG00000143365,ENSG00000100030,ENSG00000177606,ENSG00000170027,ENSG00000089159,ENSG00000065989,ENSG00000072062,ENSG00000099942,ENSG00000106462,ENSG00000245848,ENSG00000198752,ENSG00000066468,ENSG00000139515,ENSG00000109670,ENSG00000129910,ENSG00000171720,ENSG00000141867,ENSG00000172845,ENSG00000077782,ENSG00000119737,ENSG00000126803,ENSG00000164362,ENSG00000138685,ENSG00000142208,ENSG00000221869,ENSG00000177885,ENSG00000172572,ENSG00000120899,ENSG00000137462,ENSG00000171016,ENSG00000128272,ENSG00000105329,ENSG00000186895,ENSG00000152270,ENSG00000138675,ENSG00000197442,ENSG00000163348,ENSG00000070193,ENSG00000117394,ENSG00000197386,ENSG00000171862,ENSG00000181092,ENSG00000117461,ENSG00000113916,ENSG00000182957,ENSG00000096717,ENSG00000137309,ENSG00000117020,ENSG00000181856,ENSG00000132170,ENSG00000171223,ENSG00000107643,ENSG00000118260,ENSG00000174004,ENSG00000138336,ENSG00000170345,ENSG00000138798,ENSG00000198793,ENSG00000086730,ENSG00000050748,ENSG00000084093,ENSG00000150995,ENSG00000185591,ENSG00000126561,ENSG00000185737,ENSG00000139687,ENSG00000143578,ENSG00000125798	128	137	119	0	10	137	85	34
138	22q11 2 copy number variation syndrome, chromatin organization, protein-DNA complex organization, chromatin remodeling, transferase complex	1.83868544131781e-08, 5.52235365039154e-08, 1.88307016653918e-07, 2.06136476305436e-07, 5.07778301583594e-06	ENSG00000111875,ENSG00000169592,ENSG00000167244,ENSG00000100387,ENSG00000120071,ENSG00000118900,ENSG00000163960,ENSG00000070010,ENSG00000100084,ENSG00000129757,ENSG00000147133,ENSG00000064726,ENSG00000181222,ENSG00000112659,ENSG00000187778,ENSG00000036257,ENSG00000099949,ENSG00000099910,ENSG00000198900,ENSG00000225830	20	138	17	0	3	138	15	2
140	mitochondrial proton-transporting ATP synthase complex, proton-transporting ATP synthase complex, Formation of ATP by chemiosmotic coupling, 7q11 23 copy number variation syndrome, Cristae formation	5.85274578045656e-27, 2.06908017764526e-26, 2.80960386560011e-25, 1.58572247305038e-24, 7.40159308271038e-22	ENSG00000159423,ENSG00000241837,ENSG00000099624,ENSG00000091140,ENSG00000148672,ENSG00000119689,ENSG00000123472,ENSG00000089163,ENSG00000128683,ENSG00000198899,ENSG00000105953,ENSG00000116459,ENSG00000065154,ENSG00000135390,ENSG00000110955,ENSG00000152234,ENSG00000124172,ENSG00000228253,ENSG00000159199,ENSG00000100033,ENSG00000171953,ENSG00000154518	22	140	22	0	0	140	21	1
142	chromosome organization, chromosome, chromosomal region, sister chromatid cohesion, DNA metabolic process	1.89852660212149e-43, 9.9705342847769e-30, 3.33073024652872e-29, 3.80135078220439e-28, 9.40633073568957e-26	ENSG00000111445,ENSG00000108055,ENSG00000132646,ENSG00000002822,ENSG00000122376,ENSG00000171984,ENSG00000127586,ENSG00000214575,ENSG00000156831,ENSG00000173273,ENSG00000062650,ENSG00000118007,ENSG00000185115,ENSG00000119906,ENSG00000049541,ENSG00000072501,ENSG00000156970,ENSG00000137497,ENSG00000253251,ENSG00000083642,ENSG00000102974,ENSG00000133302,ENSG00000093009,ENSG00000164754,ENSG00000147601,ENSG00000169189,ENSG00000121892,ENSG00000198887,ENSG00000166851,ENSG00000163029,ENSG00000116670,ENSG00000255150	32	142	31	0	1	142	30	1
143	cytoplasmic dynein complex, Dynein-2 complex, cytoplasmic, dynein complex, Intraflagellar transport proteins binding to dynein, 3q29 copy number variation syndrome	1.03448550095525e-27, 4.54276663634853e-25, 7.24874039520459e-23, 1.62825747758137e-22, 9.02281919414933e-18	ENSG00000040608,ENSG00000187240,ENSG00000264364,ENSG00000146425,ENSG00000168589,ENSG00000126870,ENSG00000138036,ENSG00000125971,ENSG00000197971,ENSG00000088986,ENSG00000105695,ENSG00000119333,ENSG00000115540,ENSG00000169783,ENSG00000173786,ENSG00000213123,ENSG00000115310,ENSG00000165169,ENSG00000127863	19	143	18	0	1	143	16	2
144	cell-cell junction organization, cell-cell junction, 1q21 1 copy number variation syndrome, cell-cell junction assembly, tight junction	9.53512490787173e-24, 8.96182996374951e-21, 1.31969093010358e-20, 6.40703619082048e-19, 7.3619218211004e-19	ENSG00000164107,ENSG00000143375,ENSG00000121634,ENSG00000136574,ENSG00000081189,ENSG00000104067,ENSG00000163347,ENSG00000130396,ENSG00000183153,ENSG00000176165,ENSG00000121743,ENSG00000112658,ENSG00000119139,ENSG00000158769,ENSG00000165215,ENSG00000265107,ENSG00000089225,ENSG00000152661,ENSG00000184113,ENSG00000197822,ENSG00000183072,ENSG00000189143,ENSG00000105289,ENSG00000183853	24	144	24	0	0	144	22	2
147	Disruption of postsynaptic signaling by CNV, Protein-protein interactions at synapses, neuron to neuron synapse, Unblocking of NMDA receptors, glutamate binding and activation, postsynaptic specialization	1.82312385924601e-42, 5.71162946430507e-39, 7.49795257171859e-39, 4.14770240642276e-37, 3.43674416287609e-36	ENSG00000145349,ENSG00000152822,ENSG00000105464,ENSG00000061918,ENSG00000110076,ENSG00000196924,ENSG00000169704,ENSG00000155511,ENSG00000169306,ENSG00000021645,ENSG00000116032,ENSG00000006704,ENSG00000075711,ENSG00000153707,ENSG00000077522,ENSG00000198626,ENSG00000197283,ENSG00000074054,ENSG00000198010,ENSG00000136068,ENSG00000108061,ENSG00000263001,ENSG00000103942,ENSG00000196218,ENSG00000198668,ENSG00000152578,ENSG00000179915,ENSG00000143627,ENSG00000099957,ENSG00000152402,ENSG00000169760,ENSG00000089250,ENSG00000198785,ENSG00000148660,ENSG00000146938,ENSG00000135439,ENSG00000253958,ENSG00000168959,ENSG00000058404,ENSG00000173281,ENSG00000151067,ENSG00000169992,ENSG00000170579,ENSG00000196338,ENSG00000203618,ENSG00000176884,ENSG00000132535,ENSG00000185245,ENSG00000183454,ENSG00000158125,ENSG00000213639,ENSG00000152413,ENSG00000158773,ENSG00000185532,ENSG00000150672,ENSG00000161509,ENSG00000178732,ENSG00000164116,ENSG00000273079,ENSG00000110799,ENSG00000155974,ENSG00000120251,ENSG00000106665,ENSG00000251322,ENSG00000161681,ENSG00000163539,ENSG00000070808,ENSG00000125675,ENSG00000122584,ENSG00000147324,ENSG00000122367,ENSG00000131771,ENSG00000128591	73	147	68	0	8	147	52	16
150	Iron metabolism disorders, iron ion transport, intracellular iron ion homeostasis, Iron metabolism in placenta, transition metal ion transport	1.64370006458629e-12, 9.69686962095405e-11, 3.01526543750471e-10, 7.25483733160773e-10, 1.65639609374284e-09	ENSG00000091513,ENSG00000010704,ENSG00000138449,ENSG00000072274,ENSG00000105697	5	150	5	0	0	150	5	0
