"KEtitle","name","Name2","selected","Ensembl","KE_URI","AOPwiki_source"
"increased, Bax expression","https://identifiers.org/aop.events/2124","","false",NA,"https://identifiers.org/aop.events/2124",1
"decreased, Bcl-2 expression","https://identifiers.org/aop.events/2123","","false",NA,"https://identifiers.org/aop.events/2123",1
"increased, Economic Burden","https://identifiers.org/aop.events/2122","","false",NA,"https://identifiers.org/aop.events/2122",1
"decreased, Intellectual Quotient","https://identifiers.org/aop.events/2121","","false",NA,"https://identifiers.org/aop.events/2121",1
"Activation, Microglia","https://identifiers.org/aop.events/1998","","false",NA,"https://identifiers.org/aop.events/1998",1
"Mitochondrial Injury","https://identifiers.org/aop.events/1547","","false",NA,"https://identifiers.org/aop.events/1547",1
"Endoplasmic reticulum stress","https://identifiers.org/aop.events/2017","","false",NA,"https://identifiers.org/aop.events/2017",1
"Decrease, Oxidative phosphorylation","https://identifiers.org/aop.events/1477","","false",NA,"https://identifiers.org/aop.events/1477",1
"Increase, Cell membrane depolarization","https://identifiers.org/aop.events/1527","","false",NA,"https://identifiers.org/aop.events/1527",1
"Inhibition GABAA receptor","https://identifiers.org/aop.events/2039","","false",NA,"https://identifiers.org/aop.events/2039",1
"Increase, Cell death","https://identifiers.org/aop.events/1825","","false",NA,"https://identifiers.org/aop.events/1825",1
"Activation of calpain signalling","https://identifiers.org/aop.events/2038","","false",NA,"https://identifiers.org/aop.events/2038",1
"Activation of metabotropic glutamate receptor","https://identifiers.org/aop.events/2036","","false",NA,"https://identifiers.org/aop.events/2036",1
"Inositol triphosphate receptor activation","https://identifiers.org/aop.events/2037","","false",NA,"https://identifiers.org/aop.events/2037",1
"Activation, AhR","https://identifiers.org/aop.events/18","","false",NA,"https://identifiers.org/aop.events/18",1
"Induction, Upregulation of glucuronyltransferase activity","https://identifiers.org/aop.events/295","","false",NA,"https://identifiers.org/aop.events/295",1
"Increased Mortality","https://identifiers.org/aop.events/351","","false",NA,"https://identifiers.org/aop.events/351",1
"Activation of Cyp2E1","https://identifiers.org/aop.events/1391","","false",NA,"https://identifiers.org/aop.events/1391",1
"Increased sphingolipid-1-phosphate","https://identifiers.org/aop.events/2033","","false",NA,"https://identifiers.org/aop.events/2033",1
"decreased folate uptake","https://identifiers.org/aop.events/2026","","false",NA,"https://identifiers.org/aop.events/2026",1
"Affected folate transporter","https://identifiers.org/aop.events/2025","","false",NA,"https://identifiers.org/aop.events/2025",1
"Reduced complex sphingolipids","https://identifiers.org/aop.events/2024","","false",NA,"https://identifiers.org/aop.events/2024",1
"Inhibition of Ceramide Synthase","https://identifiers.org/aop.events/2023","","false",NA,"https://identifiers.org/aop.events/2023",1
"Disruption, action potential","https://identifiers.org/aop.events/1983","","false",NA,"https://identifiers.org/aop.events/1983",1
"Disruption of sodium channel gating kinetics","https://identifiers.org/aop.events/1977","","false",NA,"https://identifiers.org/aop.events/1977",1
"Premature cell differentiation","https://identifiers.org/aop.events/1979","","false",NA,"https://identifiers.org/aop.events/1979",1
"Increase risk, microcephaly","https://identifiers.org/aop.events/1978","","false",NA,"https://identifiers.org/aop.events/1978",1
"Increase, Apoptosis","https://identifiers.org/aop.events/1365","","false",NA,"https://identifiers.org/aop.events/1365",1
"Activation of Tumor Protein 53","https://identifiers.org/aop.events/1974","","false",NA,"https://identifiers.org/aop.events/1974",1
"Increase, DNA damage","https://identifiers.org/aop.events/1194","","false",NA,"https://identifiers.org/aop.events/1194",1
"Hyperphosphorylation of Tau","https://identifiers.org/aop.events/1943","","false",NA,"https://identifiers.org/aop.events/1943",1
"Accumulation, Cytosolic toxic Tau oligomers","https://identifiers.org/aop.events/1942","","false",NA,"https://identifiers.org/aop.events/1942",1
"Dysfunctional Autophagy","https://identifiers.org/aop.events/1945","","false",NA,"https://identifiers.org/aop.events/1945",1
"Memory Loss","https://identifiers.org/aop.events/1941","","false",NA,"https://identifiers.org/aop.events/1941",1
"Mitochondrial dysfunction","https://identifiers.org/aop.events/1816","","false",NA,"https://identifiers.org/aop.events/1816",1
"Increased Cholinergic Signaling","https://identifiers.org/aop.events/39","","false",NA,"https://identifiers.org/aop.events/39",1
"Synaptic dysfunction","https://identifiers.org/aop.events/1944","","false",NA,"https://identifiers.org/aop.events/1944",1
"Loss of drebrin","https://identifiers.org/aop.events/2078","","false",NA,"https://identifiers.org/aop.events/2078",1
"Increase, Neural Remodeling","https://identifiers.org/aop.events/2098","","false",NA,"https://identifiers.org/aop.events/2098",1
"Increase, Pro-Inflammatory Mediators","https://identifiers.org/aop.events/2097","","false",NA,"https://identifiers.org/aop.events/2097",1
"Altered Signaling Pathways","https://identifiers.org/aop.events/2066","","false",NA,"https://identifiers.org/aop.events/2066",1
"Deposition of Energy","https://identifiers.org/aop.events/1686","","false",NA,"https://identifiers.org/aop.events/1686",1
"Increase, DNA strand breaks","https://identifiers.org/aop.events/1635","","false",NA,"https://identifiers.org/aop.events/1635",1
"Altered, Neurophysiology","https://identifiers.org/aop.events/192","","false",NA,"https://identifiers.org/aop.events/192",1
"Altered, Neuroanatomy","https://identifiers.org/aop.events/186","","false",NA,"https://identifiers.org/aop.events/186",1
"Decrease of GABAergic interneurons","https://identifiers.org/aop.events/851","","false",NA,"https://identifiers.org/aop.events/851",1
"Binding of agonist, Ionotropic glutamate receptors","https://identifiers.org/aop.events/875","","false",NA,"https://identifiers.org/aop.events/875",1
"Decreased, Neuronal network function in adult brain","https://identifiers.org/aop.events/618","","false",NA,"https://identifiers.org/aop.events/618",1
"Thyroperoxidase, Inhibition","https://identifiers.org/aop.events/279","","false",NA,"https://identifiers.org/aop.events/279",1
