PathwayID	PathwayTitle	Identifier	name	Ensembl	NodeIDType	CNVassociated	NodeID
WP5346	8p23.1 copy number variation syndrome	ENSG00000255394	C8orf49	ENSG00000255394	ensembl	1	ENSG00000255394
WP5346	8p23.1 copy number variation syndrome	ENSG00000164362	TERT	ENSG00000164362	ensembl	1	ENSG00000164362
WP3584	MECP2 and associated Rett syndrome	ENSG00000089280	FUS	ENSG00000089280	ensembl	0	ENSG00000089280
WP5346	8p23.1 copy number variation syndrome	CHEBI:136412	5'-end 5'-monophospho- 2'-deoxyribonucleoside-DNA		chebi	1	CHEBI:136412
WP5398	NRXN1 deletion syndrome	ENSG00000198785	GRIN3A	ENSG00000198785	ensembl	0	ENSG00000198785
WP4906	3q29 copy number variation syndrome	ENSG00000235897	TM4SF19-AS1	ENSG00000235897	ensembl	1	ENSG00000235897
WP4932	7q11.23 copy number variation syndrome	ENSG00000094631	HDAC6	ENSG00000094631	ensembl	1	ENSG00000094631
WP4222	Phosphodiesterases in neuronal function	CHEBI:37565	GTP, GTP(4 - )		chebi	0	CHEBI:37565
WP2781	Signaling by ERBB4	R-HSA-1236393	NRGs/EGF-like ligands:ERBB4		reactome	0	R-HSA-1236393
WP5406	13q12.12 copy number variation	ENSG00000173402	DAG1, DAG1-a	ENSG00000173402	ensembl	1	ENSG00000173402
WP4657	22q11.2 copy number variation syndrome	ENSG00000100401	RANGAP1	ENSG00000100401	ensembl	1	ENSG00000100401
WP2781	Signaling by ERBB4	R-HSA-9612640	NRG2:p-ERBB4 homodimers:GABRA1 heteropentamers:GABA		reactome	0	R-HSA-9612640
WP5408	15q25 copy number variation	ENSG00000103942	HOMER2	ENSG00000103942	ensembl	1	ENSG00000103942
WP5408	15q25 copy number variation	ENSG00000156232	WHAMM	ENSG00000156232	ensembl	1	ENSG00000156232
WP4906	3q29 copy number variation syndrome	ENSG00000186198	SLC51B	ENSG00000186198	ensembl	1	ENSG00000186198
WP4932	7q11.23 copy number variation syndrome	CHEBI:9168	rapamycin		chebi	1	CHEBI:9168
WP5346	8p23.1 copy number variation syndrome	Q27132250	XAV939		wikidata	1	Q27132250
WP2781	Signaling by ERBB4	Q15303-1	ERBB4 JM-A CYT-1 isoform, ERBB4jmAcyt1ECD, ERBB4jmAcyt1m80, ERBB4jmAcyt1s80, p-Y1056,Y1188,Y1242-ERBB4 JM-A CYT-1 isoform		uniprot	0	Q15303-1
WP2781	Signaling by ERBB4	R-HSA-1253281	ERBB4/ERBB4m80/ERBB4s80		reactome	0	R-HSA-1253281
WP2781	Signaling by ERBB4	Q9NZ42	PSENEN	ENSG00000205155	uniprot	0	Q9NZ42
WP4942	15q13.3 copy number variation syndrome	ENSG00000103832	GOLGA8UP	ENSG00000103832	ensembl	1	ENSG00000103832
WP4222	Phosphodiesterases in neuronal function	HMDB0000058	Cyclic AMP, Cyclic AMP (cAMP), IP-activated  cAMP, cAMP		hmdb	0	HMDB0000058
WP2781	Signaling by ERBB4	P78352	DLG4, DLG4 PSD95, PSD-95, PSD95	ENSG00000132535	uniprot	0	P78352
WP3584	MECP2 and associated Rett syndrome	WP3585	Cytosine methylation		wikipathways	0	WP3585
WP2781	Signaling by ERBB4	R-HSA-442755	Activation of NMDA receptors and postsynaptic events		reactome	0	R-HSA-442755
WP4657	22q11.2 copy number variation syndrome	CHEBI:15422	ATP		chebi	1	CHEBI:15422
WP4905, WP4932, WP5346, WP5402	10q22q23 copy number variation, 1q21.1 copy number variation syndrome, 7q11.23 copy number variation syndrome, 8p23.1 copy number variation syndrome	WP428	Canonical  Wnt Signaling, Canonical Wnt signaling, WNT Signaling, WNT signaling, WNT signaling pathway, Wnt, Wnt Canonical Signaling, Wnt Pathway, Wnt Signaling, Wnt Signaling  Pathway, Wnt Signaling Pathway, Wnt pathway, Wnt signaling, Wnt signaling pathway		wikipathways	1	WP428
WP408	Oxidative stress response	CHEBI:26523	MtROS, ROS, ROS production, Reactive Oxygen  Species (ROS), Reactive Oxygen Species, Reactive Oxygen Species (ROS), Reactive oxygen species, reactive oxygen species		chebi	0	CHEBI:26523
WP5405	13q12 or CRYL1 copy number variation	CHEBI:16908	NADH		chebi	1	CHEBI:16908
WP4942	15q13.3 copy number variation syndrome	ENSG00000259448	LINC02352	ENSG00000259448	ensembl	1	ENSG00000259448
WP4932	7q11.23 copy number variation syndrome	ENSG00000049540	ELN	ENSG00000049540	ensembl	1	ENSG00000049540
WP2781	Signaling by ERBB4	ENSG00000117632	STMN, STMN1, STMN1 gene	ENSG00000117632	ensembl	0	ENSG00000117632
WP4932	7q11.23 copy number variation syndrome	ENSG00000167987	VPS37C	ENSG00000167987	ensembl	1	ENSG00000167987
WP4905	1q21.1 copy number variation syndrome	WP1980	Base Excision Repair, Nucleotide excision  repair		wikipathways	1	WP1980
WP5408	15q25 copy number variation	ENSG00000156222	SLC28A1	ENSG00000156222	ensembl	1	ENSG00000156222
WP3584	MECP2 and associated Rett syndrome	CHEBI:16523	D-Ser, D-serine		chebi	0	CHEBI:16523
WP3584, WP5407	15q11q13 copy number variation, MECP2 and associated Rett syndrome	ENSG00000169375	SIN3A	ENSG00000169375	ensembl	1	ENSG00000169375
WP4222	Phosphodiesterases in neuronal function	ENSG00000160191	PDE9A	ENSG00000160191	ensembl	0	ENSG00000160191
WP4905	1q21.1 copy number variation syndrome	ENSG00000125363	AMELX	ENSG00000125363	ensembl	1	ENSG00000125363
WP5412	8q11.23 (RB1CC1) copy number variation	ENSG00000141580	WDR45B	ENSG00000141580	ensembl	1	ENSG00000141580
WP4905	1q21.1 copy number variation syndrome	ENSG00000116128	BCL9	ENSG00000116128	ensembl	1	ENSG00000116128
WP4657, WP4905	1q21.1 copy number variation syndrome, 22q11.2 copy number variation syndrome	WP1591	Heart development		wikipathways	1	WP1591
WP408	Oxidative stress response	7498	XDH, Xantine oxidase	ENSG00000158125	ncbigene	0	7498
WP5408	15q25 copy number variation	ENSG00000136404	TM6SF1	ENSG00000136404	ensembl	1	ENSG00000136404
WP4905	1q21.1 copy number variation syndrome	CHEBI:75757	1-(9Z-octadecenoyl)-sn-glycerol		chebi	1	CHEBI:75757
WP4222	Phosphodiesterases in neuronal function	HMDB0000464	CA2+, Ca, Ca 2+, Ca++, Ca2+, Calcium, [Ca2+]mito		hmdb	0	HMDB0000464
WP4657	22q11.2 copy number variation syndrome	MI0006443	hsa-mir-1306	ENSG00000284464	mirbase	1	MI0006443
WP5407	15q11q13 copy number variation	CHEBI:27363	Zn2+, zinc		chebi	1	CHEBI:27363
WP5408	15q25 copy number variation	ENSG00000168959	GRM5	ENSG00000168959	ensembl	1	ENSG00000168959
WP4657	22q11.2 copy number variation syndrome	ENSG00000215544	BCRP7	ENSG00000215544	ensembl	1	ENSG00000215544
WP4942	15q13.3 copy number variation syndrome	ENSG00000206972	RNU6-17P	ENSG00000206972	ensembl	1	ENSG00000206972
WP5402	10q22q23 copy number variation	ENSG00000151224	MAT1A	ENSG00000151224	ensembl	1	ENSG00000151224
WP4657	22q11.2 copy number variation syndrome	ENSG00000213639	MLCP, PPP1CB	ENSG00000213639	ensembl	1	ENSG00000213639
WP4657	22q11.2 copy number variation syndrome	CHEBI:133748	citrate		chebi	1	CHEBI:133748
WP5406	13q12.12 copy number variation	ENSG00000169783	LINGO1	ENSG00000169783	ensembl	1	ENSG00000169783
WP4932	7q11.23 copy number variation syndrome	CHEBI:17996	Cl-, chloride		chebi	1	CHEBI:17996
WP4222	Phosphodiesterases in neuronal function	ENSG00000065989	PDE4A	ENSG00000065989	ensembl	0	ENSG00000065989
WP4906	3q29 copy number variation syndrome	ENSG00000264364	DYNLL2	ENSG00000264364	ensembl	1	ENSG00000264364
WP2781	Signaling by ERBB4	R-HSA-1973959	ERBB4jmAcyt1s80:NEDD4		reactome	0	R-HSA-1973959
WP2781	Signaling by ERBB4	Q15303-2	ERBB4 JM-B CYT-1 isoform, p-Y1046,Y1178,Y1232-ERBB4 JM-B CYT-1 isoform		uniprot	0	Q15303-2
