"CNVassociated","disgenet_curated","Ensembl","Entrez_gene","fromDisGeNET","fromPublication","fromWikiPathways","gdascore","gLayCluster","HGNCsymbol","name","name.copy","PathwayID","Publication.doi","selected","shared name","snpID","WPNodeID","WPNodeIDType"
,"PSYGENET","ENSG00000171885","361","1",,,"0.33","1","AQP4","AQP4","AQP4",,,"false","AQP4",,,
,"PSYGENET","ENSG00000232307","282706","1",,,"0.4","2","DAOA-AS1","DAOA-AS1","DAOA-AS1",,,"false","DAOA-AS1",,,
,"CTD_human","ENSG00000274121","27184","1",,,"0.5","3",,"DISC2","DISC2",,,"false","DISC2",,,
,"PSYGENET","ENSG00000164616","26223","1",,,"0.31","4","FBXL21P","FBXL21P","FBXL21P",,,"false","FBXL21P",,,
,"PSYGENET","ENSG00000277656","2952","1",,,"0.38","5",,"GSTT1","GSTT1",,,"false","GSTT1",,,
,"PSYGENET","ENSG00000099984","2953","1",,"1","0.31","6","GSTT2","GSTT2","GSTT2","WP408",,"false","GSTT2",,"2953","ncbigene"
,"PSYGENET","ENSG00000204622","3137","1",,,"0.31","7","HLA-J","HLA-J","HLA-J",,,"false","HLA-J",,,
,"PSYGENET","ENSG00000226790","10151","1",,,"0.31","8","HNRNPA3P1","HNRNPA3P1","HNRNPA3P1",,,"false","HNRNPA3P1",,,
,"PSYGENET","ENSG00000231028","100131814","1",,,"0.33","9","AHI1-DT","LINC00271","LINC00271",,,"false","LINC00271",,,
,"PSYGENET","ENSG00000014641","4190","1",,,"0.32","10","MDH1","MDH1","MDH1",,,"false","MDH1",,,
,"PSYGENET","ENSG00000198997","406901","1",,,"0.31","11","MIR107","MIR107","MIR107",,,"false","MIR107",,,
,"CTD_human","ENSG00000284202","406928","1",,,"0.4","12","MIR137","MIR137","MIR137",,,"false","MIR137",,,
,"PSYGENET","ENSG00000225206","400765","1",,,"0.46","13","MIR137HG","MIR137HG","MIR137HG",,,"false","MIR137HG",,,
,"PSYGENET","ENSG00000284536","406952","1",,,"0.32","14","MIR17","MIR17","MIR17",,,"false","MIR17",,,
,"PSYGENET","ENSG00000208023","406961","1",,,"0.31","15","MIR185","MIR185","MIR185",,,"false","MIR185",,,
,"PSYGENET","ENSG00000207604","406989","1",,,"0.33","16","MIR206","MIR206","MIR206",,,"false","MIR206",,,
,"PSYGENET","ENSG00000284185","407003","1",,,"0.3","17","MIR219A2","MIR219A2","MIR219A2",,,"false","MIR219A2",,,
,"PSYGENET","ENSG00000284247","100616452","1",,,"0.31","18","MIR2682","MIR2682","MIR2682",,,"false","MIR2682",,,
,"PSYGENET","ENSG00000198974","407034","1",,,"0.34","19","MIR30E","MIR30E","MIR30E",,,"false","MIR30E",,,
,"PSYGENET","ENSG00000199090","442900","1",,,"0.31","20","MIR326","MIR326","MIR326",,,"false","MIR326",,,
,"PSYGENET","ENSG00000207948","442901","1",,,"0.3","21","MIR328","MIR328","MIR328",,,"false","MIR328",,,
"1","PSYGENET","ENSG00000199104","442911","1",,"1","0.35","22","MIR346","MIR346","MIR346","WP5402",,"false","MIR346",,"ENSG00000199104","ensembl"
,"PSYGENET","ENSG00000283170","494331","1",,,"0.31","23","MIR382","MIR382","MIR382",,,"false","MIR382",,,
,"PSYGENET","ENSG00000272458","574451","1",,,"0.32","24","MIR432","MIR432","MIR432",,,"false","MIR432",,,
,"PSYGENET","ENSG00000284027","574456","1",,,"0.31","25","MIR497","MIR497","MIR497",,,"false","MIR497",,,
,"PSYGENET","ENSG00000181355","266553","1",,,"0.31","26","OFCC1","OFCC1","OFCC1",,,"false","OFCC1",,,
,"PSYGENET","ENSG00000291237","6648","1",,"1","0.4","27","SOD2","SOD2","SOD2","WP408",,"false","SOD2",,"6648","ncbigene"
