"CNVassociated","DisGeNETname","Ensembl","fromDisGeNET","fromPublication","fromSTRING","fromWikiPathways","gLayCluster","name","name.copy","Name2","PathwayID","Publication.doi","selected","shared name","snpID"
,"MDH1","ENSG00000014641","1",,,,"1","4190","4190","MDH1",,,"false","4190",
,"AQP4","ENSG00000171885","1",,,,"2","361","361","AQP4",,,"false","361",
,"VDR","ENSG00000111424","1",,,,"3","7421","7421","VDR",,,"false","7421",
,"LINC00271","ENSG00000231028","1",,,,"4","100131814","100131814","AHI1-DT",,,"false","100131814",
,"MIR130B","ENSG00000283871","1",,,,"5","406920","406920","MIR130B",,,"false","406920",
,"MIR206","ENSG00000207604","1",,,,"6","406989","406989","MIR206",,,"false","406989",
,"DAOA-AS1","ENSG00000232307","1",,,,"7","282706","282706","DAOA-AS1",,,"false","282706",
,"MIR30E","ENSG00000198974","1",,,,"8","407034","407034","MIR30E",,,"false","407034",
,"MIR107","ENSG00000198997","1",,,,"9","406901","406901","MIR107",,,"false","406901",
,"MIR328","ENSG00000207948","1",,,,"10","442901","442901","MIR328",,,"false","442901",
,"UGT1A3","ENSG00000288702","1",,,,"11","54659","54659","UGT1A3",,,"false","54659",
,"MIR137","ENSG00000284202","1",,,,"12","406928","406928","MIR137",,,"false","406928",
,"MIR17","ENSG00000284536","1",,,,"13","406952","406952","MIR17",,,"false","406952",
,"MIR219A2","ENSG00000284185","1",,,,"14","407003","407003","MIR219A2",,,"false","407003",
,"LINC02694","ENSG00000175779","1",,,,"15","400359","400359","LINC02694",,,"false","400359",
,"MIR497","ENSG00000284027","1",,,,"16","574456","574456","MIR497",,,"false","574456",
,"MIR382","ENSG00000283170","1",,,,"17","494331","494331","MIR382",,,"false","494331",
,"MIR137HG","ENSG00000225206","1",,,,"18","400765","400765","MIR137HG",,,"false","400765",
,"MIR326","ENSG00000199090","1",,,,"19","442900","442900","MIR326",,,"false","442900",
,"MIR185","ENSG00000208023","1",,,,"20","406961","406961","MIR185",,,"false","406961",
,"MIR2682","ENSG00000284247","1",,,,"21","100616452","100616452","MIR2682",,,"false","100616452",
,"MIR432","ENSG00000272458","1",,,,"22","574451","574451","MIR432",,,"false","574451",
"1",,"ENSG00000259448",,,,"1","23","LINC02352","LINC02352","LINC02352","WP4942",,"false","LINC02352",
"1",,"ENSG00000184608",,,,"1","24","C8orf12","C8orf12","FAM167A-AS1","WP5346",,"false","C8orf12",
,,"ENSG00000123201",,,,"1","25","GUCY1B2, sGC","GUCY1B2, sGC","GUCY1B2","WP4222",,"false","GUCY1B2, sGC",
"1",,"ENSG00000252713",,,,"1","26","RNU6-1198P","RNU6-1198P","RNU6-1198P","WP4932",,"false","RNU6-1198P",
"1",,"ENSG00000237476",,,,"1","27","LINC01637","LINC01637","LINC01637","WP4657",,"false","LINC01637",
"1",,"ENSG00000180867",,,,"1","28","PDIA3P1","PDIA3P1","PDIA3P1","WP4905",,"false","PDIA3P1",
"1",,"ENSG00000252174",,,,"1","29","RNU7-18P","RNU7-18P","RNU7-18P","WP4906",,"false","RNU7-18P",
,"GPX1","ENSG00000233276","1",,,"1","30","2876;GPX 1, GPX1","GPX 1, GPX1","GPX1","WP408",,"false","2876;GPX 1, GPX1",
"1",,"ENSG00000243339",,,,"1","31","RN7SL738P","RN7SL738P","RN7SL738P","WP4906",,"false","RN7SL738P",
"1",,"ENSG00000206644",,,,"1","32","RNU6-1279P","RNU6-1279P","RNU6-1279P","WP4906",,"false","RNU6-1279P",
"1",,"ENSG00000207343",,,,"1","33","RNU6-225P","RNU6-225P","RNU6-225P","WP4657",,"false","RNU6-225P",
"1",,"ENSG00000273331",,,,"1","34","TM4SF19-TCTEX1D2","TM4SF19-TCTEX1D2","TM4SF19-DYNLT2B","WP4906",,"false","TM4SF19-TCTEX1D2",
"1",,"ENSG00000207741",,,,"1","35","MIR590","MIR590","MIR590","WP4932",,"false","MIR590",
"1",,"ENSG00000249680",,,,"1","36","TUBA3GP","TUBA3GP","TUBA3GP","WP4657",,"false","TUBA3GP",
"1",,"ENSG00000224652",,,,"1","37","LINC00885","LINC00885","LINC00885","WP4906",,"false","LINC00885",
"1",,"ENSG00000260924",,,,"1","38","LINC01311","LINC01311","LINC01311","WP4657",,"false","LINC01311",
"1",,"ENSG00000227375",,,,"1","39","DLG1-AS1","DLG1-AS1","DLG1-AS1","WP4906",,"false","DLG1-AS1",
"1",,"ENSG00000212526",,,,"1","40","RNU6-466P","RNU6-466P","RNU6-466P","WP4942",,"false","RNU6-466P",
"1",,"ENSG00000260128",,,,"1","41","ULK4P2","ULK4P2","ULK4P2","WP4942",,"false","ULK4P2",
"1",,"ENSG00000278278",,,,"1","42","hsa-mir-6816","hsa-mir-6816","MIR6816","WP4657",,"false","hsa-mir-6816",
"1",,"ENSG00000232065",,,,"1","43","LINC01063","LINC01063","LINC01063","WP4906",,"false","LINC01063",
"1",,"ENSG00000206892",,,,"1","44","RNU6-42P","RNU6-42P","RNU6-42P","WP4906",,"false","RNU6-42P",
"1",,"ENSG00000223553",,,,"1","45","SMPD4P1","SMPD4P1","SMPD4P1","WP4657",,"false","SMPD4P1",
"1",,"ENSG00000227893",,,,"1","46","LINC00352","LINC00352","LINC00352","WP5406",,"false","LINC00352",
"1",,"ENSG00000226653",,,,"1","47","OR13Z1P","OR13Z1P","OR13Z1P","WP4905",,"false","OR13Z1P",
"1",,"ENSG00000228109",,,,"1","48","MELTF-AS1","MELTF-AS1","MELTF-AS1","WP4906",,"false","MELTF-AS1",
"1",,"ENSG00000235062",,,,"1","49","BCRP5","BCRP5","BCRP5","WP4657",,"false","BCRP5",
"1",,"ENSG00000236499",,,,"1","50","LINC00896","LINC00896","LINC00896","WP4657",,"false","LINC00896",
"1",,"ENSG00000273032",,,,"1","51","DGCR9","DGCR9","DGCR5","WP4657",,"false","DGCR9",
"1",,"ENSG00000276427",,,,"1","52","IGLL4P","IGLL4P","IGLL4P","WP4657",,"false","IGLL4P",
"1",,"ENSG00000273164",,,,"1","53","DGCR10","DGCR10",,"WP4657",,"false","DGCR10",
"1",,"ENSG00000277467",,,,"1","54","RN7SL628P","RN7SL628P","RN7SL628P","WP4942",,"false","RN7SL628P",
"1",,"ENSG00000225770",,,,"1","55","RPS29P3","RPS29P3","RPS29P3","WP4906",,"false","RPS29P3",
"1",,"ENSG00000242876",,,,"1","56","RN7SL812P","RN7SL812P","RN7SL812P","WP4657",,"false","RN7SL812P",
"1",,"ENSG00000272443",,,,"1","57","OR13Z2P","OR13Z2P","OR13Z2P","WP4905",,"false","OR13Z2P",
"1",,"ENSG00000233471",,,,"1","58","KRT18P62","KRT18P62","KRT18P62","WP4657",,"false","KRT18P62",
"1",,"ENSG00000185485",,,,"1","59","SDHAP1","SDHAP1","SDHAP1","WP4906",,"false","SDHAP1",
"1",,"ENSG00000241709",,,,"1","60","RN7SL265P","RN7SL265P","RN7SL265P","WP4932",,"false","RN7SL265P",
"1",,"ENSG00000206709",,,,"1","61","RNU6-1080P","RNU6-1080P","RNU6-1080P","WP4932",,"false","RNU6-1080P",
"1",,"ENSG00000272359",,,,"1","62","RNU4-89P","RNU4-89P","RNU4-89P","WP4906",,"false","RNU4-89P",
"1",,"ENSG00000241868",,,,"1","63","RN7SL434P","RN7SL434P","RN7SL434P","WP4906",,"false","RN7SL434P",
"1",,"ENSG00000277072",,,,"1","64","STAG3L2","STAG3L2","STAG3L2","WP4932",,"false","STAG3L2",
"1",,"ENSG00000182824",,,,"1","65","FAM230E","FAM230E","FAM230E","WP4657",,"false","FAM230E",
"1",,"ENSG00000252695",,,,"1","66","MIR2276","MIR2276","MIR2276","WP5406",,"false","MIR2276",
"1",,"ENSG00000226287",,,,"1","67","TMEM191A","TMEM191A","TMEM191A","WP4657",,"false","TMEM191A",
"1",,"ENSG00000265850",,,,"1","68","hsa-mir-4797","hsa-mir-4797","MIR4797","WP4906",,"false","hsa-mir-4797",
"1",,"ENSG00000206145",,,,"1","69","P2RX6P","P2RX6P","P2RX6P","WP4657",,"false","P2RX6P",
"1",,"ENSG00000188280",,,,"1","70","FAM230G","FAM230G","FAM230G","WP4657",,"false","FAM230G",
"1",,"ENSG00000272480",,,,"1","71","OR13Z3P","OR13Z3P","OR13Z3P","WP4905",,"false","OR13Z3P",
"1",,"ENSG00000229483",,,,"1","72","LINC00362","LINC00362","LINC00362","WP5406",,"false","LINC00362",
"1",,"ENSG00000276172",,,,"1","73","ELMO2P1","ELMO2P1","ELMO2P1","WP4940",,"false","ELMO2P1",
"1",,"ENSG00000225578",,,,"1","74","NCBP2-AS1","NCBP2-AS1","NCBP2-AS1","WP4906",,"false","NCBP2-AS1",
"1","VEGFA","ENSG00000112715","1",,,"1","75","7422;ENSG00000112715;VEGF, VEGFA","VEGF, VEGFA","VEGFA","WP5402",,"false","7422;ENSG00000112715;VEGF, VEGFA",
"1",,"ENSG00000227242",,,,"1","76","NBPF13P","NBPF13P",,"WP4905",,"false","NBPF13P",
"1",,"ENSG00000224614",,,,"1","77","TNK2-AS1","TNK2-AS1","TNK2-AS1","WP4906",,"false","TNK2-AS1",
"1",,"ENSG00000273311",,,,"1","78","DGCR11","DGCR11","DGCR11","WP4657",,"false","DGCR11",
"1",,"ENSG00000207257",,,,"1","79","RNU6-18P","RNU6-18P","RNU6-18P","WP4942",,"false","RNU6-18P",
"1",,"ENSG00000217261",,,,"1","80","POM121L4P","POM121L4P","POM121L4P","WP4657",,"false","POM121L4P",
"1",,"ENSG00000207702",,,,"1","81","MIR211","MIR211","MIR211","WP5407",,"false","MIR211",
