PWID	Pathwaytitle	geneProduct	genename	ensembl	types
WP4932	7q11.23 copy number variation syndrome	CHEBI:16865	GABA [extracellular region]		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4906	3q29 copy number variation syndrome	ENSG00000072274	TFRC	ENSG00000072274	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Rna
WP4657	22q11.2 copy number variation syndrome	ENSG00000180198	RCC1	ENSG00000180198	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5402	10q22q23 copy number variation	WP428	WNT signaling pathway		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP4222	Phosphodiesterases in neuronal function	ENSG00000123201	GUCY1B2	ENSG00000123201	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4932	7q11.23 copy number variation syndrome	ENSG00000159199	ATP5MC1	ENSG00000159199	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP2781	Signaling by ERBB4	P0CG48	UBC(457-532)	ENSG00000150991	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP2781	Signaling by ERBB4	P0CG47	adenylatedG152-UBB(77-152)	ENSG00000170315	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Protein
WP5412	8q11.23 (RB1CC1) copy number variation	ENSG00000232810	TNF	ENSG00000232810	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4222	Phosphodiesterases in neuronal function	ENSG00000072062	PRKACA	ENSG00000072062	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4905	1q21.1 copy number variation syndrome	WP428	Wnt pathway		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP4932	7q11.23 copy number variation syndrome	WP1812	Eukaryotic Translation Initiation		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP5407	15q11q13 copy number variation	CHEBI:14321	glutamate		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4906	3q29 copy number variation syndrome	ENSG00000265850	hsa-mir-4797	ENSG00000265850	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Rna
WP4906	3q29 copy number variation syndrome	ENSG00000126561	STAT5A	ENSG00000126561	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5407	15q11q13 copy number variation	CHEBI:49786	Ni2+		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4906	3q29 copy number variation syndrome	CHEBI:37563	CTP4−		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5402	10q22q23 copy number variation	ENSG00000154165	GPR15	ENSG00000154165	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP3584	MECP2 and associated Rett syndrome	ENSG00000017427	insulin/IGF1	ENSG00000017427	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5346	8p23.1 copy number variation syndrome	WP428	Wnt Canonical Signaling		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP4932	7q11.23 copy number variation syndrome	CHEBI:15414	SAM		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5406	13q12.12 copy number variation	ENSG00000050748	MAPK9	ENSG00000050748	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4657	22q11.2 copy number variation syndrome	ENSG00000072310	nSREBP	ENSG00000072310	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4906	3q29 copy number variation syndrome	CHEBI:83421	O-phospho-L-serine(2−) residue		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4657	22q11.2 copy number variation syndrome	ENSG00000164690	SHH	ENSG00000164690	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5346	8p23.1 copy number variation syndrome	ENSG00000163623	NKX6-1	ENSG00000163623	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4906	3q29 copy number variation syndrome	ENSG00000142208	PKB/AKT	ENSG00000142208	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4942	15q13.3 copy number variation syndrome	ENSG00000278696	RN7SL82P	ENSG00000278696	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4932	7q11.23 copy number variation syndrome	WP78	TCA (Krebs) cycle		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP4657	22q11.2 copy number variation syndrome	ENSG00000159251	ACTC1	ENSG00000159251	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4222	Phosphodiesterases in neuronal function	HMDB0000058	Cyclic AMP		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4905	1q21.1 copy number variation syndrome	ENSG00000104067	TJP1	ENSG00000104067	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5346	8p23.1 copy number variation syndrome	ENSG00000205883	DEFB135	ENSG00000205883	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4222	Phosphodiesterases in neuronal function	ENSG00000162104	ADCY9	ENSG00000162104	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5407	15q11q13 copy number variation	CHEBI:29108	Ca+2		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4657	22q11.2 copy number variation syndrome	ENSG00000072310	SREBP1a-c	ENSG00000072310	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP5402	10q22q23 copy number variation	CHEBI:57844	Methionine		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5407	15q11q13 copy number variation	ENSG00000134160	TRPM1	ENSG00000134160	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5402	10q22q23 copy number variation	ENSG00000112715	VEGFA	ENSG00000112715	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4905	1q21.1 copy number variation syndrome	ENSG00000162409	AMPK	ENSG00000162409	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP5402	10q22q23 copy number variation	CHEBI:59789	SAMe		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4657	22q11.2 copy number variation syndrome	ENSG00000181856	SLC2A4 gene (GLUT4 gene)	ENSG00000181856	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP5346	8p23.1 copy number variation syndrome	ENSG00000144381	HSPD1 gene	ENSG00000144381	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5402	10q22q23 copy number variation	ENSG00000120659	TNFSF11	ENSG00000120659	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP2781	Signaling by ERBB4	P03372	ESR1	ENSG00000091831	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Protein
WP4906	3q29 copy number variation syndrome	http://rdf.wikipathways.org/Pathway/WP4906_r123416/Complex/db541	Nuclear cap-
binding complex		http://vocabularies.wikipathways.org/wp#Complex|http://vocabularies.wikipathways.org/wp#DataNode
WP4222	Phosphodiesterases in neuronal function	ENSG00000070808	CaMK2	ENSG00000070808	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein|http://vocabularies.wikipathways.org/wp#Rna
WP2781	Signaling by ERBB4	P01112	HRAS	ENSG00000174775	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Protein
WP2781	Signaling by ERBB4	R-HSA-1253347	ERBB4s80:YAP1		http://vocabularies.wikipathways.org/wp#Complex|http://vocabularies.wikipathways.org/wp#DataNode
WP5408	15q25 copy number variation	WP4424	G alpha (q) signaling events		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP4875	Disruption of postsynaptic signaling by CNV	CHEBI:29108	Calcium		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4657	22q11.2 copy number variation syndrome	WP1823	GP1b-IX-V activation signalling		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
