"CNVassociated","Ensembl","fromDisGeNET","fromPublication","fromWikiPathways","gLayCluster","HGNCsymbol","name","name.copy","PathwayID","Publication.doi","selected","shared name","snpID","WPNodeID","WPNodeIDType"
,"ENSG00000231200",,"1",,"1",,"AC068490.2","AC068490.2",,"10.1038/s41586-022-04434-5","false","AC068490.2","rs12712510",,
,"ENSG00000163016",,"1",,"2","ALMS1P1","ALMS1P","ALMS1P",,"10.1038/s41586-022-04434-5","false","ALMS1P","rs6546857",,
,"ENSG00000206129",,"1",,"3",,"CTD-2008L17.2","CTD-2008L17.2",,"10.1038/s41586-022-04434-5","false","CTD-2008L17.2","rs715170",,
,"ENSG00000262319",,"1",,"4",,"ENSG00000262319","ENSG00000262319",,"10.1038/s41586-022-04434-5","false","ENSG00000262319","rs959071",,
,"ENSG00000224924",,"1",,"5","LINC00320","LINC00320","LINC00320",,"10.1038/s41586-022-04434-5","false","LINC00320","rs459391",,
,"ENSG00000227676",,"1",,"6","LINC01068","LINC01068","LINC01068",,"10.1038/s41586-022-04434-5","false","LINC01068","rs9545047",,
,"ENSG00000249307",,"1",,"7","LINC01088","LINC01088","LINC01088",,"10.1038/s41586-022-04434-5","false","LINC01088","rs28454198",,
,"ENSG00000141140",,"1",,"8",,"MYO19","MYO19",,"10.1038/s41586-022-04434-5","false","MYO19","rs11263770",,
,"ENSG00000246560",,"1",,"9","UBE2D3-AS1","RP11-10L12.4","RP11-10L12.4",,"10.1038/s41586-022-04434-5","false","RP11-10L12.4","rs13107325",,
,"ENSG00000227603",,"1",,"10",,"RP11-165J3.6","RP11-165J3.6",,"10.1038/s41586-022-04434-5","false","RP11-165J3.6","rs6479487",,
,"ENSG00000234840",,"1",,"11","LINC01239","RP11-399D6.2","RP11-399D6.2",,"10.1038/s41586-022-04434-5","false","RP11-399D6.2","rs505061",,
,"ENSG00000259946",,"1",,"12",,"RP11-490G2.2","RP11-490G2.2",,"10.1038/s41586-022-04434-5","false","RP11-490G2.2","rs1198588",,
,"ENSG00000259616",,"1",,"13",,"RP11-507B12.2","RP11-507B12.2",,"10.1038/s41586-022-04434-5","false","RP11-507B12.2","rs35351411",,
,"ENSG00000272335",,"1",,"14",,"RP11-53O19.3","RP11-53O19.3",,"10.1038/s41586-022-04434-5","false","RP11-53O19.3","rs10035564",,
,"ENSG00000253553",,"1",,"15",,"RP11-586K2.1","RP11-586K2.1",,"10.1038/s41586-022-04434-5","false","RP11-586K2.1","rs1915019",,
"1","ENSG00000259448",,,"1","16","LINC02352","LINC02352","LINC02352","WP4942",,"false","LINC02352",,"ENSG00000259448","ensembl"
"1","ENSG00000184608",,,"1","17","FAM167A-AS1","C8orf12","C8orf12","WP5346",,"false","C8orf12",,"ENSG00000184608","ensembl"
,"ENSG00000123201",,,"1","18","GUCY1B2","GUCY1B2, sGC","GUCY1B2, sGC","WP4222",,"false","GUCY1B2, sGC",,"ENSG00000123201","ensembl"
"1","ENSG00000252713",,,"1","19","RNU6-1198P","RNU6-1198P","RNU6-1198P","WP4932",,"false","RNU6-1198P",,"ENSG00000252713","ensembl"
"1","ENSG00000237476",,,"1","20","LINC01637","LINC01637","LINC01637","WP4657",,"false","LINC01637",,"ENSG00000237476","ensembl"
"1","ENSG00000180867",,,"1","21","PDIA3P1","PDIA3P1","PDIA3P1","WP4905",,"false","PDIA3P1",,"ENSG00000180867","ensembl"
"1","ENSG00000252174",,,"1","22","RNU7-18P","RNU7-18P","RNU7-18P","WP4906",,"false","RNU7-18P",,"ENSG00000252174","ensembl"
,"ENSG00000233276",,,"1","23","GPX1","GPX 1, GPX1","GPX 1, GPX1","WP408",,"false","GPX 1, GPX1",,"2876","ncbigene"
"1","ENSG00000243339",,,"1","24","RN7SL738P","RN7SL738P","RN7SL738P","WP4906",,"false","RN7SL738P",,"ENSG00000243339","ensembl"
"1","ENSG00000206644",,,"1","25","RNU6-1279P","RNU6-1279P","RNU6-1279P","WP4906",,"false","RNU6-1279P",,"ENSG00000206644","ensembl"
"1","ENSG00000207343",,,"1","26","RNU6-225P","RNU6-225P","RNU6-225P","WP4657",,"false","RNU6-225P",,"ENSG00000207343","ensembl"
"1","ENSG00000273331",,,"1","27","TM4SF19-DYNLT2B","TM4SF19-TCTEX1D2","TM4SF19-TCTEX1D2","WP4906",,"false","TM4SF19-TCTEX1D2",,"ENSG00000273331","ensembl"
"1","ENSG00000207741",,,"1","28","MIR590","MIR590","MIR590","WP4932",,"false","MIR590",,"ENSG00000207741","ensembl"
"1","ENSG00000249680",,,"1","29","TUBA3GP","TUBA3GP","TUBA3GP","WP4657",,"false","TUBA3GP",,"ENSG00000249680","ensembl"
"1","ENSG00000224652",,,"1","30","LINC00885","LINC00885","LINC00885","WP4906",,"false","LINC00885",,"ENSG00000224652","ensembl"
"1","ENSG00000260924",,,"1","31","LINC01311","LINC01311","LINC01311","WP4657",,"false","LINC01311",,"ENSG00000260924","ensembl"
"1","ENSG00000227375",,,"1","32","DLG1-AS1","DLG1-AS1","DLG1-AS1","WP4906",,"false","DLG1-AS1",,"ENSG00000227375","ensembl"
"1","ENSG00000212526",,,"1","33","RNU6-466P","RNU6-466P","RNU6-466P","WP4942",,"false","RNU6-466P",,"ENSG00000212526","ensembl"
"1","ENSG00000260128",,,"1","34","ULK4P2","ULK4P2","ULK4P2","WP4942",,"false","ULK4P2",,"ENSG00000260128","ensembl"
"1","ENSG00000278278",,,"1","35","MIR6816","hsa-mir-6816","hsa-mir-6816","WP4657",,"false","hsa-mir-6816",,"MI0022661","mirbase"
"1","ENSG00000232065",,,"1","36","LINC01063","LINC01063","LINC01063","WP4906",,"false","LINC01063",,"ENSG00000232065","ensembl"
"1","ENSG00000206892",,,"1","37","RNU6-42P","RNU6-42P","RNU6-42P","WP4906",,"false","RNU6-42P",,"ENSG00000206892","ensembl"
"1","ENSG00000223553",,,"1","38","SMPD4P1","SMPD4P1","SMPD4P1","WP4657",,"false","SMPD4P1",,"ENSG00000223553","ensembl"
"1","ENSG00000227893",,,"1","39","LINC00352","LINC00352","LINC00352","WP5406",,"false","LINC00352",,"ENSG00000227893","ensembl"
"1","ENSG00000226653",,,"1","40","OR13Z1P","OR13Z1P","OR13Z1P","WP4905",,"false","OR13Z1P",,"ENSG00000226653","ensembl"
"1","ENSG00000228109",,,"1","41","MELTF-AS1","MELTF-AS1","MELTF-AS1","WP4906",,"false","MELTF-AS1",,"ENSG00000228109","ensembl"
"1","ENSG00000235062",,,"1","42","BCRP5","BCRP5","BCRP5","WP4657",,"false","BCRP5",,"ENSG00000235062","ensembl"
"1","ENSG00000236499",,,"1","43","LINC00896","LINC00896","LINC00896","WP4657",,"false","LINC00896",,"ENSG00000236499","ensembl"
"1","ENSG00000273032",,,"1","44","DGCR5","DGCR9","DGCR9","WP4657",,"false","DGCR9",,"ENSG00000273032","ensembl"
"1","ENSG00000276427",,,"1","45","IGLL4P","IGLL4P","IGLL4P","WP4657",,"false","IGLL4P",,"ENSG00000276427","ensembl"
"1","ENSG00000273164",,,"1","46",,"DGCR10","DGCR10","WP4657",,"false","DGCR10",,"ENSG00000273164","ensembl"
"1","ENSG00000277467",,,"1","47","RN7SL628P","RN7SL628P","RN7SL628P","WP4942",,"false","RN7SL628P",,"ENSG00000277467","ensembl"
"1","ENSG00000225770",,,"1","48","RPS29P3","RPS29P3","RPS29P3","WP4906",,"false","RPS29P3",,"ENSG00000225770","ensembl"
"1","ENSG00000242876",,,"1","49","RN7SL812P","RN7SL812P","RN7SL812P","WP4657",,"false","RN7SL812P",,"ENSG00000242876","ensembl"
"1","ENSG00000272443",,,"1","50","OR13Z2P","OR13Z2P","OR13Z2P","WP4905",,"false","OR13Z2P",,"ENSG00000272443","ensembl"
"1","ENSG00000233471",,,"1","51","KRT18P62","KRT18P62","KRT18P62","WP4657",,"false","KRT18P62",,"ENSG00000233471","ensembl"
"1","ENSG00000185485",,,"1","52","SDHAP1","SDHAP1","SDHAP1","WP4906",,"false","SDHAP1",,"ENSG00000185485","ensembl"
"1","ENSG00000241709",,,"1","53","RN7SL265P","RN7SL265P","RN7SL265P","WP4932",,"false","RN7SL265P",,"ENSG00000241709","ensembl"
"1","ENSG00000206709",,,"1","54","RNU6-1080P","RNU6-1080P","RNU6-1080P","WP4932",,"false","RNU6-1080P",,"ENSG00000206709","ensembl"
"1","ENSG00000272359",,,"1","55","RNU4-89P","RNU4-89P","RNU4-89P","WP4906",,"false","RNU4-89P",,"ENSG00000272359","ensembl"
"1","ENSG00000241868",,,"1","56","RN7SL434P","RN7SL434P","RN7SL434P","WP4906",,"false","RN7SL434P",,"ENSG00000241868","ensembl"
"1","ENSG00000277072",,,"1","57","STAG3L2","STAG3L2","STAG3L2","WP4932",,"false","STAG3L2",,"ENSG00000277072","ensembl"
"1","ENSG00000182824",,,"1","58","FAM230E","FAM230E","FAM230E","WP4657",,"false","FAM230E",,"ENSG00000182824","ensembl"
"1","ENSG00000252695",,,"1","59","MIR2276","MIR2276","MIR2276","WP5406",,"false","MIR2276",,"ENSG00000252695","ensembl"
"1","ENSG00000226287",,,"1","60","TMEM191A","TMEM191A","TMEM191A","WP4657",,"false","TMEM191A",,"ENSG00000226287","ensembl"
"1","ENSG00000265850",,,"1","61","MIR4797","hsa-mir-4797","hsa-mir-4797","WP4906",,"false","hsa-mir-4797",,"ENSG00000265850","ensembl"
"1","ENSG00000206145",,,"1","62","P2RX6P","P2RX6P","P2RX6P","WP4657",,"false","P2RX6P",,"ENSG00000206145","ensembl"
"1","ENSG00000188280",,,"1","63","FAM230G","FAM230G","FAM230G","WP4657",,"false","FAM230G",,"ENSG00000188280","ensembl"
"1","ENSG00000272480",,,"1","64","OR13Z3P","OR13Z3P","OR13Z3P","WP4905",,"false","OR13Z3P",,"ENSG00000272480","ensembl"
"1","ENSG00000229483",,,"1","65","LINC00362","LINC00362","LINC00362","WP5406",,"false","LINC00362",,"ENSG00000229483","ensembl"
"1","ENSG00000276172",,,"1","66","ELMO2P1","ELMO2P1","ELMO2P1","WP4940",,"false","ELMO2P1",,"ENSG00000276172","ensembl"
"1","ENSG00000225578",,,"1","67","NCBP2-AS1","NCBP2-AS1","NCBP2-AS1","WP4906",,"false","NCBP2-AS1",,"ENSG00000225578","ensembl"
"1","ENSG00000112715",,,"1","68","VEGFA","VEGF, VEGFA","ENSG00000112715;VEGF, VEGFA","WP5402",,"false","VEGF, VEGFA",,"ENSG00000112715","ensembl"
"1","ENSG00000227242",,,"1","69",,"NBPF13P","NBPF13P","WP4905",,"false","NBPF13P",,"ENSG00000227242","ensembl"
"1","ENSG00000224614",,,"1","70","TNK2-AS1","TNK2-AS1","TNK2-AS1","WP4906",,"false","TNK2-AS1",,"ENSG00000224614","ensembl"
"1","ENSG00000273311",,,"1","71","DGCR11","DGCR11","DGCR11","WP4657",,"false","DGCR11",,"ENSG00000273311","ensembl"
"1","ENSG00000207257",,,"1","72","RNU6-18P","RNU6-18P","RNU6-18P","WP4942",,"false","RNU6-18P",,"ENSG00000207257","ensembl"
"1","ENSG00000217261",,,"1","73","POM121L4P","POM121L4P","POM121L4P","WP4657",,"false","POM121L4P",,"ENSG00000217261","ensembl"
"1","ENSG00000207702",,,"1","74","MIR211","MIR211","MIR211","WP5407",,"false","MIR211",,"ENSG00000207702","ensembl"
"1","ENSG00000212146",,,"1","75","RNU6-910P","RNU6-910P","RNU6-910P","WP4906",,"false","RNU6-910P",,"ENSG00000212146","ensembl"
"1","ENSG00000206972",,,"1","76","RNU6-17P","RNU6-17P","RNU6-17P","WP4942",,"false","RNU6-17P",,"ENSG00000206972","ensembl"
"1","ENSG00000241527",,,"1","77","CA15P1","CA15P1","CA15P1","WP4657",,"false","CA15P1",,"ENSG00000241527","ensembl"
"1","ENSG00000244296",,,"1","78","RN7SL168P","RN7SL168P","RN7SL168P","WP4657",,"false","RN7SL168P",,"ENSG00000244296","ensembl"
"1","ENSG00000229107",,,"1","79","ABHD17AP4","ABHD17AP4","ABHD17AP4","WP4657",,"false","ABHD17AP4",,"ENSG00000229107","ensembl"
"1","ENSG00000215544",,,"1","80","BCRP7","BCRP7","BCRP7","WP4657",,"false","BCRP7",,"ENSG00000215544","ensembl"
"1","ENSG00000286172",,,"1","81","RNVU1-8","RNVU1-8","RNVU1-8","WP4905",,"false","RNVU1-8",,"ENSG00000286172","ensembl"
,"ENSG00000291237",,,"1","82","SOD2","SOD2","SOD2","WP408",,"false","SOD2",,"6648","ncbigene"
"1","ENSG00000263643",,,"1","83","MIR4515","MIR4515","MIR4515","WP5408",,"false","MIR4515",,"ENSG00000263643","ensembl"
"1","ENSG00000231086",,,"1","84","TSSK1A","TSSK1A","TSSK1A","WP4657",,"false","TSSK1A",,"ENSG00000231086","ensembl"
"1","ENSG00000284031",,,"1","85","MIR4761","hsa-mir-4761","hsa-mir-4761","WP4657",,"false","hsa-mir-4761",,"MI0017402","mirbase"
"1","ENSG00000259890",,,"1","86","DNM1P50","DNM1P50","DNM1P50","WP4942",,"false","DNM1P50",,"ENSG00000259890","ensembl"
"1","ENSG00000252538",,,"1","87",,"RNU6-1070P","RNU6-1070P","WP4932",,"false","RNU6-1070P",,"ENSG00000252538","ensembl"
"1","ENSG00000229404",,,"1","88","LINC00858","LINC00858","LINC00858","WP5402",,"false","LINC00858",,"ENSG00000229404","ensembl"
,"ENSG00000109339",,,"1","89","MAPK10","MAPK10","MAPK10","WP408",,"false","MAPK10",,"5602","ncbigene"
"1","ENSG00000103832",,,"1","90","GOLGA8UP","GOLGA8UP","GOLGA8UP","WP4942",,"false","GOLGA8UP",,"ENSG00000103832","ensembl"
"1","ENSG00000255394",,,"1","91",,"C8orf49","C8orf49","WP5346",,"false","C8orf49",,"ENSG00000255394","ensembl"
"1","ENSG00000239511",,,"1","92","POM121L7P","POM121L7P","POM121L7P","WP4657",,"false","POM121L7P",,"ENSG00000239511","ensembl"
"1","ENSG00000236806",,,"1","93","RPL7AP15","RPL7AP15","RPL7AP15","WP4905",,"false","RPL7AP15",,"ENSG00000236806","ensembl"
"1","ENSG00000237517",,,"1","94","CELSR1P1","DGCR5, LINC00037","DGCR5, LINC00037;ENSG00000237517","WP4657",,"false","DGCR5, LINC00037",,"ENSG00000237517","ensembl"
"1","ENSG00000239122",,,"1","95","RNU2-11P","RNU2-11P","RNU2-11P","WP4906",,"false","RNU2-11P",,"ENSG00000239122","ensembl"
,"ENSG00000099984",,,"1","96","GSTT2","GSTT2","GSTT2","WP408",,"false","GSTT2",,"2953","ncbigene"
"1","ENSG00000255156",,,"1","97","RNY1P9","RNY1P9","RNY1P9","WP4657",,"false","RNY1P9",,"ENSG00000255156","ensembl"
"1","ENSG00000238391",,,"1","98","RNA5SP233","RNA5SP233","RNA5SP233","WP4932",,"false","RNA5SP233",,"ENSG00000238391","ensembl"
"1","ENSG00000225822",,,"1","99","UBXN7-AS1","UBXN7-AS1","UBXN7-AS1","WP4906",,"false","UBXN7-AS1",,"ENSG00000225822","ensembl"
"1","ENSG00000278811",,,"1","100","LINC00624","LINC00624","LINC00624","WP4905",,"false","LINC00624",,"ENSG00000278811","ensembl"
,"ENSG00000082556",,,"1","101","OPRK1","OPRK1","OPRK1","WP3584",,"false","OPRK1",,"ENSG00000082556","ensembl"
"1","ENSG00000235897",,,"1","102","TM4SF19-AS1","TM4SF19-AS1","TM4SF19-AS1","WP4906",,"false","TM4SF19-AS1",,"ENSG00000235897","ensembl"
