Ensembl	KEid	AOPid
ENSG00000000005	https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/1494	https://identifiers.org/aop/152; https://identifiers.org/aop/144; https://identifiers.org/aop/293; https://identifiers.org/aop/294; https://identifiers.org/aop/494
ENSG00000000971	https://identifiers.org/aop.events/1854	https://identifiers.org/aop/319
ENSG00000001626	https://identifiers.org/aop.events/1906; https://identifiers.org/aop.events/1908; https://identifiers.org/aop.events/1907	https://identifiers.org/aop/424; https://identifiers.org/aop/411; https://identifiers.org/aop/424; https://identifiers.org/aop/425; https://identifiers.org/aop/424
ENSG00000002549	https://identifiers.org/aop.events/1493	https://identifiers.org/aop/144; https://identifiers.org/aop/17; https://identifiers.org/aop/293; https://identifiers.org/aop/294; https://identifiers.org/aop/377; https://identifiers.org/aop/38; https://identifiers.org/aop/432; https://identifiers.org/aop/470
ENSG00000002745	https://identifiers.org/aop.events/1754	https://identifiers.org/aop/298
ENSG00000003137	https://identifiers.org/aop.events/1881; https://identifiers.org/aop.events/1889	https://identifiers.org/aop/398; https://identifiers.org/aop/436; https://identifiers.org/aop/400
ENSG00000003402	https://identifiers.org/aop.events/2043	https://identifiers.org/aop/460; https://identifiers.org/aop/491; https://identifiers.org/aop/502
ENSG00000004399	https://identifiers.org/aop.events/1885	https://identifiers.org/aop/399
ENSG00000005022	https://identifiers.org/aop.events/424; https://identifiers.org/aop.events/425; https://identifiers.org/aop.events/280; https://identifiers.org/aop.events/1656; https://identifiers.org/aop.events/1101; https://identifiers.org/aop.events/281; https://identifiers.org/aop.events/1116; https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/958; https://identifiers.org/aop.events/957; https://identifiers.org/aop.events/959; https://identifiers.org/aop.events/277; https://identifiers.org/aop.events/756; https://identifiers.org/aop.events/279; https://identifiers.org/aop.events/1002; https://identifiers.org/aop.events/1003; https://identifiers.org/aop.events/1009; https://identifiers.org/aop.events/961	https://identifiers.org/aop/110; https://identifiers.org/aop/134; https://identifiers.org/aop/176; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/134; https://identifiers.org/aop/176; https://identifiers.org/aop/188; https://identifiers.org/aop/54; https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/8; https://identifiers.org/aop/300; https://identifiers.org/aop/485; https://identifiers.org/aop/525; https://identifiers.org/aop/175; https://identifiers.org/aop/176; https://identifiers.org/aop/188; https://identifiers.org/aop/189; https://identifiers.org/aop/190; https://identifiers.org/aop/191; https://identifiers.org/aop/192; https://identifiers.org/aop/193; https://identifiers.org/aop/194; https://identifiers.org/aop/366; https://identifiers.org/aop/367; https://identifiers.org/aop/110; https://identifiers.org/aop/119; https://identifiers.org/aop/128; https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/159; https://identifiers.org/aop/162; https://identifiers.org/aop/175; https://identifiers.org/aop/176; https://identifiers.org/aop/188; https://identifiers.org/aop/192; https://identifiers.org/aop/193; https://identifiers.org/aop/194; https://identifiers.org/aop/363; https://identifiers.org/aop/364; https://identifiers.org/aop/365; https://identifiers.org/aop/366; https://identifiers.org/aop/367; https://identifiers.org/aop/42; https://identifiers.org/aop/457; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/8; https://identifiers.org/aop/189; https://identifiers.org/aop/190; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/366; https://identifiers.org/aop/152; https://identifiers.org/aop/366; https://identifiers.org/aop/367; https://identifiers.org/aop/110; https://identifiers.org/aop/119; https://identifiers.org/aop/128; https://identifiers.org/aop/134; https://identifiers.org/aop/159; https://identifiers.org/aop/175; https://identifiers.org/aop/176; https://identifiers.org/aop/188; https://identifiers.org/aop/192; https://identifiers.org/aop/193; https://identifiers.org/aop/271; https://identifiers.org/aop/363; https://identifiers.org/aop/364; https://identifiers.org/aop/365; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/457; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/300; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/8; https://identifiers.org/aop/119; https://identifiers.org/aop/159; https://identifiers.org/aop/175; https://identifiers.org/aop/271; https://identifiers.org/aop/363; https://identifiers.org/aop/364; https://identifiers.org/aop/365; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/155; https://identifiers.org/aop/156; https://identifiers.org/aop/190; https://identifiers.org/aop/155; https://identifiers.org/aop/156; https://identifiers.org/aop/157; https://identifiers.org/aop/158; https://identifiers.org/aop/159; https://identifiers.org/aop/189; https://identifiers.org/aop/363; https://identifiers.org/aop/364; https://identifiers.org/aop/365; https://identifiers.org/aop/157; https://identifiers.org/aop/158; https://identifiers.org/aop/189; https://identifiers.org/aop/152; https://identifiers.org/aop/162; https://identifiers.org/aop/194; https://identifiers.org/aop/366; https://identifiers.org/aop/367; https://identifiers.org/aop/458; https://identifiers.org/aop/8
ENSG00000006062	https://identifiers.org/aop.events/1848	https://identifiers.org/aop/320; https://identifiers.org/aop/377
