KEid_source	KEEnsembl_target	KEid	KEtitle	Ensembl
https://identifiers.org/aop.events/1262	ENSG00000109320	https://identifiers.org/aop.events/1262	Apoptosis	ENSG00000109320
https://identifiers.org/aop.events/1262	ENSG00000077782	https://identifiers.org/aop.events/1262	Apoptosis	ENSG00000077782
https://identifiers.org/aop.events/1262	ENSG00000141510	https://identifiers.org/aop.events/1262	Apoptosis	ENSG00000141510
https://identifiers.org/aop.events/1488	ENSG00000176697	https://identifiers.org/aop.events/1488	Glutamate dyshomeostasis	ENSG00000176697
https://identifiers.org/aop.events/1488	ENSG00000168621	https://identifiers.org/aop.events/1488	Glutamate dyshomeostasis	ENSG00000168621
https://identifiers.org/aop.events/1488	ENSG00000086730	https://identifiers.org/aop.events/1488	Glutamate dyshomeostasis	ENSG00000086730
https://identifiers.org/aop.events/1492	ENSG00000232810	https://identifiers.org/aop.events/1492	Tissue resident cell activation	ENSG00000232810
https://identifiers.org/aop.events/1492	ENSG00000108691	https://identifiers.org/aop.events/1492	Tissue resident cell activation	ENSG00000108691
https://identifiers.org/aop.events/1492	ENSG00000123384	https://identifiers.org/aop.events/1492	Tissue resident cell activation	ENSG00000123384
https://identifiers.org/aop.events/1492	ENSG00000150782	https://identifiers.org/aop.events/1492	Tissue resident cell activation	ENSG00000150782
https://identifiers.org/aop.events/1492	ENSG00000136869	https://identifiers.org/aop.events/1492	Tissue resident cell activation	ENSG00000136869
https://identifiers.org/aop.events/1492	ENSG00000137462	https://identifiers.org/aop.events/1492	Tissue resident cell activation	ENSG00000137462
https://identifiers.org/aop.events/1492	ENSG00000136244	https://identifiers.org/aop.events/1492	Tissue resident cell activation	ENSG00000136244
https://identifiers.org/aop.events/1492	ENSG00000113520	https://identifiers.org/aop.events/1492	Tissue resident cell activation	ENSG00000113520
https://identifiers.org/aop.events/1492	ENSG00000164400	https://identifiers.org/aop.events/1492	Tissue resident cell activation	ENSG00000164400
https://identifiers.org/aop.events/1493	ENSG00000163599	https://identifiers.org/aop.events/1493	Increased Pro-inflammatory mediators	ENSG00000163599
https://identifiers.org/aop.events/1493	ENSG00000108691	https://identifiers.org/aop.events/1493	Increased Pro-inflammatory mediators	ENSG00000108691
https://identifiers.org/aop.events/1493	ENSG00000109471	https://identifiers.org/aop.events/1493	Increased Pro-inflammatory mediators	ENSG00000109471
https://identifiers.org/aop.events/1493	ENSG00000136244	https://identifiers.org/aop.events/1493	Increased Pro-inflammatory mediators	ENSG00000136244
https://identifiers.org/aop.events/1493	ENSG00000113520	https://identifiers.org/aop.events/1493	Increased Pro-inflammatory mediators	ENSG00000113520
https://identifiers.org/aop.events/1513	ENSG00000171791	https://identifiers.org/aop.events/1513	General Apoptosis	ENSG00000171791
https://identifiers.org/aop.events/1513	ENSG00000107643	https://identifiers.org/aop.events/1513	General Apoptosis	ENSG00000107643
https://identifiers.org/aop.events/1513	ENSG00000141510	https://identifiers.org/aop.events/1513	General Apoptosis	ENSG00000141510
https://identifiers.org/aop.events/1825	ENSG00000136869	https://identifiers.org/aop.events/1825	Increase, Cell death	ENSG00000136869
https://identifiers.org/aop.events/1825	ENSG00000067182	https://identifiers.org/aop.events/1825	Increase, Cell death	ENSG00000067182
https://identifiers.org/aop.events/1825	ENSG00000164342	https://identifiers.org/aop.events/1825	Increase, Cell death	ENSG00000164342
https://identifiers.org/aop.events/188	ENSG00000232810	https://identifiers.org/aop.events/188	Neuroinflammation	ENSG00000232810
https://identifiers.org/aop.events/188	ENSG00000136244	https://identifiers.org/aop.events/188	Neuroinflammation	ENSG00000136244
https://identifiers.org/aop.events/188	ENSG00000113520	https://identifiers.org/aop.events/188	Neuroinflammation	ENSG00000113520
https://identifiers.org/aop.events/381	ENSG00000121879	https://identifiers.org/aop.events/381	Reduced levels of BDNF	ENSG00000121879
https://identifiers.org/aop.events/381	ENSG00000176697	https://identifiers.org/aop.events/381	Reduced levels of BDNF	ENSG00000176697
https://identifiers.org/aop.events/381	ENSG00000067560	https://identifiers.org/aop.events/381	Reduced levels of BDNF	ENSG00000067560
https://identifiers.org/aop.events/381	ENSG00000028137	https://identifiers.org/aop.events/381	Reduced levels of BDNF	ENSG00000028137
https://identifiers.org/aop.events/381	ENSG00000064300	https://identifiers.org/aop.events/381	Reduced levels of BDNF	ENSG00000064300
https://identifiers.org/aop.events/55	ENSG00000232810	https://identifiers.org/aop.events/55	Cell injury/death	ENSG00000232810
https://identifiers.org/aop.events/55	ENSG00000171791	https://identifiers.org/aop.events/55	Cell injury/death	ENSG00000171791
https://identifiers.org/aop.events/55	ENSG00000089250	https://identifiers.org/aop.events/55	Cell injury/death	ENSG00000089250
https://identifiers.org/aop.events/851	ENSG00000064651	https://identifiers.org/aop.events/851	Decrease of GABAergic interneurons	ENSG00000064651
https://identifiers.org/aop.events/851	ENSG00000146469	https://identifiers.org/aop.events/851	Decrease of GABAergic interneurons	ENSG00000146469
https://identifiers.org/aop.events/851	ENSG00000157005	https://identifiers.org/aop.events/851	Decrease of GABAergic interneurons	ENSG00000157005
https://identifiers.org/aop.events/851	ENSG00000100362	https://identifiers.org/aop.events/851	Decrease of GABAergic interneurons	ENSG00000100362
https://identifiers.org/aop.events/851	ENSG00000189056	https://identifiers.org/aop.events/851	Decrease of GABAergic interneurons	ENSG00000189056
https://identifiers.org/aop.events/960	ENSG00000086730	https://identifiers.org/aop.events/960	Increased, Uptake of thyroxine into tissue	ENSG00000086730
https://identifiers.org/aop.events/960	ENSG00000118271	https://identifiers.org/aop.events/960	Increased, Uptake of thyroxine into tissue	ENSG00000118271
https://identifiers.org/aop.events/960	ENSG00000047457	https://identifiers.org/aop.events/960	Increased, Uptake of thyroxine into tissue	ENSG00000047457
https://identifiers.org/aop.events/960	ENSG00000100294	https://identifiers.org/aop.events/960	Increased, Uptake of thyroxine into tissue	ENSG00000100294
