Index.SNP	Ensembl.ID	Symbol.ID	gene_biotype	FINEMAP.priority.gene	SMR.priority.gene	Rare.priority.gene
rs12712510	ENSG00000231200	AC068490.2	lincRNA	1	0	0
rs6504163	ENSG00000159640	ACE	protein_coding	0	1	0
rs7575796	ENSG00000115073	ACTR1B	protein_coding	1	0	0
rs61833239	ENSG00000117020	AKT3	protein_coding	0	1	0
rs6546857	ENSG00000163016	ALMS1P	pseudogene	0	1	0
rs9925915	ENSG00000174939	ASPHD1	protein_coding	0	1	0
rs12285419	ENSG00000175224	ATG13	protein_coding	0	1	0
rs4766428	ENSG00000174437	ATP2A2	protein_coding	1	0	0
rs1540840	ENSG00000127152	BCL11B	protein_coding	1	0	1
rs2304205	ENSG00000126453	BCL2L12	protein_coding	1	0	0
rs3808581	ENSG00000104765	BNIP3L	protein_coding	1	0	0
rs2649999	ENSG00000157895	C12orf43	protein_coding	1	0	0
rs10774034	ENSG00000151067	CACNA1C	protein_coding	1	0	1
rs2944821	ENSG00000183166	CALN1	protein_coding	1	0	0
rs6839635	ENSG00000145354	CISD2	protein_coding	0	1	0
rs61405217	ENSG00000109572	CLCN3	protein_coding	0	1	0
rs17194490	ENSG00000144619	CNTN4	protein_coding	1	0	0
rs10127983	ENSG00000143578	CREB3L4	protein_coding	0	1	0
rs2532240	ENSG00000120088	CRHR1	protein_coding	0	1	0
8:4180090_T_A	ENSG00000183117	CSMD1	protein_coding	1	0	0
rs715170	ENSG00000206129	CTD-2008L17.2	lincRNA	1	0	0
rs113113059	ENSG00000112659	CUL9	protein_coding	1	1	0
rs10957321	ENSG00000172817	CYP7B1	protein_coding	0	1	0
rs61828917	ENSG00000117593	DARS2	protein_coding	0	1	0
rs4632195	ENSG00000187323	DCC	protein_coding	1	0	0
rs4678552	ENSG00000163673	DCLK3	protein_coding	0	1	0
rs7816998	ENSG00000085788	DDHD2	protein_coding	0	1	0
rs2600490	ENSG00000198010	DLGAP2	protein_coding	1	0	0
rs8048039	ENSG00000103423	DNAJA3	protein_coding	0	1	0
rs72728416	ENSG00000188641	DPYD	protein_coding	1	0	0
rs8175378	ENSG00000170571	EMB	protein_coding	0	1	0
rs999494	ENSG00000135638	EMX1	protein_coding	1	0	0
rs11619756	ENSG00000120658	ENOX1	protein_coding	1	0	0
rs959071	ENSG00000262319	ENSG00000262319	antisense	0	1	0
rs4073003	ENSG00000072134	EPN2	protein_coding	1	0	0
rs6925079	ENSG00000188107	EYS	protein_coding	1	0	0
rs815609	ENSG00000055147	FAM114A2	protein_coding	0	1	0
rs4766428	ENSG00000204856	FAM216A	protein_coding	0	1	0
rs1006945	ENSG00000101447	FAM83D	protein_coding	0	1	0
rs58120505	ENSG00000122687	FTSJ2	protein_coding	0	1	0
rs4702	ENSG00000140564	FURIN	protein_coding	1	1	0
rs10985811	ENSG00000136928	GABBR2	protein_coding	1	0	0
rs1858999	ENSG00000167491	GATAD2A	protein_coding	0	1	0
rs12498839	ENSG00000150625	GPM6A	protein_coding	1	0	0
rs12188094	ENSG00000164199	GPR98	protein_coding	1	0	0
rs77502336	ENSG00000023171	GRAMD1B	protein_coding	1	0	0
rs9926049	ENSG00000183454	GRIN2A	protein_coding	1	0	1
rs2206956	ENSG00000152822	GRM1	protein_coding	1	0	0
rs11210892	ENSG00000178922	HYI	protein_coding	0	1	0
rs1378559	ENSG00000169306	IL1RAPL1	protein_coding	1	0	0
rs38752	ENSG00000184903	IMMP2L	protein_coding	1	0	0
rs3814883	ENSG00000169592	INO80E	protein_coding	0	1	0
