Ensembl_source	Ensembl	fromPublication	fromDisGeNET	fromWikiPathways	gLayCluster	snpID	CNVassociated	PathwayID_target	PathwayID	PathwayTitle
ENSG00000196262	ENSG00000196262		1		166					
ENSG00000204390	ENSG00000204390		1		166					
ENSG00000126456	ENSG00000126456	1			171	rs2304205				
ENSG00000172939	ENSG00000172939		1		164					
ENSG00000140009	ENSG00000140009		1		166					
ENSG00000130816	ENSG00000130816		1		166					
ENSG00000077943	ENSG00000077943		1		164					
ENSG00000116741	ENSG00000116741		1		164					
ENSG00000196628	ENSG00000196628		1		166					
ENSG00000166206	ENSG00000166206		1		206					
ENSG00000196396	ENSG00000196396		1		171					
ENSG00000204681	ENSG00000204681		1		206					
ENSG00000197965	ENSG00000197965		1		166					
ENSG00000171189	ENSG00000171189		1		164					
ENSG00000180210	ENSG00000180210		1		188					
ENSG00000087460	ENSG00000087460		1		164					
ENSG00000102468	ENSG00000102468		1		164					
ENSG00000250799	ENSG00000250799		1		170					
ENSG00000131095	ENSG00000131095		1		196					
ENSG00000103546	ENSG00000103546		1		170					
ENSG00000189114	ENSG00000189114		1		176					
ENSG00000150867	ENSG00000150867		1		171					
ENSG00000110092	ENSG00000110092		1		166					
ENSG00000103423	ENSG00000103423	1			171	rs8048039				
ENSG00000163288	ENSG00000163288		1		206					
ENSG00000117020	ENSG00000117020	1			166	rs61833239				
ENSG00000134460	ENSG00000134460		1		171					
ENSG00000101680	ENSG00000101680		1		164					
ENSG00000168621	ENSG00000168621		1		171					
ENSG00000124493	ENSG00000124493		1		164					
ENSG00000147246	ENSG00000147246		1		164					
ENSG00000151276	ENSG00000151276		1		178					
ENSG00000147894	ENSG00000147894		1		166					
ENSG00000036565	ENSG00000036565		1		170					
ENSG00000204525	ENSG00000204525		1		175					
ENSG00000175567	ENSG00000175567		1		166					
ENSG00000256762	ENSG00000256762		1		167					
ENSG00000099381	ENSG00000099381		1		167					
ENSG00000104765	ENSG00000104765	1			166	rs3808581				
ENSG00000108819	ENSG00000108819		1		164					
ENSG00000022355	ENSG00000022355		1		206					
ENSG00000213923	ENSG00000213923		1		166					
ENSG00000068796	ENSG00000068796		1		165					
ENSG00000176974	ENSG00000176974		1		188					
ENSG00000110887	ENSG00000110887		1		188					
ENSG00000134001	ENSG00000134001		1		193					
ENSG00000242950	ENSG00000242950		1		171					
ENSG00000170807	ENSG00000170807		1		166					
ENSG00000166148	ENSG00000166148		1		164					
ENSG00000168993	ENSG00000168993		1		170					
ENSG00000108256	ENSG00000108256		1		166					
ENSG00000091831	ENSG00000091831		1		166					
ENSG00000110324	ENSG00000110324		1		171					
ENSG00000109158	ENSG00000109158		1		206					
ENSG00000168477	ENSG00000168477		1		164					
ENSG00000101327	ENSG00000101327		1		164					
ENSG00000110497	ENSG00000110497		1		166					
ENSG00000160791	ENSG00000160791		1		171					
ENSG00000148737	ENSG00000148737		1		166					
ENSG00000109471	ENSG00000109471		1		171					
ENSG00000105976	ENSG00000105976		1		171					
ENSG00000128052	ENSG00000128052		1		171					
ENSG00000180914	ENSG00000180914		1		164					
ENSG00000214113	ENSG00000214113		1		171					
ENSG00000167720	ENSG00000167720		1		188					
ENSG00000158828	ENSG00000158828		1		166					
ENSG00000172020	ENSG00000172020		1		170					
ENSG00000119866	ENSG00000119866		1		190					
ENSG00000081479	ENSG00000081479		1		171					
ENSG00000166579	ENSG00000166579		1		176					
ENSG00000133636	ENSG00000133636		1		164					
ENSG00000142408	ENSG00000142408		1		164					
ENSG00000134107	ENSG00000134107		1		166					
ENSG00000173826	ENSG00000173826		1		164					
ENSG00000082458	ENSG00000082458		1		164					
ENSG00000128573	ENSG00000128573		1		164					
ENSG00000111537	ENSG00000111537		1		171					
ENSG00000100604	ENSG00000100604		1		170					
ENSG00000137801	ENSG00000137801		1		171					
ENSG00000106976	ENSG00000106976		1		369					
ENSG00000106258	ENSG00000106258		1		170					
ENSG00000170144	ENSG00000170144		1		166					
ENSG00000068383	ENSG00000068383		1		164					
ENSG00000115604	ENSG00000115604		1		171					
ENSG00000185619	ENSG00000185619	1			166	rs35734242				
ENSG00000198886	ENSG00000198886		1		195					
ENSG00000175220	ENSG00000175220		1		171					
ENSG00000186038	ENSG00000186038		1		173					
ENSG00000088305	ENSG00000088305		1		166					
ENSG00000163430	ENSG00000163430		1		171					
ENSG00000169836	ENSG00000169836		1		164					
ENSG00000178394	ENSG00000178394		1		170					
ENSG00000127152	ENSG00000127152	1			190	rs1540840				
ENSG00000187730	ENSG00000187730		1		206					
ENSG00000180530	ENSG00000180530	1	1		166	rs9975024				
ENSG00000136450	ENSG00000136450		1		166					
ENSG00000165646	ENSG00000165646		1		170					
ENSG00000198929	ENSG00000198929		1		164					
ENSG00000182621	ENSG00000182621		1		164					
ENSG00000100714	ENSG00000100714		1		188					
ENSG00000164082	ENSG00000164082		1		164					
ENSG00000067182	ENSG00000067182		1		171					
ENSG00000177000	ENSG00000177000		1		188					
ENSG00000128849	ENSG00000128849		1		178					
ENSG00000100099	ENSG00000100099		1		176					
ENSG00000071626	ENSG00000071626		1		247					
ENSG00000168542	ENSG00000168542		1		200					
ENSG00000102003	ENSG00000102003		1		170					
ENSG00000163939	ENSG00000163939		1		190					
ENSG00000110786	ENSG00000110786		1		166					
ENSG00000179603	ENSG00000179603		1		164					
ENSG00000073792	ENSG00000073792		1		171					
ENSG00000103037	ENSG00000103037	1			166	rs154433				
ENSG00000065150	ENSG00000065150		1		166					
ENSG00000166736	ENSG00000166736		1		173					
ENSG00000198400	ENSG00000198400		1		171					
ENSG00000165995	ENSG00000165995		1		164					
ENSG00000070748	ENSG00000070748		1		170					
ENSG00000151067	ENSG00000151067	1	1		164	rs10774034				
ENSG00000051382	ENSG00000051382		1		171					
ENSG00000154310	ENSG00000154310		1		176					
ENSG00000184381	ENSG00000184381		1		164					
ENSG00000115540	ENSG00000115540	1			176	rs2914983				
ENSG00000085563	ENSG00000085563		1		170					
ENSG00000163106	ENSG00000163106		1		170					
ENSG00000100294	ENSG00000100294		1		190					
ENSG00000106278	ENSG00000106278		1		171					
ENSG00000145321	ENSG00000145321		1		188					
ENSG00000174808	ENSG00000174808		1		171					
ENSG00000137843	ENSG00000137843	1			171	rs56205728				
ENSG00000136750	ENSG00000136750		1		170					
ENSG00000163220	ENSG00000163220		1		171					
ENSG00000186318	ENSG00000186318		1		184					
ENSG00000028137	ENSG00000028137		1		171					
ENSG00000154146	ENSG00000154146		1		164					
ENSG00000075043	ENSG00000075043		1		186					
ENSG00000076641	ENSG00000076641		1		171					
ENSG00000234745	ENSG00000234745		1		175					
ENSG00000150764	ENSG00000150764		1		176					
ENSG00000132718	ENSG00000132718		1		170					
ENSG00000186487	ENSG00000186487		1		184					
ENSG00000073578	ENSG00000073578		1		195					
ENSG00000149305	ENSG00000149305		1		173					
ENSG00000109956	ENSG00000109956		1		171					
ENSG00000087258	ENSG00000087258		1		170					
ENSG00000100197	ENSG00000100197		1		170					
ENSG00000160868	ENSG00000160868		1		170					
ENSG00000134982	ENSG00000134982		1		166					
ENSG00000008056	ENSG00000008056		1		170					
ENSG00000102001	ENSG00000102001		1		164					
ENSG00000166908	ENSG00000166908		1		171					
ENSG00000103510	ENSG00000103510		1		167					
ENSG00000076356	ENSG00000076356		1		171					
ENSG00000164418	ENSG00000164418		1		164					
ENSG00000188822	ENSG00000188822		1		164					
ENSG00000158445	ENSG00000158445		1		170					
ENSG00000165029	ENSG00000165029		1		190					
ENSG00000084207	ENSG00000084207		1		170					
ENSG00000100219	ENSG00000100219		1		166					
ENSG00000101200	ENSG00000101200		1		164					
ENSG00000182606	ENSG00000182606		1		176					
ENSG00000168298	ENSG00000168298		1		166					
ENSG00000178127	ENSG00000178127		1		195					
ENSG00000153707	ENSG00000153707	1			170	rs2890914				
ENSG00000231925	ENSG00000231925		1		175					
ENSG00000154229	ENSG00000154229		1		164					
ENSG00000123560	ENSG00000123560		1		184					
ENSG00000102753	ENSG00000102753		1		166					
ENSG00000089234	ENSG00000089234		1		166					
ENSG00000140538	ENSG00000140538		1		171					
ENSG00000072864	ENSG00000072864		1		176					
ENSG00000166862	ENSG00000166862		1		164					
ENSG00000160716	ENSG00000160716		1		186					
ENSG00000266964	ENSG00000266964		1		164					
ENSG00000148180	ENSG00000148180		1		171					
ENSG00000113580	ENSG00000113580		1		166					
ENSG00000101384	ENSG00000101384		1		247					
ENSG00000100697	ENSG00000100697		1		166					
ENSG00000130203	ENSG00000130203		1		171					
ENSG00000113658	ENSG00000113658		1		215					
ENSG00000099331	ENSG00000099331		1		171					
ENSG00000148346	ENSG00000148346		1		171					
ENSG00000007372	ENSG00000007372		1		166					
ENSG00000087085	ENSG00000087085		1		170					
ENSG00000132670	ENSG00000132670		1		171					
ENSG00000107957	ENSG00000107957		1		171					
ENSG00000111679	ENSG00000111679		1		171					
ENSG00000030582	ENSG00000030582		1		166					
ENSG00000163873	ENSG00000163873		1		164					
ENSG00000143387	ENSG00000143387		1		166					
ENSG00000141404	ENSG00000141404		1		164					
ENSG00000182168	ENSG00000182168		1		171					
ENSG00000125779	ENSG00000125779		1		164					
ENSG00000090339	ENSG00000090339		1		171					
ENSG00000006128	ENSG00000006128		1		164					
ENSG00000015475	ENSG00000015475		1		166					
ENSG00000204305	ENSG00000204305		1		196					
ENSG00000174576	ENSG00000174576		1		166					
ENSG00000149294	ENSG00000149294		1		171					
ENSG00000116711	ENSG00000116711		1		170					
ENSG00000147852	ENSG00000147852		1		171					
ENSG00000120088	ENSG00000120088	1			164	rs2532240				
ENSG00000077498	ENSG00000077498		1		165					
ENSG00000121879	ENSG00000121879		1		171					
ENSG00000185291	ENSG00000185291		1		171					
ENSG00000005421	ENSG00000005421		1		171					
ENSG00000169896	ENSG00000169896		1		171					
ENSG00000149527	ENSG00000149527	1			171	rs6673880				
ENSG00000023228	ENSG00000023228		1		195					
ENSG00000113758	ENSG00000113758		1		178					
ENSG00000142599	ENSG00000142599	1			166	rs11121172				
ENSG00000143786	ENSG00000143786		1		164					
ENSG00000072134	ENSG00000072134	1			369	rs4073003				
ENSG00000149403	ENSG00000149403		1		164					
ENSG00000157152	ENSG00000157152		1		170					
ENSG00000226979	ENSG00000226979		1		171					
ENSG00000145386	ENSG00000145386		1		166					
ENSG00000277586	ENSG00000277586		1		166					
ENSG00000078549	ENSG00000078549		1		164					
ENSG00000078808	ENSG00000078808		1		196					
ENSG00000111642	ENSG00000111642		1		166					
ENSG00000133112	ENSG00000133112		1		193					
ENSG00000152422	ENSG00000152422		1		165					
ENSG00000196126	ENSG00000196126		1		175					
ENSG00000066032	ENSG00000066032		1		166					
ENSG00000108839	ENSG00000108839		1		170					
ENSG00000143603	ENSG00000143603		1		164					
ENSG00000143379	ENSG00000143379		1		166					
ENSG00000167085	ENSG00000167085		1		166					
ENSG00000095303	ENSG00000095303		1		170					
ENSG00000105974	ENSG00000105974		1		171					
ENSG00000176749	ENSG00000176749		1		166					
ENSG00000101126	ENSG00000101126		1		166					
ENSG00000123384	ENSG00000123384		1		171					
ENSG00000150594	ENSG00000150594		1		170					
ENSG00000184156	ENSG00000184156		1		186					
ENSG00000147168	ENSG00000147168		1		171					
ENSG00000047579	ENSG00000047579		1		176					
ENSG00000048052	ENSG00000048052		1		166					
ENSG00000164399	ENSG00000164399		1		171					
ENSG00000133687	ENSG00000133687	1			164	rs7312697				
ENSG00000122545	ENSG00000122545		1		188					
ENSG00000196632	ENSG00000196632		1		164					
ENSG00000150782	ENSG00000150782		1		171					
ENSG00000110244	ENSG00000110244		1		171					
ENSG00000164885	ENSG00000164885		1		166					
ENSG00000138071	ENSG00000138071		1		171					
ENSG00000078674	ENSG00000078674		1		165					
ENSG00000122584	ENSG00000122584	1			164	rs11972718				
ENSG00000198121	ENSG00000198121		1		164					
ENSG00000204389	ENSG00000204389		1		166					
ENSG00000112659	ENSG00000112659	1			166	rs113113059				
ENSG00000107130	ENSG00000107130		1		170					
ENSG00000149554	ENSG00000149554		1		165					
ENSG00000149968	ENSG00000149968		1		171					
ENSG00000100368	ENSG00000100368		1		171					
ENSG00000105245	ENSG00000105245		1		247					
ENSG00000112531	ENSG00000112531		1		190					
ENSG00000185652	ENSG00000185652		1		171					
ENSG00000184916	ENSG00000184916		1		247					
ENSG00000188529	ENSG00000188529		1		166					
ENSG00000174469	ENSG00000174469		1		164					
ENSG00000204842	ENSG00000204842		1		166					
ENSG00000221823	ENSG00000221823		1		166					
ENSG00000118432	ENSG00000118432		1		164					
ENSG00000124253	ENSG00000124253		1		170					
ENSG00000187094	ENSG00000187094		1		164					
ENSG00000125538	ENSG00000125538		1		171					
ENSG00000120071	ENSG00000120071	1			167	rs2532240				
ENSG00000091664	ENSG00000091664		1		170					
ENSG00000206503	ENSG00000206503		1		175					
ENSG00000068024	ENSG00000068024		1		166					
ENSG00000205927	ENSG00000205927		1		196					
ENSG00000146122	ENSG00000146122		1		171					
ENSG00000151577	ENSG00000151577		1		170					
ENSG00000186868	ENSG00000186868	1			166	rs2532240				
ENSG00000134184	ENSG00000134184		1		170					
ENSG00000152601	ENSG00000152601		1		190					
ENSG00000110492	ENSG00000110492		1		171					
ENSG00000105737	ENSG00000105737		1		164					
ENSG00000187323	ENSG00000187323	1	1		171	rs4632195				
ENSG00000204267	ENSG00000204267		1		175					
ENSG00000135441	ENSG00000135441		1		176					
ENSG00000065361	ENSG00000065361		1		171					
ENSG00000168539	ENSG00000168539		1		164					
ENSG00000159164	ENSG00000159164		1		170					
ENSG00000078142	ENSG00000078142		1		166					
ENSG00000082212	ENSG00000082212		1		164					
ENSG00000158748	ENSG00000158748		1		164					
ENSG00000139287	ENSG00000139287		1		170					
ENSG00000111664	ENSG00000111664		1		164					
ENSG00000104368	ENSG00000104368		1		171					
ENSG00000134046	ENSG00000134046		1		166					
ENSG00000100664	ENSG00000100664		1		193					
ENSG00000076984	ENSG00000076984		1		166					
ENSG00000069329	ENSG00000069329		1		170					
ENSG00000149311	ENSG00000149311		1		165					
ENSG00000151150	ENSG00000151150		1		186					
ENSG00000120910	ENSG00000120910		1		164					
ENSG00000184634	ENSG00000184634		1		190					
ENSG00000160299	ENSG00000160299		1		165					
ENSG00000117592	ENSG00000117592		1		170					
ENSG00000142182	ENSG00000142182		1		166					
ENSG00000117245	ENSG00000117245		1		164					
ENSG00000158987	ENSG00000158987		1		178					
ENSG00000089199	ENSG00000089199		1		170					
ENSG00000135821	ENSG00000135821		1		170					
ENSG00000006534	ENSG00000006534		1		170					
ENSG00000108953	ENSG00000108953		1		166					
ENSG00000181072	ENSG00000181072		1		164					
ENSG00000117009	ENSG00000117009		1		170					
ENSG00000130643	ENSG00000130643		1		164					
ENSG00000204592	ENSG00000204592		1		175					
ENSG00000112038	ENSG00000112038		1		164					
ENSG00000108691	ENSG00000108691		1		171					
ENSG00000141433	ENSG00000141433		1		164					
ENSG00000169862	ENSG00000169862		1		166					
ENSG00000113721	ENSG00000113721		1		171					
ENSG00000100146	ENSG00000100146		1		184					
ENSG00000147571	ENSG00000147571		1		164					
ENSG00000148053	ENSG00000148053		1		171					
ENSG00000101188	ENSG00000101188		1		164					
ENSG00000119912	ENSG00000119912		1		171					
ENSG00000167491	ENSG00000167491	1			166	rs1858999				
ENSG00000163394	ENSG00000163394		1		164					
ENSG00000012048	ENSG00000012048		1		166					
ENSG00000187391	ENSG00000187391		1		178					
ENSG00000196220	ENSG00000196220		1		171					
ENSG00000118058	ENSG00000118058		1		167					
ENSG00000170485	ENSG00000170485		1		166					
ENSG00000163599	ENSG00000163599		1		171					
ENSG00000160712	ENSG00000160712		1		171					
ENSG00000186951	ENSG00000186951		1		166					
ENSG00000204655	ENSG00000204655		1		184					
ENSG00000142319	ENSG00000142319		1		170					
ENSG00000167792	ENSG00000167792		1		195					
ENSG00000140464	ENSG00000140464		1		166					
ENSG00000008083	ENSG00000008083		1		166					
ENSG00000110697	ENSG00000110697		1		171					
ENSG00000130287	ENSG00000130287		1		171					
ENSG00000130649	ENSG00000130649		1		170					
ENSG00000134909	ENSG00000134909		1		171					
ENSG00000106070	ENSG00000106070		1		171					
ENSG00000169684	ENSG00000169684		1		186					
ENSG00000170209	ENSG00000170209		1		170					
ENSG00000170745	ENSG00000170745		1		170					
ENSG00000102554	ENSG00000102554		1		166					
